,char,movie,mbti,votes
0,Art Donaldson,Challengers (2024),ISFJ,165 Pdb Votes
1,The Narrator,Fight Club (1999),ISFJ,4.4k Pdb Votes
2,Cady Heron,Mean Girls (2004),ISFJ,2.7k Pdb Votes
3,Cinderella,Cinderella (1950),ISFJ,2.1k Pdb Votes
4,Eddie Kaspbrak,It (2017),ISFJ,1.5k Pdb Votes
5,Joel Barish,Eternal Sunshine of the Spotless Mind (2004),ISFJ,1.1k Pdb Votes
6,Luisa Madrigal,Encanto (2021),ISFJ,2.8k Pdb Votes
7,Ginny Weasley,Harry Potter / Wizarding World Films,ISFJ,1.2k Pdb Votes
8,Anastasia Steele,Fifty Shades of Grey (2015),ISFJ,789 Pdb Votes
9,Fear,Inside Out (Franchise),ISFJ,1.7k Pdb Votes
10,"William ""Will"" Turner, Jr.",Pirates of the Caribbean,ISFJ,881 Pdb Votes
11,Aaron Stampler,Primal Fear (1996),ISFJ,87 Pdb Votes
12,Theodore Seville,Alvin And The Chipmunks (2007),ISFJ,660 Pdb Votes
13,Forrest Gump,Forrest Gump (1994),ISFJ,1.3k Pdb Votes
14,Priscilla Presley,Priscilla (2023),ISFJ,224 Pdb Votes
15,Max McCandless,Poor Things,ISFJ,139 Pdb Votes
16,Daisy Randone,"Girl, Interrupted (1999)",ISFJ,732 Pdb Votes
17,Norman Bates,Psycho (Franchise),ISFJ,507 Pdb Votes
18,Carrie White,Carrie (1976),ISFJ,742 Pdb Votes
19,Annie Wilkes,Misery (1990),ISFJ,327 Pdb Votes
20,Melman the Giraffe,Madagascar (Franchise),ISFJ,630 Pdb Votes
21,Dog,Robot Dreams,ISFJ,83 Pdb Votes
22,Thufir Hawat,Dune (2021),ISFJ,88 Pdb Votes
23,Aaron Samuels,Mean Girls (2004),ISFJ,393 Pdb Votes
24,Linda Gunderson,Rio (2011),ISFJ,282 Pdb Votes
25,Peter Pettigrew “Wormtail”,Harry Potter / Wizarding World Films,ISFJ,502 Pdb Votes
26,Brian Johnson,The Breakfast Club (1985),ISFJ,1.2k Pdb Votes
27,Gus,Late Night with the Devil (2024),ISFJ,10 Pdb Votes
28,Jimmy,Rebel Moon (Franchise),ISFJ,32 Pdb Votes
29,Luigi,The Super Mario Bros. Movie (2023),ISFJ,694 Pdb Votes
30,Miss Jennifer Honey,Matilda (1996),ISFJ,559 Pdb Votes
31,Cal Weaver,"Crazy, Stupid, Love (2011)",ISFJ,123 Pdb Votes
32,Lorraine Baines,Back to the Future (Series),ISFJ,274 Pdb Votes
33,Bubba Sawyer/Leatherface (Original),The Texas Chainsaw Massacre (Franchise),ISFJ,352 Pdb Votes
