,char,movie,mbti,votes
0,Bea,Anyone but You,ESFJ,329 Pdb Votes
1,Wade Ripple,Elemental,ESFJ,1.6k Pdb Votes
2,Snow White,Snow White and the Seven Dwarfs (1937),ESFJ,1.6k Pdb Votes
3,Barbie,Barbie (2023),ESFJ,3.3k Pdb Votes
4,Ming Lee,Turning Red (2022),ESFJ,1.5k Pdb Votes
5,Gretchen Wieners,Mean Girls (2004),ESFJ,2.2k Pdb Votes
6,Woody,Toy Story (Franchise),ESFJ,1.6k Pdb Votes
7,Perrito,Shrek (Franchise),ESFJ,1.4k Pdb Votes
8,Gustave H.,The Grand Budapest Hotel (2014),ESFJ,813 Pdb Votes
9,Honey Lemon,Big Hero 6 (2014),ESFJ,1.4k Pdb Votes
10,Cher Horowitz,Clueless (1995),ESFJ,2.5k Pdb Votes
11,Hercules,Hercules (franchise),ESFJ,839 Pdb Votes
12,Troy Bolton,High School Musical (Film Trilogy),ESFJ,709 Pdb Votes
13,Emmet Brickowski,The Lego Movie (Franchise),ESFJ,707 Pdb Votes
14,Cedric Diggory,Harry Potter / Wizarding World Films,ESFJ,1.3k Pdb Votes
15,Boromir,The Lord of the Rings (Film Trilogy),ESFJ,887 Pdb Votes
16,Peter (Terrence LaCroix),Abigail (2024),ESFJ,22 Pdb Votes
17,Princess Fiona,Shrek (Franchise),ESFJ,1.2k Pdb Votes
18,Soona,Kingdom of the Planet of the Apes,ESFJ,13 Pdb Votes
19,"Pavitr Prabhakar ""Spider-Man India""",Spider-Man: Across the Spider-Verse (2023),ESFJ,889 Pdb Votes
20,Allyson Nelson,Halloween (2018 Timeline),ESFJ,90 Pdb Votes
21,Giselle,Enchanted (2007),ESFJ,920 Pdb Votes
22,Prince Phillip,Maleficent (2014),ESFJ,110 Pdb Votes
23,Fredrick Zoller,Inglourious Basterds (2009),ESFJ,279 Pdb Votes
24,Claire Standish,The Breakfast Club (1985),ESFJ,911 Pdb Votes
25,Gloria the Hippo,Madagascar (Franchise),ESFJ,556 Pdb Votes
26,Fix-It Felix Jr.,Wreck-It Ralph (Franchise),ESFJ,591 Pdb Votes
27,Margaret “Meg” March,Little Women (2019),ESFJ,1.1k Pdb Votes
28,Brittany,Alvin And The Chipmunks (2007),ESFJ,393 Pdb Votes
29,Jill Andersen,Inside Out (Franchise),ESFJ,320 Pdb Votes
30,Ed Warren,The Conjuring,XXXX,288 Pdb Votes
31,June George,Mean Girls (2004),ESFJ,467 Pdb Votes
32,Allie Hamilton,The Notebook (2004),ESFJ,313 Pdb Votes
33,Anastasia Tremaine,Cinderella (1950),ESFJ,266 Pdb Votes
34,Peter Pevensie,The Chronicles of Narnia (Film Trilogy),ESFJ,685 Pdb Votes
35,Dom Toretto,The Fast and the Furious (Film Franchise),ESFJ,479 Pdb Votes
36,Sylvia Marpole,A Goofy Movie (1995),ESFJ,41 Pdb Votes
37,Mr. Ping,Kung Fu Panda (Franchise),ESFJ,374 Pdb Votes
38,Elspeth Catton,Saltburn,ESFJ,194 Pdb Votes
39,Nakamachi Asuka,Kimi no Hana ni Naru (I will be your bloom),ENFP,55 Pdb Votes
40,Mary Patrick,Sister Act (1992),ESFJ,77 Pdb Votes
41,Naomi Lapaglia,The Wolf of Wall Street (2013),ESFJ,369 Pdb Votes
42,Fairy Godmother,Cinderella (1950),ESFJ,179 Pdb Votes
43,Horace Slughorn,Harry Potter / Wizarding World Films,ESFJ,309 Pdb Votes
44,Doc,Snow White and the Seven Dwarfs (1937),ESFJ,128 Pdb Votes
45,Russell,Up (2009),ESFJ,520 Pdb Votes
46,Effie Trinket,The Hunger Games (Franchise),ESFJ,862 Pdb Votes
47,Anna Milligan,The Tearsmith (2024),ESFJ,21 Pdb Votes
48,Taffy Swallows,Lisa Frankenstein (2024),ESFJ,50 Pdb Votes
49,Galinda Upland,Wicked (2024),ESFJ,24 Pdb Votes
50,Joan,The Strange Thing About The Johnsons (2011),ESFJ,16 Pdb Votes
51,Serafina,Barbie as the Princess and the Pauper (2004),ESFJ,46 Pdb Votes
52,Old Man / Drayton Sawyer,The Texas Chainsaw Massacre (Franchise),ESFJ,82 Pdb Votes
53,Celia Mae,"Monsters, Inc. (2001)",ESFJ,137 Pdb Votes
54,Melanie “Mel” Freeland,Thirteen (2003),ESFJ,140 Pdb Votes
55,Mildred Pearl “Mertle” Edmonds,Lilo & Stitch (Franchise),ESFJ,251 Pdb Votes
56,Joan Walden,The Cat in the Hat (2003),ESFJ,36 Pdb Votes
57,Rosetta,Tinker Bell (2008),ESFJ,401 Pdb Votes
58,Oh,Home (2015),ESFJ,219 Pdb Votes
59,Mitch Buchannon,Baywatch (2017),ESFJ,65 Pdb Votes
60,Bianca Stratford,10 Things I Hate About You (1999),ESFJ,907 Pdb Votes
61,LeFou,Beauty and the Beast (Franchise),ESFJ,223 Pdb Votes
62,Charlie Young,Set It Up (2018),ESFJ,54 Pdb Votes
63,Wendy Darling,Peter Pan (1953),ESFJ,348 Pdb Votes
64,Viper,Kung Fu Panda (Franchise),ESFJ,363 Pdb Votes
65,Nala,The Lion King (Franchise),ESFJ,365 Pdb Votes
66,John,Jack and the Beanstalk (2009),ESFJ,2 Pdb Votes
