,char,movie,mbti,votes
0,Anakin Skywalker,Star Wars,ESFP,6k Pdb Votes
1,Meilin “Mei” Lee,Turning Red (2022),ESFP,4.8k Pdb Votes
2,Merida,Brave (2012),ESFP,4.8k Pdb Votes
3,Sammy (Jessica “Jessie” Hurney),Abigail (2024),ESFP,75 Pdb Votes
4,Donkey,Shrek (Franchise),ESFP,1.8k Pdb Votes
5,Ronald “Ron” Weasley,Harry Potter / Wizarding World Films,ESFP,3k Pdb Votes
6,Ken,Barbie (2023),ESFP,2.5k Pdb Votes
7,Alex the Lion,Madagascar (Franchise),ESFP,1.2k Pdb Votes
8,Marla Singer,Fight Club (1999),ESFP,1.3k Pdb Votes
9,Prince Charming,Shrek (Franchise),ESFP,817 Pdb Votes
10,"Alexandra ""Sandie"" Collins",Last Night in Soho (2021),ESFP,736 Pdb Votes
11,Bellatrix Lestrange,Harry Potter / Wizarding World Films,ESFP,1.6k Pdb Votes
12,Regina George,Mean Girls (2024),ESFP,388 Pdb Votes
13,Bob Parr “Mr. Incredible”,The Incredibles (Franchise),ESFP,1.2k Pdb Votes
14,Amy March,Little Women (2019),ESFP,2.7k Pdb Votes
15,Maxine Minx,X (2022),ESFP,981 Pdb Votes
16,Charlotte “Lottie” LaBouff,The Princess and the Frog (2009),ESFP,1.3k Pdb Votes
17,Marty McFly,Back to the Future (Series),ESFP,897 Pdb Votes
18,Lionel,The Tearsmith (2024),ESFP,32 Pdb Votes
19,Dean,Abigail (2024),XXXX,20 Pdb Votes
20,Tamatoa,Moana (2016),ESFP,378 Pdb Votes
21,Prince Naveen of Maldonia,The Princess and the Frog (2009),ESFP,1k Pdb Votes
22,Jenna Rink,13 going on 30 (2004),ESFP,462 Pdb Votes
23,Jasmine,Aladdin (1992),ESFP,1.3k Pdb Votes
24,Simba,The Lion King (Franchise),ESFP,1.2k Pdb Votes
25,Mario,The Super Mario Bros. Movie (2023),ESFP,1.1k Pdb Votes
26,Admiral-General Haffaz Aladeen,The Dictator (2012),ESFP,120 Pdb Votes
27,Mathilda Lando,Léon: The Professional (1994),ESFP,889 Pdb Votes
28,Stu Macher,Scream (Franchise),ESFP,551 Pdb Votes
29,Nancy Downs,The Craft (1996),ESFP,986 Pdb Votes
30,Esmeralda,The Hunchback of Notre Dame (1996),ESFP,1.4k Pdb Votes
31,Aladdin,Aladdin (1992),ESFP,1.1k Pdb Votes
32,Izzy Marchand,The Idea of You,XXXX,14 Pdb Votes
33,Tonya Harding,"I, Tonya (2017)",ESFP,472 Pdb Votes
34,Sonic the Hedgehog,Sonic the Hedgehog (Film Series),ESFP,768 Pdb Votes
35,Lux Lisbon,The Virgin Suicides (2000),ESFP,677 Pdb Votes
36,"Jonathan Loughran ""Johnny""",Hotel Transylvania (2012),ESFP,539 Pdb Votes
37,Jessie,Toy Story (Franchise),ESFP,543 Pdb Votes
38,Jackie,Love Lies Bleeding (2024),ESFP,39 Pdb Votes
39,Anaya,Kingdom of the Planet of the Apes,ESFP,14 Pdb Votes
40,Stephanie Conway,Senior Year,XXXX,169 Pdb Votes
41,Nimona,Nimona (2023),ESFP,1k Pdb Votes
42,Giulia Marcovaldo,Luca (2021),ESFP,1.7k Pdb Votes
43,Merliah Summers,Barbie in A Mermaid Tale,ESFP,208 Pdb Votes
44,Celia Rae Foote,The Help (2011),ESFP,221 Pdb Votes
45,Vivian Ward,Pretty Woman (1990),ESFP,599 Pdb Votes
46,Jenny Curran,Forrest Gump (1994),ESFP,666 Pdb Votes
47,Elizabeth Swann,Pirates of the Caribbean,ESFP,805 Pdb Votes
48,Anakin Skywalker (World Between Worlds),Star Wars,ESFP,60 Pdb Votes
49,Seagulls,Finding Nemo (Franchise),ESFP,49 Pdb Votes
50,Bowser,The Super Mario Bros. Movie (2023),ESFP,1.1k Pdb Votes
51,Nyles,Palm Springs,XXXX,199 Pdb Votes
52,Holli Would,Cool World (1992),ESFP,186 Pdb Votes
53,Happy,Snow White and the Seven Dwarfs (1937),ESFP,122 Pdb Votes
54,Félicie,Leap! / Ballerina (2016),ESFP,218 Pdb Votes
55,Tiffany Valentine,Chucky,ESFP,371 Pdb Votes
56,Nemo,Finding Nemo (Franchise),ESFP,473 Pdb Votes
57,Jack Dawson,Titanic (1997),ESFP,1.2k Pdb Votes
58,Amy Winehouse,Back to Black (2024),ESFP,15 Pdb Votes
59,The Bird,A Bug's Life (1998),ESFP,24 Pdb Votes
60,Shiro Mizushima,Godzilla Minus One,ESFP,13 Pdb Votes
61,Ranvijay Singh,Animal Movie,XXXX,83 Pdb Votes
62,Jeff,Bottoms,ESFP,139 Pdb Votes
63,Джон (John),Linch,ESFP,85 Pdb Votes
64,"Billy ""Wormboy"" Forrester",How to Eat Fried Worms (2006),XXXX,10 Pdb Votes
65,Bobby-Lynne,X (2022),ESFP,276 Pdb Votes
66,Ernest Burkhart,Killers of the Flower Moon,ESFP,200 Pdb Votes
67,Pepa Madrigal,Encanto (2021),ESFP,1.3k Pdb Votes
68,Chad Meeks-Martin,Scream (Franchise),ESFP,355 Pdb Votes
69,Guy Diamond,Trolls (2016),ESFP,36 Pdb Votes
70,Portia,Barbie: Princess Charm School,ESFP,191 Pdb Votes
71,Neto Gouveia (06),Tropa de Elite (Franchise),ESFP,85 Pdb Votes
72,Wade Whipple,Sonic the Hedgehog (Film Series),ESFP,34 Pdb Votes
73,Marie Antoinette,Marie Antoinette (2006),ESFP,320 Pdb Votes
74,Hal Stewart / Titan / Tighten,Megamind (2010),ESFP,527 Pdb Votes
75,Fawn,Tinker Bell (2008),ESFP,410 Pdb Votes
76,Gunter,Sing (Franchise),ESFP,265 Pdb Votes
77,Dudley Dursley,Harry Potter / Wizarding World Films,ESFP,464 Pdb Votes
78,Mary “Boo” Gibbs,"Monsters, Inc. (2001)",ESFP,220 Pdb Votes
79,Lumiere,Beauty and the Beast (Franchise),ESFP,373 Pdb Votes
80,Jar Jar Binks,Star Wars,ESFP,590 Pdb Votes
81,Daisy,Love Lies Bleeding (2024),ESFP,15 Pdb Votes
82,Synth,Trolls (2016),ESFP,6 Pdb Votes
83,Kid Ritz,Trolls (2016),ESFP,14 Pdb Votes
84,Cool Girl,Inside Out (Franchise),XXXX,34 Pdb Votes
85,June 27,Boy Kills World,XXXX,4 Pdb Votes
86,"Miles ""Spider"" Socorro",Avatar (Franchise),ESFP,556 Pdb Votes
87,Quinn BaiIey,Scream (Franchise),ESFP,166 Pdb Votes
88,Alice,Bodies Bodies Bodies,ESFP,192 Pdb Votes
89,Pepper,Mamma Mia! (2008),ESFP,9 Pdb Votes
90,Nathan Drake,Uncharted (2022),ESFP,349 Pdb Votes
91,Scooby-Doo,Scooby-Doo (2002),ESFP,66 Pdb Votes
92,Kurt Kunkle,Spree,ESFP,411 Pdb Votes
93,Lorelei Lee,Gentlemen Prefer Blondes (1953),ESFP,157 Pdb Votes
94,Hitchhiker / Nubbins Sawyer,The Texas Chainsaw Massacre (Franchise),XXXX,82 Pdb Votes
95,Zinnia Wormwood,Matilda (1996),ESFP,142 Pdb Votes
96,King Hubert,Sleeping Beauty (1959),ESFP,72 Pdb Votes
97,Erika,Barbie as the Princess and the Pauper (2004),ESFP,298 Pdb Votes
98,Kim Ki-taek,Parasite (2019),ESFP,474 Pdb Votes
99,"Dolores Haze ""Lolita""",Lolita (1997),ESFP,552 Pdb Votes
100,Augustus Gloop,Charlie and the Chocolate Factory (2005),ESFP,469 Pdb Votes
101,Cody Maverick,Surf’s Up (2007),ESFP,134 Pdb Votes
102,Prince Charming,Cinderella (1950),ESFP,238 Pdb Votes
