,char,movie,mbti,votes
0,Jessie,Civil War (2024),ISFP,60 Pdb Votes
1,Coraline Jones,Coraline (2009),ISFP,5.1k Pdb Votes
2,Harry Potter,Harry Potter / Wizarding World Films,ISFP,5.7k Pdb Votes
3,Beast,Beauty and the Beast (Franchise),ISFP,1.6k Pdb Votes
4,Hayes Campbell,The Idea of You,ISFP,41 Pdb Votes
5,Janis Ian,Mean Girls (2004),ISFP,3.1k Pdb Votes
6,Andrew Neiman,Whiplash (2014),ISFP,2.1k Pdb Votes
7,Isabella “Bella” Swan,Twilight (Franchise),ISFP,2.3k Pdb Votes
8,Tracy Freeland,Thirteen (2003),ISFP,1.4k Pdb Votes
9,Pocahontas,Pocahontas (1995),ISFP,1.2k Pdb Votes
10,Nemesis,Resident Evil,ISFP,14 Pdb Votes
11,Jillian Squarejaw,Jack and the Beanstalk (2009),ISFP,13 Pdb Votes
12,Terri Morales,Resident Evil,ISFP,13 Pdb Votes
13,Luther West,Resident Evil,ISFP,13 Pdb Votes
14,Ladybug,Bullet Train,ISFP,877 Pdb Votes
15,K-Mart,Resident Evil,ISFP,16 Pdb Votes
16,Rose Dewitt Bukater,Titanic (1997),ISFP,1.7k Pdb Votes
17,Ash,Fantastic Mr. Fox (2009),ISFP,860 Pdb Votes
18,Rémy,Ratatouille (2007),ISFP,1.5k Pdb Votes
19,Sebastian “Seb” Wilder,La La Land (2016),ISFP,757 Pdb Votes
20,Sasha,Barbie (2023),ISFP,726 Pdb Votes
21,Riley Andersen,Inside Out (Franchise),ISFP,1.5k Pdb Votes
22,Allison Reynolds,The Breakfast Club (1985),ISFP,1.8k Pdb Votes
23,Rey Skywalker,Star Wars,ISFP,1.4k Pdb Votes
24,Dolores Madrigal,Encanto (2021),ISFP,1.8k Pdb Votes
25,James P. “Sulley” Sullivan,"Monsters, Inc. (2001)",ISFP,937 Pdb Votes
26,Beverly Marsh,It (2017),ISFP,846 Pdb Votes
27,Jim Hawkins,Treasure Planet (2002),ISFP,819 Pdb Votes
28,Norman Milligan,The Tearsmith (2024),XXXX,23 Pdb Votes
29,Kid,Monkey Man (2024),ISFP,67 Pdb Votes
30,Tara Carpenter,Scream (Franchise),ISFP,342 Pdb Votes
31,Marianne,Strange Magic (2015),ISFP,240 Pdb Votes
32,Matt Addison,Resident Evil,ISFP,15 Pdb Votes
33,Wreck-It Ralph,Wreck-It Ralph (Franchise),ISFP,863 Pdb Votes
34,Legolas Greenleaf,The Lord of the Rings (Film Trilogy),ISFP,844 Pdb Votes
35,Koichi Shikishima,Godzilla Minus One,ISFP,65 Pdb Votes
36,Maren Yearly,Bones and All,ISFP,177 Pdb Votes
37,Nurse Betty,Resident Evil,ISFP,9 Pdb Votes
38,Ellen,To the Bone (2017),ISFP,328 Pdb Votes
39,Gabriella Montez,High School Musical (Film Trilogy),ISFP,734 Pdb Votes
40,Shaun Riley,The Cornetto Trilogy,ISFP,235 Pdb Votes
41,Kovu,The Lion King (Franchise),ISFP,285 Pdb Votes
42,Kenai,Brother Bear (2003),ISFP,335 Pdb Votes
43,Winnie the Pooh,Winnie the Pooh (Franchise),ISFP,696 Pdb Votes
