char,movie,mbti,votes
Jessie,Civil War (2024),ISFP,60 Pdb Votes
Coraline Jones,Coraline (2009),ISFP,5.1k Pdb Votes
Harry Potter,Harry Potter / Wizarding World Films,ISFP,5.7k Pdb Votes
Beast,Beauty and the Beast (Franchise),ISFP,1.6k Pdb Votes
Hayes Campbell,The Idea of You,ISFP,41 Pdb Votes
Janis Ian,Mean Girls (2004),ISFP,3.1k Pdb Votes
Andrew Neiman,Whiplash (2014),ISFP,2.1k Pdb Votes
Isabella “Bella” Swan,Twilight (Franchise),ISFP,2.3k Pdb Votes
Tracy Freeland,Thirteen (2003),ISFP,1.4k Pdb Votes
Pocahontas,Pocahontas (1995),ISFP,1.2k Pdb Votes
Nemesis,Resident Evil,ISFP,14 Pdb Votes
Jillian Squarejaw,Jack and the Beanstalk (2009),ISFP,13 Pdb Votes
Terri Morales,Resident Evil,ISFP,13 Pdb Votes
Luther West,Resident Evil,ISFP,13 Pdb Votes
Ladybug,Bullet Train,ISFP,877 Pdb Votes
K-Mart,Resident Evil,ISFP,16 Pdb Votes
Rose Dewitt Bukater,Titanic (1997),ISFP,1.7k Pdb Votes
Ash,Fantastic Mr. Fox (2009),ISFP,860 Pdb Votes
Rémy,Ratatouille (2007),ISFP,1.5k Pdb Votes
Sebastian “Seb” Wilder,La La Land (2016),ISFP,757 Pdb Votes
Sasha,Barbie (2023),ISFP,726 Pdb Votes
Riley Andersen,Inside Out (Franchise),ISFP,1.5k Pdb Votes
Allison Reynolds,The Breakfast Club (1985),ISFP,1.8k Pdb Votes
Rey Skywalker,Star Wars,ISFP,1.4k Pdb Votes
Dolores Madrigal,Encanto (2021),ISFP,1.8k Pdb Votes
James P. “Sulley” Sullivan,"Monsters, Inc. (2001)",ISFP,937 Pdb Votes
Beverly Marsh,It (2017),ISFP,846 Pdb Votes
Jim Hawkins,Treasure Planet (2002),ISFP,819 Pdb Votes
Norman Milligan,The Tearsmith (2024),XXXX,23 Pdb Votes
Kid,Monkey Man (2024),ISFP,67 Pdb Votes
Tara Carpenter,Scream (Franchise),ISFP,342 Pdb Votes
Marianne,Strange Magic (2015),ISFP,240 Pdb Votes
Matt Addison,Resident Evil,ISFP,15 Pdb Votes
