,char,movie,mbti,votes
0,Patrick Zweig,Challengers (2024),ESTP,131 Pdb Votes
1,"Eugene Fitzherbert ""Flynn Rider""",Tangled (2010),ESTP,3.2k Pdb Votes
2,Vanellope Von Schweetz,Wreck-It Ralph (Franchise),ESTP,2.2k Pdb Votes
3,Jennifer Check,Jennifer's Body (2009),ESTP,2.7k Pdb Votes
4,Feyd–Rautha Harkonnen,Dune (2021),ESTP,391 Pdb Votes
5,Jason,Terkel in Trouble (Terkel i knibe; 2004),ESTP,100 Pdb Votes
6,"Antonio ""Tony"" Montana",Scarface (1983),ESTP,1.5k Pdb Votes
7,Puss in Boots,Shrek (Franchise),ESTP,3.1k Pdb Votes
8,"Hobart ""Hobie"" Brown ""Spider-Punk""",Spider-Man: Across the Spider-Verse (2023),ESTP,2.5k Pdb Votes
9,Disgust,Inside Out (Franchise),ESTP,2.2k Pdb Votes
10,Sirius Black,Harry Potter / Wizarding World Films,ESTP,2.9k Pdb Votes
11,Jordan Belfort,The Wolf of Wall Street (2013),ESTP,1.6k Pdb Votes
12,Han Solo,Star Wars,ESTP,2.4k Pdb Votes
13,Joel,Civil War (2024),ESTP,42 Pdb Votes
14,Lightning McQueen,Cars (Franchise),ESTP,1.2k Pdb Votes
15,Lisa Rowe,"Girl, Interrupted (1999)",ESTP,1.9k Pdb Votes
16,Maui,Moana (2016),ESTP,797 Pdb Votes
17,Alvin Seville,Alvin And The Chipmunks (2007),ESTP,1k Pdb Votes
18,Rodrick Heffley,Diary of a Wimpy Kid (Series),ESTP,1.3k Pdb Votes
19,Gaston,Beauty and the Beast (Franchise),ESTP,1.3k Pdb Votes
20,Destoroyah,MonsterVerse,XXXX,49 Pdb Votes
21,Evie Zamora,Thirteen (2003),ESTP,1k Pdb Votes
22,Sonny Corleone,The Godfather (1972),ESTP,672 Pdb Votes
23,Ben,Anyone but You,ESTP,131 Pdb Votes
24,Aldo Raine,Inglourious Basterds (2009),ESTP,647 Pdb Votes
25,"Dashiell ""Dash"" Robert Parr",The Incredibles (Franchise),ESTP,818 Pdb Votes
26,Scar King (The Hollow Earth Alpha),Godzilla x Kong: The New Empire (2024),ESTP,59 Pdb Votes
27,Duncan Wedderburn,Poor Things,ESTP,294 Pdb Votes
28,Alberto Scorfano,Luca (2021),ESTP,2.1k Pdb Votes
29,Duncan Idaho,Dune (2021),ESTP,353 Pdb Votes
30,Oskar Schindler,Schindler's List (1993),ESTP,351 Pdb Votes
31,Scarlett O'Hara,Gone with the Wind (1939),ESTP,701 Pdb Votes
