,char,movie,mbti,votes
0,Rigel Wilde,The Tearsmith (2024),ISTP,173 Pdb Votes
1,Katniss Everdeen,The Hunger Games (Franchise),ISTP,4.5k Pdb Votes
2,Lee,Civil War (2024),ISTP,78 Pdb Votes
3,Shrek,Shrek (Franchise),ISTP,3.9k Pdb Votes
4,Fa Mulan,Mulan (Franchise),ISTP,3.5k Pdb Votes
5,Chani Kynes,Dune (2021),ISTP,513 Pdb Votes
6,Colt Seavers,The Fall Guy (2024),ISTP,62 Pdb Votes
7,Tai Lung,Kung Fu Panda (Franchise),ISTP,1.6k Pdb Votes
8,Travis Bickle,Taxi Driver (1976),ISTP,2.2k Pdb Votes
9,Billy Loomis,Scream (Franchise),ISTP,1.3k Pdb Votes
10,John Wick,John Wick,ISTP,2k Pdb Votes
11,Thomas,The Maze Runner (Film Trilogy),ISTP,1k Pdb Votes
12,Patrick Verona,10 Things I Hate About You (1999),ISTP,1.6k Pdb Votes
13,Abigail,Resident Evil,ISTP,13 Pdb Votes
14,Angel Ortiz,Resident Evil,ISTP,13 Pdb Votes
15,Alice,Resident Evil,ISTP,213 Pdb Votes
16,Tarzan,Tarzan (1999),ISTP,830 Pdb Votes
17,Kristoff Bjorgman,Frozen (Franchise),ISTP,1.4k Pdb Votes
18,The Man with No Name‎‎,The Dollars Trilogy,ISTP,881 Pdb Votes
19,Godzilla (MonsterVerse),MonsterVerse,ISTP,310 Pdb Votes
20,Sister Gwen,Immaculate (2024),ISTP,22 Pdb Votes
21,Chen Kui-lin,"The Pig, the Snake and the Pigeon 周處除三害",ISTP,68 Pdb Votes
22,Kate Dibiasky,Don’t Look Up (2021),ISTP,993 Pdb Votes
23,Billy Hope,Southpaw (2015),ISTP,88 Pdb Votes
24,Ada Wong,Resident Evil,ISTP,128 Pdb Votes
25,The Driver,Drive (2011),ISTP,1.1k Pdb Votes
26,Kitty Softpaws,Shrek (Franchise),ISTP,1.6k Pdb Votes
27,"Jake Sully ""Tsyeyk te Suli""",Avatar (Franchise),ISTP,1.3k Pdb Votes
28,The Cat,Coraline (2009),ISTP,1.1k Pdb Votes
29,Megara,Hercules (franchise),ISTP,1.4k Pdb Votes
30,Joseph Cooper,Interstellar (2014),ISTP,632 Pdb Votes
31,Mike Schmidt,Five Nights at Freddy's (Movie),ISTP,912 Pdb Votes
32,Django Freeman,Django Unchained (2012),ISTP,540 Pdb Votes
33,Elwood Dalton,Road House (2024),ISTP,102 Pdb Votes
34,Calobi,Our Drawings (Calobi Productions),XXXX,11 Pdb Votes
35,Lee,Bones and All,ISTP,183 Pdb Votes
36,Kim Ki-jeong,Parasite (2019),ISTP,1.2k Pdb Votes
37,Michael Myers,Halloween (1978),ISTP,783 Pdb Votes
38,Red,The Angry Birds Movie (2016),ISTP,482 Pdb Votes
39,Darth Maul (Episode I),Star Wars,ISTP,765 Pdb Votes
40,Indiana Jones,Indiana Jones (Series),ISTP,1k Pdb Votes
41,Billy Walsh,How to Date Billy Walsh (2024),ISTP,10 Pdb Votes
42,Lou,Love Lies Bleeding (2024),ISTP,30 Pdb Votes
43,Erin “Margot” Mills,The Menu,ISTP,587 Pdb Votes
44,Christine “Ziggy” Berman,Fear Street (Franchise),ISTP,891 Pdb Votes
45,First Officer (Bratishka),The Green Elephant (1999),ISTP,85 Pdb Votes
46,Danila Bagrov,Brat / Brother (1997),ISTP,156 Pdb Votes
47,Vitaly,Madagascar (Franchise),ISTP,304 Pdb Votes
48,Kyle Scheible,Lady Bird (2017),ISTP,555 Pdb Votes
49,Neil McCormick,Mysterious Skin (2004),ISTP,365 Pdb Votes
50,Anna Poliatova,Anna (2019),ISTP,286 Pdb Votes
51,Llewelyn Moss,No Country for Old Men (2007),ISTP,345 Pdb Votes
52,Ennis Del Mar,Brokeback Mountain (2005),ISTP,431 Pdb Votes
53,Capt. Benjamin L. Willard,Apocalypse Now (1979),ISTP,220 Pdb Votes
54,Ramona Flowers,Scott Pilgrim vs. the World (2010),ISTP,1k Pdb Votes
55,Diego,Ice Age (Franchise),ISTP,800 Pdb Votes
56,Ok Joo,Ballerina (2023),ISTP,138 Pdb Votes
57,Holga Kilgore,Dungeons & Dragons: Honor Among Thieves (2023),ISTP,254 Pdb Votes
58,Priya Mangal,Turning Red (2022),ISTP,784 Pdb Votes
59,Akikazu Fujishima,The World Of Kanako (2014),ISTP,28 Pdb Votes
60,Joe,Nymphomaniac (2013),ISTP,159 Pdb Votes
61,James Bond (Craig),James Bond Film Series,ISTP,676 Pdb Votes
62,Raymond Smith,The Gentlemen (2019),ISTP,172 Pdb Votes
63,Jessica Rabbit,Who Framed Roger Rabbit (1988),ISTP,313 Pdb Votes
64,Mike Teavee,Charlie and the Chocolate Factory (2005),ISTP,778 Pdb Votes
65,Achilles,Troy (2004),ISTP,324 Pdb Votes
66,Chief,Isle of Dogs (2018),ISTP,192 Pdb Votes
67,Sid Phillips,Toy Story (Franchise),ISTP,594 Pdb Votes
68,Gerry Lane,World War Z (2013),ISTP,69 Pdb Votes
69,Jango Fett,Star Wars,ISTP,225 Pdb Votes
70,Cassian “Kassa” Andor,Star Wars,ISTP,429 Pdb Votes
71,Helga Katrina Sinclair,Atlantis: The Lost Empire (2001),ISTP,281 Pdb Votes
72,Edith Gru,Despicable Me (Franchise),ISTP,612 Pdb Votes
73,Ethan Hunt,Mission: Impossible (Franchise),ISTP,423 Pdb Votes
74,Dominick Cobb,Inception (2010),ISTP,616 Pdb Votes
75,Go Go Tomago,Big Hero 6 (2014),ISTP,860 Pdb Votes
76,Boba Fett,Star Wars,ISTP,880 Pdb Votes
77,The lifeguard,Lilo & Stitch (Franchise),ISTP,4 Pdb Votes
78,Adam Clay,The Beekeeper (2024),ISTP,41 Pdb Votes
79,Sosaku Tachibana,Godzilla Minus One,ISTP,19 Pdb Votes
80,Kora,Rebel Moon (Franchise),ISTP,42 Pdb Votes
81,"Miles G. Morales ""The Prowler"" (Earth-42)",Spider-Man: Across the Spider-Verse (2023),ISTP,104 Pdb Votes
82,Vada Cavell,The Fallout,ISTP,350 Pdb Votes
83,Phil Broker,Homefront (2013),ISTP,24 Pdb Votes
84,Jung Do Hyun,Shark: The Beginning,ISTP,9 Pdb Votes
85,Armando,Rio (2011),ISTP,10 Pdb Votes
86,Scorpion / Hanzo Hasashi,Mortal Kombat (2021 film),ISTP,61 Pdb Votes
87,Jack Chambers,Don't Worry Darling (2022),ISTP,266 Pdb Votes
88,Lara Croft (Vikander),Tomb Raider (2018),ISTP,75 Pdb Votes
89,Raya,Raya and the Last Dragon (2021),ISTP,1.1k Pdb Votes
90,Jean-Baptiste Grenouille,Perfume: The Story Of A Murderer,ISTP,119 Pdb Votes
91,Indoraptor,Jurassic Park / Jurassic World (Film Franchise),ISTP,68 Pdb Votes
92,Grace Hart / Gracie-Lou Freebush,Miss Congeniality franchise,ISTP,207 Pdb Votes
93,Jack Callaghan,While You Were Sleeping (1995),ISTP,89 Pdb Votes
94,Brandon Sullivan,Shame (2011),ISTP,155 Pdb Votes
95,Sharkboy,The Adventures of Sharkboy and Lavagirl (2005),ISTP,206 Pdb Votes
96,Ephraim Winslow (Thomas Howard),The Lighthouse (2019),ISTP,360 Pdb Votes
97,Le Frog,Flushed Away (2006),ISTP,53 Pdb Votes
98,Turkish,Snatch (2000),ISTP,49 Pdb Votes
99,Landon Carter,A Walk to Remember (2002),ISTP,103 Pdb Votes
100,Cliff Booth,Once Upon a Time in... Hollywood (2019),ISTP,579 Pdb Votes
101,Annie Graham,Hereditary (2018),ISTP,523 Pdb Votes
102,Mindy McCready (Hit-Girl),Kick-Ass (2010),ISTP,155 Pdb Votes
103,Viktor Krum,Harry Potter / Wizarding World Films,ISTP,239 Pdb Votes
104,Wayne Werewolf,Hotel Transylvania (2012),ISTP,71 Pdb Votes
105,Max Rockatansky,Mad Max (1979),ISTP,201 Pdb Votes
106,Peter Strahm,Saw Series (2004),ISTP,107 Pdb Votes
107,Rick Deckard,Blade Runner,ISTP,440 Pdb Votes
108,"Gaetan ""Mole"" Molière",Atlantis: The Lost Empire (2001),ISTP,103 Pdb Votes
109,Zach Mitchell,Jurassic Park / Jurassic World (Film Franchise),ISTP,95 Pdb Votes
110,Aya,Perfect Days (2023),ISTP,2 Pdb Votes
111, Miura Kai,Honey Lemon Soda (2021),ISTP,7 Pdb Votes
112,Musa,Yazgı(2001),ISTP,13 Pdb Votes
113,Lord Bayford,Damsel (2024),ISTP,7 Pdb Votes
114,Cataleya Restrepo,Colombiana (2011),ISTP,19 Pdb Votes
115,Driver,The Super Mario Bros. Movie (2023),ISTP,16 Pdb Votes
116,Titus,Rebel Moon (Franchise),ISTP,10 Pdb Votes
117,Godzilla,Godzilla Minus One,ISTP,54 Pdb Votes
118,"Noël Leslie, Countess of Rothes",Titanic (1997),XXXX,3 Pdb Votes
