,char,movie,mbti,votes
0,Nica Dover,The Tearsmith (2024),INFJ,327 Pdb Votes
1,Elsa,Frozen (Franchise),INFJ,8.5k Pdb Votes
2,Sophie,The Idea of You,INFJ,62 Pdb Votes
3,Bruno Madrigal,Encanto (2021),INFJ,8.6k Pdb Votes
4,Vito Corleone,The Godfather (1972),INFJ,2.2k Pdb Votes
5,King Baldwin,Kingdom of Heaven (2005),INFJ,262 Pdb Votes
6,Amy Elliott Dunne,Gone Girl (2014),INFJ,3.8k Pdb Votes
7,Joey (Ana Lucia Cruz),Abigail (2024),INFJ,57 Pdb Votes
8,Noa,Kingdom of the Planet of the Apes,INFJ,56 Pdb Votes
9,Obi-Wan Kenobi,Star Wars,INFJ,2.9k Pdb Votes
10,Jessica Atreides,Dune (2021),INFJ,690 Pdb Votes
11,Nina Sayers/ The Swan Queen,Black Swan (2010),INFJ,3.4k Pdb Votes
12,Edward Cullen,Twilight (Franchise),INFJ,1.9k Pdb Votes
13,Albus Dumbledore,Harry Potter / Wizarding World Films,INFJ,2.9k Pdb Votes
14,Oliver Quick,Saltburn,INFJ,1k Pdb Votes
15,"Kidagakash ""Kida"" Nedakh",Atlantis: The Lost Empire (2001),INFJ,758 Pdb Votes
16,Veronica Sawyer,Heathers (1989),INFJ,1.9k Pdb Votes
17,Hirayama,Perfect Days (2023),INFJ,150 Pdb Votes
18,Princess Elodie,Damsel (2024),INFJ,381 Pdb Votes
19,Caesar,Rise of the Planet of Apes,INFJ,355 Pdb Votes
20,Master Oogway,Kung Fu Panda (Franchise),INFJ,1.6k Pdb Votes
21,John Kramer “Jigsaw”,Saw Series (2004),INFJ,1.6k Pdb Votes
22,Esther Coleman,Orphan (2009-2022),INFJ,1.5k Pdb Votes
23,Neteyam,Avatar (Franchise),INFJ,1k Pdb Votes
24,Qui-Gon Jinn,Star Wars,INFJ,1k Pdb Votes
25,Andrew Paxton,The Proposal (2009),INFJ,163 Pdb Votes
26,Aragorn,The Lord of the Rings (Film Trilogy),INFJ,2k Pdb Votes
27,Maureen Hope,Southpaw (2015),INFJ,21 Pdb Votes
28,Periwinkle,Tinker Bell (2008),INFJ,469 Pdb Votes
29,Layla,Buffalo ‘66 (1998),INFJ,409 Pdb Votes
30,Gellert Grindelwald,Harry Potter / Wizarding World Films,INFJ,1.2k Pdb Votes
31,Grigori Rasputin,Anastasia (1997),INFJ,406 Pdb Votes
32,Dawn Bellwether,Zootopia (2016),INFJ,835 Pdb Votes
33,Remus Lupin,Harry Potter / Wizarding World Films,INFJ,2.3k Pdb Votes
34,Archie,How to Date Billy Walsh (2024),INFJ,9 Pdb Votes
35,Father Sal Tedeschi,Immaculate (2024),INFJ,16 Pdb Votes
