,char,movie,mbti,votes
0,Joy,Inside Out (Franchise),ENFJ,3.3k Pdb Votes
1,Judy Hopps,Zootopia (2016),ENFJ,2.9k Pdb Votes
2,Abigail Lazar,Abigail (2024),ENFJ,51 Pdb Votes
3,Oliver,Call Me by Your Name (2017),ENFJ,1.6k Pdb Votes
4,Moana Waialiki,Moana (2016),ENFJ,3.3k Pdb Votes
5,Elle Woods,Legally Blonde (2001),ENFJ,2.4k Pdb Votes
6,Hans Westergaard,Frozen (Franchise),ENFJ,1.9k Pdb Votes
7,Tsireya,Avatar (Franchise),ENFJ,893 Pdb Votes
8,Jack Delroy,Late Night with the Devil (2024),ENFJ,54 Pdb Votes
9,King Magnifico,Wish (2023),ENFJ,481 Pdb Votes
10,Neil Perry,Dead Poets Society (1989),ENFJ,2.1k Pdb Votes
11,Raka,Kingdom of the Planet of the Apes,ENFJ,35 Pdb Votes
12,The Beldam “Other Mother”,Coraline (2009),ENFJ,1.8k Pdb Votes
13,Felix Catton,Saltburn,ENFJ,578 Pdb Votes
14,Metro Man,Megamind (2010),ENFJ,1k Pdb Votes
15,Padmé Amidala,Star Wars,ENFJ,1.6k Pdb Votes
16,Mia Dolan,La La Land (2016),ENFJ,988 Pdb Votes
17,Sammy,Civil War (2024),ENFJ,25 Pdb Votes
18,Gail Meyer,The Fall Guy (2024),ENFJ,25 Pdb Votes
19,The Projectionist,Pearl (2022),XXXX,305 Pdb Votes
20,Silver,The Angry Birds Movie (2016),ENFJ,257 Pdb Votes
21,Asha,Wish (2023),ENFJ,280 Pdb Votes
22,Miriam Mendelsohn,Turning Red (2022),ENFJ,1.7k Pdb Votes
23,Elaine,The Love Witch (2016),ENFJ,581 Pdb Votes
24,Princess Peach,The Super Mario Bros. Movie (2023),ENFJ,1k Pdb Votes
25,Leto Atreides,Dune (2021),ENFJ,408 Pdb Votes
26,"Lots-o'-Huggin' Bear / ""Lotso""",Toy Story (Franchise),ENFJ,961 Pdb Votes
27,Margot Fenring,Dune (2021),ENFJ,82 Pdb Votes
28,Maria Posada,The Book of Life (2014),ENFJ,294 Pdb Votes
29,Mothra,MonsterVerse,ENFJ,114 Pdb Votes
30,Вова Суворов | Адидас старший,Слово пацана. Кровь на асфальте / Slovo patsana,ENFJ,293 Pdb Votes
31,Gunnar,Terkel in Trouble (Terkel i knibe; 2004),ENFJ,47 Pdb Votes
32,Optimus Prime,Transformers (Bayverse),ENFJ,438 Pdb Votes
33,Princess Jasmine,Aladdin (2019),ENFJ,618 Pdb Votes
34,Darla Dimple,Cats Don't Dance (1997),ENFJ,125 Pdb Votes
35,Neytiri te Tskaha Mo'at'ite,Avatar (Franchise),ENFJ,1.4k Pdb Votes
36,La Muerte,The Book of Life (2014),ENFJ,186 Pdb Votes
37,Prince Phillip,Sleeping Beauty (1959),ENFJ,325 Pdb Votes
38,Baba Shakti,Monkey Man (2024),ENFJ,18 Pdb Votes
39,Harga Community,Midsommar (2019),ENFJ,38 Pdb Votes
40,Pam,Migration (2023),ENFJ,58 Pdb Votes
41,Leonardo,Teenage Mutant Ninja Turtles: Mutant Mayhem,ENFJ,252 Pdb Votes
42,President Barbie,Barbie (2023),ENFJ,261 Pdb Votes
43,William Hale,Killers of the Flower Moon,ENFJ,214 Pdb Votes
44,Sunny Starscout,My Little Pony: A New Generation (2021),ENFJ,607 Pdb Votes
45,Dragon (Elizabeth),Shrek (Franchise),ENFJ,182 Pdb Votes
46,Pelle,Midsommar (2019),ENFJ,385 Pdb Votes
47,The Lorax,The Lorax (2012),ENFJ,560 Pdb Votes
48,Skylar,Good Will Hunting (1997),ENFJ,190 Pdb Votes
49,Joi,Blade Runner,ENFJ,389 Pdb Votes
50,Jules Winnfield,Pulp Fiction (1994),ENFJ,863 Pdb Votes
