,char,movie,mbti,votes
0,Luna Lovegood,Harry Potter / Wizarding World Films,INFP,7.1k Pdb Votes
1,Belle,Beauty and the Beast (Franchise),INFP,2.4k Pdb Votes
2,Princess Aurora,Sleeping Beauty (1959),INFP,1.9k Pdb Votes
3,Sadness,Inside Out (Franchise),INFP,2.6k Pdb Votes
4,Luke Skywalker,Star Wars,INFP,2.8k Pdb Votes
5,Amélie Poulain,Amélie (2001),INFP,2.1k Pdb Votes
6,Adeline,The Tearsmith (2024),INFP,22 Pdb Votes
7,Violet Parr,The Incredibles (Franchise),INFP,2.1k Pdb Votes
8,Céline,The Before Trilogy,INFP,1.3k Pdb Votes
9,Charlie Kelmeckis,The Perks of Being a Wallflower (2012),INFP,2k Pdb Votes
10,Victor Van Dort,Corpse Bride (2005),INFP,1.4k Pdb Votes
11,Ben Solo “Kylo Ren”,Star Wars,INFP,2.5k Pdb Votes
12,Crystal,Resident Evil,INFP,12 Pdb Votes
13,Sister Cecilia,Immaculate (2024),INFP,51 Pdb Votes
14,Aza Holmes,Turtles All The Way Down,INFP,22 Pdb Votes
15,Alice Kingsleigh,Alice in Wonderland / Through the Looking Glass (2010 - 2016),INFP,1.5k Pdb Votes
16,Tom Hansen,500 Days of Summer (2009),INFP,1.5k Pdb Votes
17,Lisa Swallows,Lisa Frankenstein (2024),INFP,183 Pdb Votes
18,Crying Girl,Mean Girls (2004),INFP,296 Pdb Votes
19,Todd Anderson,Dead Poets Society (1989),INFP,1.5k Pdb Votes
20,Susanna Kaysen,"Girl, Interrupted (1999)",INFP,1.2k Pdb Votes
21,Jack,Jack and the Beanstalk (2009),INFP,9 Pdb Votes
22,Sibylla,Kingdom of Heaven (2005),INFP,138 Pdb Votes
23,Sean Maguire,Good Will Hunting (1997),INFP,655 Pdb Votes
24,Eeyore,Winnie the Pooh (Franchise),INFP,1k Pdb Votes
25,WALL-E,WALL-E (2008),INFP,1.4k Pdb Votes
26,Frodo Baggins,The Lord of the Rings (Film Trilogy),INFP,1.8k Pdb Votes
27,Crimp,Trolls (2016),XXXX,94 Pdb Votes
28,Shimo “The Great Founding Titan”,Godzilla x Kong: The New Empire (2024),INFP,79 Pdb Votes
29,Gwen,Migration (2023),INFP,58 Pdb Votes
30,Ruby Gillman,"Ruby Gillman, Teenage Kraken (2023)",INFP,206 Pdb Votes
31,Carrie White,Carrie (2013),INFP,429 Pdb Votes
32,Alfredo Linguini,Ratatouille (2007),INFP,1.1k Pdb Votes
33,Private / Mr. Tux,Madagascar (Franchise),INFP,1.1k Pdb Votes
34,"Newton ""Newt"" Scamander",Fantastic Beasts,INFP,1.7k Pdb Votes
35,Dobby,Harry Potter / Wizarding World Films,INFP,968 Pdb Votes
36,Billy Brown,Buffalo ‘66 (1998),INFP,359 Pdb Votes
37,Ella,Cinderella (2015),INFP,524 Pdb Votes
38,Cameron James,10 Things I Hate About You (1999),INFP,553 Pdb Votes
39,Aurora,Maleficent (2014),INFP,545 Pdb Votes
40,Lara Jean Song-Covey,To All the Boys (trilogy),INFP,986 Pdb Votes
41,Edward Scissorhands,Edward Scissorhands (1990),INFP,1.7k Pdb Votes
42,Davy Jones,Pirates of the Caribbean,INFP,964 Pdb Votes
43,Roslyn Tabor,The Misfits (1961),INFP,32 Pdb Votes
44,Juliet Capulet,Romeo and Juliet (1968),INFP,84 Pdb Votes
45,Sergei Razumovsky / The Plague Doctor,Major Grom: The Plague Doctor,INFP,524 Pdb Votes
46,Kang An Ho,Silenced (2011),XXXX,45 Pdb Votes
47,Luca Paguro,Luca (2021),INFP,2k Pdb Votes
48,Richie Tenenbaum,The Royal Tenenbaums (2001),INFP,180 Pdb Votes
49,Christopher McCandless,Into the Wild (2007),INFP,309 Pdb Votes
50,Cry Baby (K-12),K-12 (2019),INFP,862 Pdb Votes
51,Silvermist,Tinker Bell (2008),INFP,867 Pdb Votes
52,Belle,Beauty and the Beast (2017),INFP,452 Pdb Votes
53,Meena,Sing (Franchise),INFP,386 Pdb Votes
54,Nadine Franklin,The Edge of Seventeen (2016),INFP,1.2k Pdb Votes
55,Bob,Despicable Me (Franchise),INFP,430 Pdb Votes
56,Charlie Simms,Scent of a Woman (1992),INFP,143 Pdb Votes
57,Quasimodo,The Hunchback of Notre Dame (1996),INFP,822 Pdb Votes
58,Suko,Godzilla x Kong: The New Empire (2024),INFP,28 Pdb Votes
59,Puzzle,Our Drawings (Calobi Productions),INFP,7 Pdb Votes
60,Nozomi Kuroda,Our Secret Diary (2023),INFP,63 Pdb Votes
61,Floria,Damsel (2024),INFP,51 Pdb Votes
62,Mrs. de Winter,Rebecca ( 1940 ),XXXX,15 Pdb Votes
63,Momose Narumi,Wotakoi: Love Is Hard for Otaku,INFP,44 Pdb Votes
64,Kiri,Avatar (Franchise),INFP,1.8k Pdb Votes
65,Maria,Look Away (2018),INFP,164 Pdb Votes
66,Babsi,Christiane F. (1981),INFP,38 Pdb Votes
67,Henry Letham,Stay (2005),INFP,162 Pdb Votes
