char,movie,mbti,votes
Veneer,Trolls (2016),ENFP,712 Pdb Votes
Karen Smith,Mean Girls (2004),ENFP,5.1k Pdb Votes
Anna,Frozen (Franchise),ENFP,4.8k Pdb Votes
Pearl,Pearl (2022),ENFP,3.9k Pdb Votes
Rapunzel,Tangled (2010),ENFP,4.9k Pdb Votes
Peeta Mellark,The Hunger Games (Franchise),ENFP,2.7k Pdb Votes
The Once-ler,The Lorax (2012),ENFP,2.3k Pdb Votes
Mirabel Madrigal,Encanto (2021),ENFP,5.6k Pdb Votes
Jody Moreno,The Fall Guy (2024),ENFP,46 Pdb Votes
"Christine ""Lady Bird"" McPherson",Lady Bird (2017),ENFP,1.9k Pdb Votes
Po Ping,Kung Fu Panda (Franchise),ENFP,2.3k Pdb Votes
Willy Wonka,Wonka (2023 Movie),ENFP,260 Pdb Votes
Willy Wonka,Charlie and the Chocolate Factory (2005),ENFP,2.4k Pdb Votes
Princess Ariel,The Little Mermaid (1989),ENFP,2.6k Pdb Votes
King Julien XIII,Madagascar (Franchise),ENFP,1.3k Pdb Votes
John Keating,Dead Poets Society (1989),ENFP,1.8k Pdb Votes
Elizabeth Bennet,Pride and Prejudice (2005),ENFP,1.9k Pdb Votes
Valentina,"Love, Divided",ENFP,27 Pdb Votes
Billie,The Tearsmith (2024),ENFP,35 Pdb Votes
Alice Cullen,Twilight (Franchise),ENFP,1.3k Pdb Votes
Tinker Bell,Tinker Bell (2008),ENFP,1.4k Pdb Votes
"Emily ""Corpse Bride""",Corpse Bride (2005),ENFP,1.5k Pdb Votes
Josephine “Jo” March,Little Women (2019),ENFP,2.9k Pdb Votes
"Katherine ""Kitty"" Song-Covey",To All the Boys (trilogy),ENFP,836 Pdb Votes
Peter Pan,Peter Pan (1953),ENFP,1.2k Pdb Votes
Poppy,Trolls (2016),ENFP,920 Pdb Votes
Buddy Pine “Syndrome”,The Incredibles (Franchise),ENFP,1.3k Pdb Votes
Lemon,Bullet Train,ENFP,454 Pdb Votes
Flint Lockwood,Cloudy with a Chance of Meatballs (2009),ENFP,985 Pdb Votes
Dory,Finding Nemo (Franchise),ENFP,1.1k Pdb Votes
Lilly,Late Night with the Devil (2024),XXXX,15 Pdb Votes
Enola Holmes,Enola Holmes (2020),ENFP,1.6k Pdb Votes
Jack Twist,Brokeback Mountain (2005),ENFP,455 Pdb Votes
Mavis Dracula,Hotel Transylvania (2012),ENFP,1.5k Pdb Votes
Clementine Kruczynski,Eternal Sunshine of the Spotless Mind (2004),ENFP,1.5k Pdb Votes
Marty the Zebra,Madagascar (Franchise),ENFP,947 Pdb Votes
Bing Bong,Inside Out (Franchise),ENFP,855 Pdb Votes
Lucy Gray Baird,Tales Of The Hunger Games (TOTHG),ENFP,623 Pdb Votes
Sabina Wilson,Charlie's Angels (2019),ENFP,191 Pdb Votes
Leslie Burke,Bridge to Terabithia (2007),ENFP,560 Pdb Votes
Tarrant Hightopp / The Mad Hatter,Alice in Wonderland / Through the Looking Glass (2010 - 2016),ENFP,770 Pdb Votes
Sarah Sanderson,Hocus Pocus (1993),ENFP,220 Pdb Votes
Wolfgang Amadeus Mozart,Amadeus (1984),XXXX,360 Pdb Votes
Iduna,Frozen (Franchise),ENFP,403 Pdb Votes
Ellie Fredricksen,Up (2009),ENFP,618 Pdb Votes
Lilo Pelekai,Lilo & Stitch (Franchise),ENFP,788 Pdb Votes
Toad,The Super Mario Bros. Movie (2023),ENFP,480 Pdb Votes
Julie,The Worst Person in the World (2021),ENFP,321 Pdb Votes
Arne Nougatgren,Terkel in Trouble (Terkel i knibe; 2004),ENFP,42 Pdb Votes
Molly Gunn,Uptown girls (2003),ENFP,231 Pdb Votes
Rupert Pupkin,The King Of Comedy (1982),ENFP,190 Pdb Votes
Alice,Closer (2004),ENFP,208 Pdb Votes
Sophie Sheridan,Mamma Mia! (2008),ENFP,345 Pdb Votes
Margaret,Sense and Sensibility (1995),ENFP,60 Pdb Votes
Dorothy Gale,The Wizard of Oz (1939),ENFP,349 Pdb Votes
Princess Unikitty,The Lego Movie (Franchise),ENFP,212 Pdb Votes
Kate Coleman,Orphan (2009-2022),ENFP,332 Pdb Votes
Truman Burbank,The Truman Show (1998),ENFP,912 Pdb Votes
Amelia,How to Date Billy Walsh (2024),ENFP,7 Pdb Votes
Megamind,Megamind vs The Doom Syndicate,ENFP,29 Pdb Votes
Ana Santos,Upgraded (2024),XXXX,32 Pdb Votes
Karen Shetty,Mean Girls (2024),ENFP,143 Pdb Votes
Summer Chapman,Leo (2023),ENFP,48 Pdb Votes
Daisy Ramirez,Turtles All The Way Down,ENFP,11 Pdb Votes
Second Officer (Poekhavshij),The Green Elephant (1999),ENFP,93 Pdb Votes
Pat the Dodo,Alice in Wonderland (1951),ENFP,45 Pdb Votes
Ruby Sparks,Ruby Sparks,ENFP,120 Pdb Votes
Missy,The Wrong Missy (2020),ENFP,88 Pdb Votes
Rita,Terkel in Trouble (Terkel i knibe; 2004),ENFP,22 Pdb Votes
Jonah Baldwin,Sleepless in Seattle (1993),ENFP,24 Pdb Votes
Annie Reed,Sleepless in Seattle (1993),ENFP,80 Pdb Votes
Ramón,Happy Feet (2006-2011),XXXX,22 Pdb Votes
Borat Sagdiyev,Borat (Series),ENFP,375 Pdb Votes
Tim Templeton,Boss Baby (Franchise),ENFP,289 Pdb Votes
Marv Merchants,Home Alone,ENFP,280 Pdb Votes
Knives Chau,Scott Pilgrim vs. the World (2010),ENFP,430 Pdb Votes
"Louisa ""Lou"" Clark",Me Before You (2016),ENFP,601 Pdb Votes
Dopey,Snow White and the Seven Dwarfs (1937),ENFP,178 Pdb Votes
"Sir Towbert ""Tow"" Mater",Cars (Franchise),ENFP,626 Pdb Votes
"John Jackson ""Jack-Jack"" Parr",The Incredibles (Franchise),ENFP,232 Pdb Votes
"Jane Hudson ""Baby Jane""",What Ever Happened to Baby Jane? (1962),ENFP,55 Pdb Votes
Holly Golightly,Breakfast at Tiffany's (1961),ENFP,453 Pdb Votes
Anya / Grand Duchess Anastasia Nikolaevna of Russia,Anastasia (1997),ENFP,919 Pdb Votes
Maria von Trapp,The Sound of Music (1965),ENFP,545 Pdb Votes
Genie,Aladdin (1992),ENFP,650 Pdb Votes
Olaf,Frozen (Franchise),ENFP,1.5k Pdb Votes
Rapunzel,Jack and the Beanstalk (2009),ENFP,3 Pdb Votes
Niko,Perfect Days (2023),XXXX,3 Pdb Votes
Tony,Civil War (2024),ENFP,6 Pdb Votes
Christou,Late Night with the Devil (2024),ENFP,8 Pdb Votes
"Dick Grayson ""Robin""",The Lego Batman Movie,ENFP,83 Pdb Votes
Scuttle,The Little Mermaid (2023 film),XXXX,78 Pdb Votes
Terence McDonagh,Bad Lieutenant: Port of Call New Orleans,ENFP,10 Pdb Votes
Angel Torres,Nope (2022),ENFP,180 Pdb Votes
Din,Wish Dragon (2021),ENFP,222 Pdb Votes
Katie Mitchell,The Mitchells vs. the Machines (2021),ENFP,1.1k Pdb Votes
Marie #2,Sedmikrásky (Daisy 1966),ENFP,35 Pdb Votes
Richie Kirsch,Scream (Franchise),ENFP,191 Pdb Votes
Гена (дрочер),Трудные подростки,XXXX,24 Pdb Votes
Norville “Shaggy” Rogers,Scooby-Doo (2002),ENFP,139 Pdb Votes
Abbie Hoffman,The Trial of the Chicago 7 (2020),ENFP,96 Pdb Votes
He Zhiwu,Fallen Angels (Do Lok Tin Si) (1995),ENFP,301 Pdb Votes
Molly,She's Out of My League,ENFP,18 Pdb Votes
Peter Pan,Peter Pan (2003),ENFP,198 Pdb Votes
Sonny Wortzik,Dog Day Afternoon (1975),ENFP,143 Pdb Votes
Bunny Boy,Gummo,ENFP,39 Pdb Votes
Barley Lightfoot,Onward (2020),ENFP,342 Pdb Votes
Mama Odie,The Princess and the Frog (2009),ENFP,164 Pdb Votes
Chris Gardner,The Pursuit of Happyness (2006),ENFP,108 Pdb Votes
Faline,Bambi (1942),ENFP,83 Pdb Votes
Adolf Hitler,Jojo Rabbit (2019),ENFP,154 Pdb Votes
Zoey,The Dictator (2012),ENFP,80 Pdb Votes
Pinocchio,Pinocchio (1940),ENFP,236 Pdb Votes
Ramona,Ramona and Beezus (2010),ENFP,91 Pdb Votes
Olive Hoover,Little Miss Sunshine (2006),ENFP,185 Pdb Votes
Jackson Maine,A Star is Born (2018),ENFP,222 Pdb Votes
Juli Baker,Flipped (2010),ENFP,490 Pdb Votes
Officer Michaels,Superbad (2007),ENFP,130 Pdb Votes
Marianne Dashwood,Sense and Sensibility (1995),ENFP,119 Pdb Votes
The Joker,The Lego Movie (Franchise),ENFP,331 Pdb Votes
Ray,The Princess and the Frog (2009),ENFP,224 Pdb Votes
Toulouse,The Aristocats (1970),ENFP,118 Pdb Votes
Roo,Winnie the Pooh (Franchise),ENFP,200 Pdb Votes
Lula May,Now You See Me (Franchise),ENFP,145 Pdb Votes
Agnes Gru,Despicable Me (Franchise),ENFP,694 Pdb Votes
Tuffnut Thorston,How to Train Your Dragon (Franchise),ENFP,302 Pdb Votes
Alphonso,Monkey Man (2024),ENFP,3 Pdb Votes
Murray,The Odd Couple (1968),ENFP,3 Pdb Votes
Yusuf,Uzak / Distant (2002),ENFP,20 Pdb Votes
Shanthan,Aavesham (2024),ENFP,3 Pdb Votes
Charity Hope Valentine,Sweet Charity (1969),ENFP,13 Pdb Votes
B-127,Transformers One,ENFP,2 Pdb Votes
Robot,Robot Dreams,ENFP,68 Pdb Votes
Benjamin Sotomejor,Supernova (2000),ENFP,2 Pdb Votes
Gunnar,Rebel Moon (Franchise),ENFP,31 Pdb Votes
Миша «Ералаш»,Слово пацана. Кровь на асфальте / Slovo patsana,ENFP,36 Pdb Votes
Delroy,Migration (2023),ENFP,19 Pdb Votes
Yori Hoshikawa,Monster (2023),ENFP,71 Pdb Votes
VEND-R,WALL-E (2008),ENFP,7 Pdb Votes
Kaylee,Big Fat Liar (2002),ENFP,6 Pdb Votes
Bananan,Assa (1987),ENFP,6 Pdb Votes
Clapton Davis ,Detention (2011),ENFP,24 Pdb Votes
Jimmie Rodgers Snow,Elvis (2022),XXXX,5 Pdb Votes
The Joker,The Lego Batman Movie,ENFP,95 Pdb Votes
Pinocchio,Guillermo del Toro’s Pinocchio,ENFP,426 Pdb Votes
Star,Wish (2023),ENFP,35 Pdb Votes
Violet,The Princess (2022),XXXX,3 Pdb Votes
"Mattel CEO ""Mother""",Barbie (2023),ENFP,155 Pdb Votes
Jim Morrison,The Doors (1991),ENFP,72 Pdb Votes
Om Makhija,Om Shanti Om (2007),ENFP,33 Pdb Votes
Javi Gutierrez,The Unbearable Weight of Massive Talent (2022),ENFP,66 Pdb Votes
Nate Gardner,Storks (2016),XXXX,16 Pdb Votes
Catherine Holly,Suddenly Last Summer (1959),ENFP,3 Pdb Votes
Mao Higurashi,One Cut of the Dead,ENFP,8 Pdb Votes
Mini Maui,Moana (2016),ENFP,47 Pdb Votes
Sophie of Gavaldon,The School for Good and Evil,ENFP,592 Pdb Votes
Jokey Smurf,The Smurfs (2011),XXXX,6 Pdb Votes
Yoon Sejin,Young Adult Matters,ENFP,156 Pdb Votes
Young Donna Sheridan,Mamma Mia! Here We Go Again (2018),XXXX,196 Pdb Votes
Bernie Hayes,Godzilla vs. Kong,ENFP,21 Pdb Votes
"Mary Elizabeth ""Lola"" Steppe",Confessions of a Teenage Drama Queen (2004),ENFP,276 Pdb Votes
Kari McKeen,The Incredibles (Franchise),ENFP,134 Pdb Votes
Seth Rogen,This Is the End (2013),ENFP,36 Pdb Votes
Kyoami,Ran (1985),ENFP,13 Pdb Votes
Mary,Cinderella (1950),ENFP,19 Pdb Votes
Cinderella,Cinderella (2021),ENFP,192 Pdb Votes
Dr. Robert Vaughan,Crash (1996),ENFP,35 Pdb Votes
"Theo ""Turbo""",Turbo,ENFP,111 Pdb Votes
Sisu,Raya and the Last Dragon (2021),ENFP,675 Pdb Votes
Divergent,Divergent (2014),ENFP,280 Pdb Votes
Ram Shankar Nikumbh,Taare Zameen Par (Like Stars On Earth),ENFP,89 Pdb Votes
"Patricia ""Kitten"" Braden",Breakfast on Pluto (2005),ENFP,62 Pdb Votes
"Dennis ""Denisovich"" Dracula-Loughran",Hotel Transylvania (2012),ENFP,114 Pdb Votes
Clara,Barbie as The Nutcracker (2001),ENFP,94 Pdb Votes
María Elena,Vicky Cristina Barcelona,ENFP,70 Pdb Votes
Erin Brockovich,Erin Brockovich (2000),ENFP,110 Pdb Votes
"Susan ""Stargirl"" Caraway",Stargirl (2020),ENFP,199 Pdb Votes
Lucien Carr,Kill Your Darlings (2013),ENFP,286 Pdb Votes
Faye,Chungking Express (1994),ENFP,369 Pdb Votes
Aleu,Balto (1995),ENFP,51 Pdb Votes
Olivia Flaversham,The Great Mouse Detective (1986),ENFP,36 Pdb Votes
Heather,The Blair Witch Project (1999),ENFP,75 Pdb Votes
Penny Robinson,Lost in Space (1998),ENFP,10 Pdb Votes
Mary Smith,Mary and the Witch's Flower (2017),ENFP,69 Pdb Votes
Walter Beckett,Spies in Disguise (2020),ENFP,144 Pdb Votes
Daisy Fuller,The Curious Case of Benjamin Button (2008),ENFP,94 Pdb Votes
Rodney Copperbottom,Robots (2005),ENFP,231 Pdb Votes
Luke,To the Bone (2017),ENFP,133 Pdb Votes
"Johannes ""Jojo"" Betzler",Jojo Rabbit (2019),ENFP,388 Pdb Votes
William Thatcher,A Knight's Tale (2001),ENFP,59 Pdb Votes
Josef (Aaron),Creep,ENFP,158 Pdb Votes
"Josephine ""Jo"" March",Little Women (1994),ENFP,168 Pdb Votes
Geppetto,Pinocchio (1940),ENFP,141 Pdb Votes
Bumblebee,Bumblebee (2018),ENFP,223 Pdb Votes
Fegan Floop,Spy Kids (2001),XXXX,61 Pdb Votes
Genie,Aladdin (2019),ENFP,158 Pdb Votes
Mowgli,The Jungle Book (2016),ENFP,62 Pdb Votes
Damian Leigh,Mean Girls (2004),ENFP,433 Pdb Votes
L3-37,Star Wars,ENFP,52 Pdb Votes
Rosie,Mamma Mia! (2008),ENFP,100 Pdb Votes
Lloyd Christmas,Dumb and Dumber (1994),ENFP,101 Pdb Votes
Captain B. McCrea,WALL-E (2008),ENFP,216 Pdb Votes
Patrick Stewart,The Perks of Being a Wallflower (2012),ENFP,616 Pdb Votes
Isabelle,The Dreamers (2003),ENFP,205 Pdb Votes
"Patrick “Pat” Solitano, Jr.",Silver Linings Playbook (2012),ENFP,170 Pdb Votes
Harper Moore,Set It Up (2018),ENFP,123 Pdb Votes
Bianca Piper,The DUFF (2015),ENFP,153 Pdb Votes
Andrea “Andy” Sachs,The Devil Wears Prada (2006),ENFP,619 Pdb Votes
Penny Lane,Almost Famous (2000),ENFP,302 Pdb Votes
Guido Orefice,Life Is Beautiful (1997),ENFP,223 Pdb Votes
Audrey,The Lorax (2012),ENFP,154 Pdb Votes
Saïd&nbsp;,La Haine (1995),ENFP,209 Pdb Votes
Miguel,The Road to El Dorado (2000),ENFP,448 Pdb Votes
Dani Dennison,Hocus Pocus (1993),ENFP,110 Pdb Votes
Li Shan,Kung Fu Panda (Franchise),ENFP,88 Pdb Votes
Bridget Jones,Bridget Jones's Diary (franchise),ENFP,330 Pdb Votes
"Sidney ""Sid""",Ice Age (Franchise),ENFP,881 Pdb Votes
Austin Powers,Austin Powers,ENFP,272 Pdb Votes
Agent J / James Darrell Edwards III,Men in Black,ENFP,279 Pdb Votes
Andy Davis,Toy Story (Franchise),ENFP,383 Pdb Votes
Fred,Big Hero 6 (2014),ENFP,528 Pdb Votes
Sophia Romanovas,Os Huios,XXXX,1 Pdb Vote
Giulia Trajano,Os Huios,XXXX,1 Pdb Vote
Rose,Café de Flore,XXXX,1 Pdb Vote
Padmini,Doctor [Tamil] - 2021,ENFJ,2 Pdb Votes
Cecily,The Odd Couple (1968),ENFP,2 Pdb Votes
Kambili Kalu,The Ministry of Ungentlemanly Warfare (2024),ENFP,2 Pdb Votes
Mickey Morse,The Edge (1997),XXXX,1 Pdb Vote
Ducklings (Contestant),Sing (Franchise),XXXX,1 Pdb Vote
Charly,Ojitos de huevo,XXXX,1 Pdb Vote
Moonyeen,Smilin' Through (1932),XXXX,1 Pdb Vote
Kid #1,The Final Destination (2009),ENFP,1 Pdb Vote
Pablo,Lord of the Flies (1990),ENTP,1 Pdb Vote
Mike Smith,Having A Wild Weekend ( 1965),ENFP,10 Pdb Votes
Dr. Suja Jayadev,Abraham Ozler (2024),ENFP,2 Pdb Votes
"Nisha ""Tinni"" Malhotra",Tu Jhooti Mai Makaar,XXXX,2 Pdb Votes
Jaly,Get Married (Franchise),XXXX,1 Pdb Vote
Sonne,Victoria (2015),XXXX,1 Pdb Vote
Ben Milo,12 Strong (2018),ENFP,2 Pdb Votes
Daniel,Chance (2009),ENFP,3 Pdb Votes
Ramu Gupta,The Guru (2002),XXXX,1 Pdb Vote
Yui,Deliver Us from Evil,XXXX,1 Pdb Vote
Claira,Rio (2011),XXXX,1 Pdb Vote
Mr. Mathews,Journey into Fear (1943),ENFP,9 Pdb Votes
Joyce Lakeland,The Killer Inside Me (2010),ENFP,3 Pdb Votes
Toni Winfried,Toni Erdmann (2016),ENFP,3 Pdb Votes
Smokey,The Big Lebowski (1998),ENFP,6 Pdb Votes
Punjab,Annie (2014),XXXX,4 Pdb Votes
Halle,Anyone but You,ENFP,10 Pdb Votes
Duckling,Animal Farm (1954),ENFP,10 Pdb Votes
Sook Ja,Citizen of a Kind (2024),XXXX,1 Pdb Vote
Jennywise Joyce,It (2017),XXXX,4 Pdb Votes
Billy the Sign,The Angry Birds Movie (2016),ENFP,8 Pdb Votes
Lee the Office Nerd,Wreck-It Ralph (Franchise),ESTP,2 Pdb Votes
Mia,See You on Venus,ENFP,8 Pdb Votes
Magdala,The Killer (2023),ENFP,7 Pdb Votes
Neutrino,Ofis Akademia,ENFP,12 Pdb Votes
Alyssa,Haunted Mansion (2023),ENFP,4 Pdb Votes
Hal,Wish (2023),ENFP,13 Pdb Votes
Ника Бобр,Univer. New Dorm,XXXX,6 Pdb Votes
"Peter Parkedcar ""Spider-Car""",Spider-Man: Across the Spider-Verse (2023),ENFP,3 Pdb Votes
Stacy Friedman,You Are So Not Invited To My Bat Mitzvah,ENFP,94 Pdb Votes
Jin-Gook,My Heart Puppy,XXXX,1 Pdb Vote
Jerry Mulligan,An American in Paris (1951),ENFP,10 Pdb Votes
Olya Dobkina,Vacations of Petrov and Vasechkin (1984),XXXX,1 Pdb Vote
Empress Elisabeth,Mayerling (1968),XXXX,1 Pdb Vote
Chloe,K-12 (2019),ENFP,3 Pdb Votes
Beverly,Everybody wants some!! (2016),XXXX,5 Pdb Votes
Balraj,Bride And Prejudice,ENFP,6 Pdb Votes
Chica,Five Nights at Freddy's (Movie),ENFP,69 Pdb Votes
Florence Fallon,The Miracle Woman (1931),XXXX,1 Pdb Vote
Velvet Brown,National Velvet (1944),XXXX,1 Pdb Vote
Jun Moon Soo,Dream,XXXX,1 Pdb Vote
Titi,Titi ( تیتی ),ENFP,7 Pdb Votes
 Bindiya Tripathi,Raanjhanaa,XXXX,2 Pdb Votes
Satoru,Picnic (1996),ENFP,2 Pdb Votes
Lucas,Mavka. The Forest song (2021),ENFP,23 Pdb Votes
Rika van den Haas,Lethal Weapon (Movie Series),ENFP,3 Pdb Votes
Michaelangelo,Teenage Mutant Ninja Turtles: Mutant Mayhem,ENFP,113 Pdb Votes
Greg Laurie,Jesus Revolution (2023),ENFP,29 Pdb Votes
Another Believer,Meet the Robinsons (2007),ENFP,24 Pdb Votes
Henry,Cocaine Bear (2023),ENFP,22 Pdb Votes
Zoya,Ek Tha Tiger (2012-2023) [Movie Triology],ENFP,9 Pdb Votes
Ohhhh Cat,Shrek (Franchise),ENFP,32 Pdb Votes
Duygu,İncir Reçeli,ENFP,21 Pdb Votes
Pooka,Anastasia (1997),ENFP,11 Pdb Votes
Luna Valeria,The Rain in España (2022),ENFP,9 Pdb Votes
Onari,Oni: Thunder God's Tale,ENFP,10 Pdb Votes
Bibbo,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
Dr. Ashwin Kumar,777 Charlie (2022),ESFJ,3 Pdb Votes
Gabriel,Depois do Universo,ENFP,46 Pdb Votes
