,char,movie,mbti,votes
0,Will Hunting,Good Will Hunting (1997),INTP,1.9k Pdb Votes
1,Alice,Alice in Wonderland (1951),INTP,3.6k Pdb Votes
2,"Johnathon Ohnn ""The Spot""",Spider-Man: Across the Spider-Verse (2023),INTP,1.4k Pdb Votes
3,Anton Chigurh,No Country for Old Men (2007),INTP,1.9k Pdb Votes
4,Hiccup Horrendous Haddock III,How to Train Your Dragon (Franchise),INTP,2.7k Pdb Votes
5,Donnie Darko,Donnie Darko (2001),INTP,1.9k Pdb Votes
6,Bong Gil,Exhuma (2023),INTP,33 Pdb Votes
7,Irulan Corrino,Dune (2021),INTP,209 Pdb Votes
8,Haymitch Abernathy,The Hunger Games (Franchise),INTP,1.1k Pdb Votes
9,Sandra Voyter,Anatomy of a Fall (2023),INTP,197 Pdb Votes
10,Hiro Hamada,Big Hero 6 (2014),INTP,2.2k Pdb Votes
11,Dr. Randall Mindy,Don’t Look Up (2021),INTP,1.1k Pdb Votes
12,Blu,Rio (2011),INTP,780 Pdb Votes
13,Kowalski,Madagascar (Franchise),INTP,1.3k Pdb Votes
14,Neo,The Matrix Trilogy,INTP,1.6k Pdb Votes
15,Corey Cunningham,Halloween (2018 Timeline),INTP,180 Pdb Votes
16,Cameron Frye,Ferris Bueller's Day Off (1986),INTP,570 Pdb Votes
17,Mark Zuckerberg,The Social Network (2010),INTP,1k Pdb Votes
18,Garfield,Garfield: The Movie,INTP,106 Pdb Votes
19,William Somerset,Se7en (1995),INTP,634 Pdb Votes
20,Tin,Robot Dreams,INTP,12 Pdb Votes
21,Kenji Noda,Godzilla Minus One,INTP,38 Pdb Votes
22,Phoebe Spengler,Ghostbusters: Afterlife (2021),INTP,416 Pdb Votes
23,Oliver Tate,Submarine,INTP,291 Pdb Votes
24,Sam Baldwin,Sleepless in Seattle (1993),INTP,72 Pdb Votes
25,Brian Lackey,Mysterious Skin (2004),INTP,212 Pdb Votes
26,Barnabas Collins,Dark Shadows (2012),INTP,291 Pdb Votes
27,Alvy Singer,Annie Hall (1977),INTP,170 Pdb Votes
28,Columbus,Zombieland (Franchise),INTP,380 Pdb Votes
29,Bob Harris,Lost in Translation (2003),INTP,273 Pdb Votes
30,Owl,Winnie the Pooh (Franchise),INTP,235 Pdb Votes
31,"Mark ""Rent Boy"" Renton",Trainspotting (1996),INTP,691 Pdb Votes
32,Rickles,Abigail (2024),INTP,13 Pdb Votes
33,Joseph,Arcadian (2024),INTP,11 Pdb Votes
34,Uncle Dan,Migration (2023),INTP,60 Pdb Votes
35,Gemma,Megan (2023),INTP,284 Pdb Votes
36,The Protagonist (vote your type),Markiplier Cinematic Multiverse,INTP,2.9k Pdb Votes
37,Miles “Tails” Prower,Sonic the Hedgehog (Film Series),INTP,421 Pdb Votes
38,R,Warm Bodies (2013),INTP,102 Pdb Votes
39,Mary Adler,Gifted (2017),INTP,424 Pdb Votes
40,Caterpillar,Alice in Wonderland (1951),INTP,225 Pdb Votes
41,Peter Shepherd,Jumanji (1995),INTP,66 Pdb Votes
42,Lewis,Meet the Robinsons (2007),INTP,497 Pdb Votes
43,Marshmallow,Frozen (Franchise),XXXX,141 Pdb Votes
44,Pascal,Tangled (2010),INTP,546 Pdb Votes
45,Napoleon Dynamite,Napoleon Dynamite (2004),INTP,470 Pdb Votes
46,Charlie Jones,Coraline (2009),INTP,583 Pdb Votes
47,George McFly,Back to the Future (Series),INTP,608 Pdb Votes
48, Lancelot Squarejaw,Jack and the Beanstalk (2009),INTP,3 Pdb Votes
49,Cengiz,Ofis Akademia,INTP,14 Pdb Votes
50,Josie,Bottoms,INTP,204 Pdb Votes
51,Neil,Watching the Detectives (2007),INTP,80 Pdb Votes
52,Aaron Mitchell,The Mitchells vs. the Machines (2021),INTP,602 Pdb Votes
53,Dr. Liet Kynes,Dune (2021),INTP,108 Pdb Votes
54,Ellie Chu,The Half of It (2020),INTP,346 Pdb Votes
55,Writer,Stalker (1979) (Сталкер),INTP,112 Pdb Votes
56,Sam Witwicky,Transformers (Bayverse),INTP,123 Pdb Votes
57,Robbie Mercer,Scream (Franchise),INTP,44 Pdb Votes
58,"Tobin ""Toby"" Seville",Alvin And The Chipmunks (2007),INTP,103 Pdb Votes
59,Buscapé,City of God (2002),ISFP,207 Pdb Votes
60,Elisabeth Vogler,Persona (1966),INTP,282 Pdb Votes
61,Sam Shakusky,Moonrise Kingdom (2012),INTP,274 Pdb Votes
62,Herbert West,Re-Animator (1985),INTP,256 Pdb Votes
63,Namgoong Minsoo,Snowpiercer (2013),INTP,50 Pdb Votes
64,Cowboy,The Ballad of Buster Scruggs (2018),INTP,59 Pdb Votes
65,Fogell (McLovin),Superbad (2007),INTP,385 Pdb Votes
66,Aliens,Toy Story (Franchise),INTP,347 Pdb Votes
67,Martha Kaply,Jumanji (Reboot),INTP,321 Pdb Votes
68,Basil of Baker Street,The Great Mouse Detective (1986),INTP,252 Pdb Votes
69,Victor Frankenstein,Frankenweenie (2012),INTP,223 Pdb Votes
70,Smaug,The Hobbit (Film Trilogy),INTP,492 Pdb Votes
71,Tina,Tin & Tina,INTP,6 Pdb Votes
72,Matt Wiley,The Beekeeper (2024),INTP,5 Pdb Votes
73,Romeu,Ai que vida!,INTP,2 Pdb Votes
74,Bodhi Kurnig Ku,Ofis Akademia,INTP,13 Pdb Votes
75,Albert Einstein,Oppenheimer (2023),INTP,271 Pdb Votes
76,Ma Zhao,The Wandering Earth 2,INTP,66 Pdb Votes
77,Scribble,Tinker Bell (2008),XXXX,6 Pdb Votes
78,"Shinji Kaminaga ""Ultraman""",Shin Ultraman,INTP,35 Pdb Votes
79,Finney Blake,The Black Phone,INTP,404 Pdb Votes
80, Watcher,Watcher,INTP,44 Pdb Votes
81,Catherine ”Kya” Clark,Where the Crawdads Sing (Movie),INTP,81 Pdb Votes
82,Dr. Cukrowitz,Suddenly Last Summer (1959),INTP,4 Pdb Votes
83,Atakan Mermer,Ölümlü Dünya (2018),XXXX,7 Pdb Votes
84,The Man,The Man Who Sleeps (1974),INTP,73 Pdb Votes
85,"Walter McKeys ""Keys""",Free Guy (2021),INTP,273 Pdb Votes
86,Shurik,Operation Y and Shurik's Other Adventures,INTP,61 Pdb Votes
