,char,movie,mbti,votes
0,Tyler Durden,Fight Club (1999),ENTP,14k Pdb Votes
1,Nick Wilde,Zootopia (2016),ENTP,3.4k Pdb Votes
2,Alex DeLarge,A Clockwork Orange (1971),ENTP,2.7k Pdb Votes
3,Bella Baxter,Poor Things,ENTP,781 Pdb Votes
4,Zhen (Kung Fu Panda 4),Kung Fu Panda (Franchise),ENTP,385 Pdb Votes
5,Amber Freeman,Scream (Franchise),ENTP,2k Pdb Votes
6,Emperor Kuzco,The Emperor's New Groove (2000),ENTP,2k Pdb Votes
7,Hans Landa,Inglourious Basterds (2009),ENTP,1.6k Pdb Votes
8,Captain Jack Sparrow,Pirates of the Caribbean,ENTP,3.2k Pdb Votes
9,Na Bo-Ra,20th Century Girl (2022),ENTP,806 Pdb Votes
10,Dr. Emmett “Doc” Brown,Back to the Future (Series),ENTP,1.3k Pdb Votes
11,Mindy Meeks-Martin,Scream (Franchise),XXXX,768 Pdb Votes
12,Jesse Wallace,The Before Trilogy,ENTP,1.1k Pdb Votes
13,Megamind,Megamind (2010),ENTP,2.7k Pdb Votes
14,Humpty Alexander Dumpty,Shrek (Franchise),ENTP,900 Pdb Votes
15,Summer Finn,500 Days of Summer (2009),ENTP,1.3k Pdb Votes
16,Barry Burton,Resident Evil,ENTP,13 Pdb Votes
17,Jane Porter,Tarzan (1999),ENTP,768 Pdb Votes
18,Derek Danforth,The Beekeeper (2024),ENTP,37 Pdb Votes
19,Dr. Facilier,The Princess and the Frog (2009),ENTP,710 Pdb Votes
20,Ghostface,Scream (Franchise),ENTP,821 Pdb Votes
21,Sherlock Holmes,Sherlock Holmes,ENTP,1.2k Pdb Votes
22,Cheshire Cat,Alice in Wonderland (1951),ENTP,1k Pdb Votes
23,Mad Hatter,Alice in Wonderland (1951),ENTP,440 Pdb Votes
24,Chase,Resident Evil,ENTP,10 Pdb Votes
25,Ian Hawke,Alvin And The Chipmunks (2007),ENTP,237 Pdb Votes
26,Olive Penderghast,Easy A (2010),ENTP,771 Pdb Votes
27,"Jason Dean ""J.D.""",Heathers (1989),ENTP,2.2k Pdb Votes
28,Carmichael the Conjurer,Late Night with the Devil (2024),ENTP,23 Pdb Votes
29,Frank Abagnale Jr.,Catch Me If You Can (2002),ENTP,1.7k Pdb Votes
30,"Wyborne ""Wybie"" Lovat",Coraline (2009),ENTP,1.2k Pdb Votes
31,Mr. Fox,Fantastic Mr. Fox (2009),ENTP,1.3k Pdb Votes
32,Pennywise,It (2017),ENTP,1.1k Pdb Votes
33,Dr. King Schultz,Django Unchained (2012),ENTP,918 Pdb Votes
34,"Victor Perkins ""Vector""",Despicable Me (Franchise),ENTP,823 Pdb Votes
35,Kristof Lazar,Abigail (2024),ENTP,16 Pdb Votes
36,Trapper,Godzilla x Kong: The New Empire (2024),ENTP,43 Pdb Votes
37,"Mr. Mason ""Moe"" Wolf",The Bad Guys (2022),ENTP,710 Pdb Votes
38,The Grinch,How The Grinch Stole Christmas (2000),ENTP,943 Pdb Votes
39,Snowball,The Secret Life of Pets (2016),ENTP,228 Pdb Votes
40,Charlie “Nuwanda” Dalton,Dead Poets Society (1989),ENTP,1k Pdb Votes
41,Richard ''Richie'' Tozier,It (2017),ENTP,1.5k Pdb Votes
42,Hades,Hercules (franchise),ENTP,1.3k Pdb Votes
43,Greg Heffley,Diary of a Wimpy Kid (Series),ENTP,881 Pdb Votes
44,The Cat in the Hat,The Cat in the Hat (2003),ENTP,190 Pdb Votes
45,Kevin McCallister,Home Alone,ENTP,1.5k Pdb Votes
46,Grayson,Jack and the Beanstalk (2009),ENTP,6 Pdb Votes
47,Trevathan,Kingdom of the Planet of the Apes,ENTP,12 Pdb Votes
48,Gus March-Phillipps,The Ministry of Ungentlemanly Warfare (2024),ENTP,12 Pdb Votes
49,Hunter Sylvester,Metal Lords (2021),XXXX,923 Pdb Votes
50,“Honest” John Worthington Foulfellow,Pinocchio (1940),ENTP,160 Pdb Votes
51,Eris,Sinbad: Legend of the Seven Seas (2003),ENTP,482 Pdb Votes
52,Mushu,Mulan (Franchise),ENTP,1k Pdb Votes
53,Jack Skellington,The Nightmare Before Christmas (1993),ENTP,1.8k Pdb Votes
54,R2-D2,Star Wars,ENTP,719 Pdb Votes
55,Rascal,Robot Dreams,XXXX,14 Pdb Votes
56,Tsar Alexander,"Napoleon ""Kitbag"" (2023)",ENTP,27 Pdb Votes
57,Dastan,Prince of Persia: The Sands of Time (2010),ENTP,119 Pdb Votes
58,Balthazar Bratt,Despicable Me (Franchise),ENTP,326 Pdb Votes
59,"Harris, Hubert, and Hammish",Brave (2012),ENTP,167 Pdb Votes
60,Randy Meeks,Scream (Franchise),ENTP,338 Pdb Votes
61,Meeko,Pocahontas (1995),ENTP,110 Pdb Votes
62,Raoul Duke,Fear and Loathing in Las Vegas (1998),ENTP,220 Pdb Votes
63,Willy Wonka,Willy Wonka and the Chocolate Factory (1971),ENTP,803 Pdb Votes
64,Mark Watney,The Martian (2015),ENTP,265 Pdb Votes
65,Timon,The Lion King (Franchise),ENTP,794 Pdb Votes
66,Clarence,The Book of Clarence (2024),ENTP,12 Pdb Votes
67,Angus Tully,The Holdovers,ENTP,200 Pdb Votes
68,Edgin Darvis,Dungeons & Dragons: Honor Among Thieves (2023),ENTP,349 Pdb Votes
