,char,movie,mbti,votes
0,Paul Atreides,Dune (2021),INTJ,2.3k Pdb Votes
1,Severus Snape,Harry Potter / Wizarding World Films,INTJ,4.9k Pdb Votes
2,Wednesday Addams,The Addams Family,INTJ,2.3k Pdb Votes
3,Death,Shrek (Franchise),INTJ,2.2k Pdb Votes
4,Cairo Sweet,Miller’s Girl (2024),INTJ,155 Pdb Votes
5,Kat Stratford,10 Things I Hate About You (1999),INTJ,4.2k Pdb Votes
6,Hannibal Lecter,The Silence of the Lambs (1991),INTJ,1.5k Pdb Votes
7,Scar,The Lion King (Franchise),INTJ,2.9k Pdb Votes
8,V,V for Vendetta (2005),INTJ,2.3k Pdb Votes
9,"Emperor Palpatine ""Darth Sidious""",Star Wars,INTJ,2.6k Pdb Votes
10,J. Robert Oppenheimer,Oppenheimer (2023),INTJ,2.2k Pdb Votes
11,John Nash,A Beautiful Mind (2001),INTJ,752 Pdb Votes
12,Michael Corleone,The Godfather (1972),INTJ,2.4k Pdb Votes
13,The Evil Queen,Snow White and the Seven Dwarfs (1937),INTJ,855 Pdb Votes
14,Gandalf the Grey,The Lord of the Rings (Film Trilogy),INTJ,2.4k Pdb Votes
15,Felonius Gru,Despicable Me (Franchise),INTJ,1.9k Pdb Votes
16,Miki,The Tearsmith (2024),INTJ,30 Pdb Votes
17,Maleficent,Maleficent (2014),INTJ,1.5k Pdb Votes
18,Judge Claude Frollo,The Hunchback of Notre Dame (1996),INTJ,1.3k Pdb Votes
19,David,"Love, Divided",INTJ,23 Pdb Votes
20,Anna,Possession (1981),INTJ,698 Pdb Votes
21,Maleficent,Sleeping Beauty (1959),INTJ,969 Pdb Votes
22,Matilda Wormwood,Matilda (1996),INTJ,905 Pdb Votes
23,Ellen Ripley,Alien,INTJ,621 Pdb Votes
24,Tom Riddle,Harry Potter / Wizarding World Films,INTJ,1.2k Pdb Votes
25,Andy Dufresne,The Shawshank Redemption (1994),INTJ,1.1k Pdb Votes
26,Mark Hoffman,Saw Series (2004),INTJ,390 Pdb Votes
27,Saladin,Kingdom of Heaven (2005),INTJ,121 Pdb Votes
28,Randall Boggs,"Monsters, Inc. (2001)",INTJ,561 Pdb Votes
29,Hercule Poirot,Murder on the Orient Express (2017),INTJ,494 Pdb Votes
30,Dr. Godwin Baxter,Poor Things,INTJ,210 Pdb Votes
31,Killer's Agent,Fallen Angels (Do Lok Tin Si) (1995),INTJ,436 Pdb Votes
32,Calvin Weir-Fields,Ruby Sparks,INTJ,210 Pdb Votes
33,Shosanna Dreyfus,Inglourious Basterds (2009),INTJ,721 Pdb Votes
