,char,movie,mbti,votes
0,Velvet,Trolls (2016),ENTJ,544 Pdb Votes
1,Patrick Bateman,American Psycho (2000),ENTJ,8.1k Pdb Votes
2,Tashi Duncan,Challengers (2024),ENTJ,238 Pdb Votes
3,Cruella de Vil,Cruella (2021),ENTJ,3.9k Pdb Votes
4,Frank (Adam Barrett),Abigail (2024),ENTJ,51 Pdb Votes
5,Lord Voldemort,Harry Potter / Wizarding World Films,ENTJ,3.1k Pdb Votes
6,Leia Organa,Star Wars,ENTJ,2.7k Pdb Votes
7,Terence Fletcher,Whiplash (2014),ENTJ,2.2k Pdb Votes
8,"Coriolanus ""Coryo"" Snow",The Ballad of Songbirds and Snakes (2023),ENTJ,1.7k Pdb Votes
9,Proximus Caesar,Kingdom of the Planet of the Apes,ENTJ,44 Pdb Votes
10,"Louis ""Lou"" Bloom",Nightcrawler (2014),ENTJ,1.8k Pdb Votes
11,Maximus Decimus Meridius,Gladiator (2000),XXXX,975 Pdb Votes
12,Shen,Kung Fu Panda (Franchise),ENTJ,1.3k Pdb Votes
13,Miranda Priestly,The Devil Wears Prada (2006),ENTJ,1.1k Pdb Votes
14,Mike Wazowski,"Monsters, Inc. (2001)",ENTJ,1.7k Pdb Votes
15,Koba,Rise of the Planet of Apes,ENTJ,166 Pdb Votes
16,Jill Roberts,Scream (Franchise),ENTJ,849 Pdb Votes
17,Yzma,The Emperor's New Groove (2000),ENTJ,578 Pdb Votes
18,Skipper,Madagascar (Franchise),ENTJ,1.9k Pdb Votes
19,The Chameleon,Dreamworks Villains,ENTJ,201 Pdb Votes
20,Amon Goeth,Schindler's List (1993),ENTJ,273 Pdb Votes
21,"Theodore Templeton ""Boss Baby""",Boss Baby (Franchise),ENTJ,534 Pdb Votes
22,Ursula,The Little Mermaid (1989),ENTJ,1.4k Pdb Votes
23,Fairy Godmother,Shrek (Franchise),ENTJ,855 Pdb Votes
24,Baron Vladimir Harkonnen,Dune (2021),ENTJ,335 Pdb Votes
25,Mrs. Jane Smith,Mr. & Mrs. Smith (2005),ENTJ,532 Pdb Votes
26,Catherine Tramell,Basic Instinct (1992),ENTJ,450 Pdb Votes
27,Bradley Uppercrust III,An Extremely Goofy Movie (2000),ENTJ,72 Pdb Votes
28,Violet Beauregarde,Charlie and the Chocolate Factory (2005),ENTJ,900 Pdb Votes
29,Sharpay Evans,High School Musical (Film Trilogy),ENTJ,1.2k Pdb Votes
30,"O-ren Ishii ""Cottonmouth""",Kill Bill (2003),ENTJ,894 Pdb Votes
31,Thranduil,The Hobbit (Film Trilogy),ENTJ,413 Pdb Votes
32,King Candy / Turbo,Wreck-It Ralph (Franchise),ENTJ,660 Pdb Votes
33,Pam,Totally Killer (2023),XXXX,106 Pdb Votes
34,“Big” Jack Horner,Shrek (Franchise),ENTJ,740 Pdb Votes
35,Reverend Mother Mohiam,Dune (2021),ENTJ,171 Pdb Votes
36,Frank Slade,Scent of a Woman (1992),ENTJ,244 Pdb Votes
37,Gale Weathers,Scream (Franchise),ENTJ,629 Pdb Votes
38,Terry Silver,The Karate Kid (Franchise),ENTJ,555 Pdb Votes
39,Abraxas,Ofis Akademia,ENTJ,50 Pdb Votes
40,M3GAN,Megan (2023),ENTJ,1.1k Pdb Votes
41,Kathryn Merteuil,Cruel Intentions (1999),ENTJ,378 Pdb Votes
42,Elizabeth I of England,Elizabeth (1998 - 2007),XXXX,102 Pdb Votes
43,Dr. Alexander Isaacs,Resident Evil,ENTJ,57 Pdb Votes
44,Dieter Hellstrom,Inglourious Basterds (2009),ENTJ,221 Pdb Votes
45,Norman Stansfield,Léon: The Professional (1994),ENTJ,362 Pdb Votes
46,Shan Yu,Mulan (Franchise),ENTJ,392 Pdb Votes
47,Reenu,Premalu (2024),ENTJ,7 Pdb Votes
48,Woland,The Master and Margarita (2024),ENTJ,95 Pdb Votes
49,"Bruce Wayne ""Batman""",The Lego Batman Movie,ENTJ,542 Pdb Votes
50,Rocky,K.G.F (Series),ENTJ,118 Pdb Votes
51,"Roshan aka ""Pinkie""",Ice Age (Franchise),ENTJ,74 Pdb Votes
52,Hatsumomo,Memoirs of a Geisha (2005),XXXX,117 Pdb Votes
53,Scarlet Overkill,Despicable Me (Franchise),ENTJ,555 Pdb Votes
54,“Classified”,Madagascar (Franchise),ENTJ,190 Pdb Votes
55,LaVona Harding,"I, Tonya (2017)",ENTJ,251 Pdb Votes
56,Preminger,Barbie as the Princess and the Pauper (2004),ENTJ,399 Pdb Votes
57,Derek Vinyard,American History X (1998),ENTJ,367 Pdb Votes
58,Penny Peterson,Mr. Peabody & Sherman (2014),ENTJ,202 Pdb Votes
59,Margaret Tate,The Proposal (2009),ENTJ,182 Pdb Votes
60,Kevin,Despicable Me (Franchise),ENTJ,300 Pdb Votes
61,Lola,Shark Tale (2004),ENTJ,106 Pdb Votes
62,Marie,The Aristocats (1970),ENTJ,178 Pdb Votes
63,Imperator Furiosa,Mad Max (1979),ENTJ,171 Pdb Votes
64,Thomas Leroy / The Gentleman,Black Swan (2010),ENTJ,396 Pdb Votes
65,Gale Hawthorne,The Hunger Games (Franchise),ENTJ,744 Pdb Votes
66,Atticus Noble,Rebel Moon (Franchise),ENTJ,68 Pdb Votes
67,Генри Лэмптон,Linch,ENTJ,18 Pdb Votes
68,Vanessa,The Little Mermaid (1989),ENTJ,174 Pdb Votes
69,The Prince,Bullet Train,ENTJ,316 Pdb Votes
70,Adam Jones,Burnt,ENTJ,56 Pdb Votes
71,Diane Foxington,The Bad Guys (2022),ENTJ,472 Pdb Votes
72,Ali La Pointe,The Battle of Algiers (1966),ENTJ,8 Pdb Votes
73,Airam,Look Away (2018),ENTJ,159 Pdb Votes
74,Ghidorah's First Head (Ichi),MonsterVerse,ENTJ,27 Pdb Votes
75,Massimo Torricelli,365 Days (2020),ENTJ,233 Pdb Votes
76,Ben Wade,3:10 to Yuma (2007),ENTJ,61 Pdb Votes
77,Simon,The Gift (2015),ENTJ,37 Pdb Votes
78,King Ghidorah,MonsterVerse,ENTJ,147 Pdb Votes
79,Frank Costello,The Departed (2006),ENTJ,174 Pdb Votes
80,Mike,Sing (Franchise),ENTJ,226 Pdb Votes
81,King Leonidas of Sparta,300,ENTJ,460 Pdb Votes
82,Count Fujiwara,The Handmaiden (2016),ENTJ,179 Pdb Votes
83,"Alan ""Dutch"" Schaefer",Predator,ENTJ,125 Pdb Votes
84,Christian Grey,Fifty Shades of Grey (2015),ENTJ,936 Pdb Votes
85,Clayton,Tarzan (1999),ENTJ,152 Pdb Votes
86,Hopper,A Bug's Life (1998),ENTJ,256 Pdb Votes
87,Sauron,The Hobbit (Film Trilogy),ENTJ,595 Pdb Votes
88,Danny Ocean,Ocean's Eleven Trilogy,ENTJ,172 Pdb Votes
89,D-16,Transformers One,ENTJ,2 Pdb Votes
90,Beatrice,Miller’s Girl (2024),XXXX,9 Pdb Votes
91,Nick Vanzant,Supernova (2000),ENTJ,2 Pdb Votes
92,Sweet Dreams,Orion and the Dark (2024),ENTJ,15 Pdb Votes
93,Maxime Le Mal,Despicable Me (Franchise),XXXX,12 Pdb Votes
94,Judy Spears,How to Lose a Guy in 10 days,XXXX,4 Pdb Votes
95,Furiosa,Furiosa (2024),ENTJ,8 Pdb Votes
96,Damien Thorn (Sam Neil portrayal),The Omen (1976),ENTJ,19 Pdb Votes
97,Dr Cecilia Pederson,Saw Series (2004),ENTJ,190 Pdb Votes
98,Enzo Ferrari ,Ferrari,ENTJ,36 Pdb Votes
99,Moira,La Leyenda de la Nahuala,ENTJ,6 Pdb Votes
100,Gale Cumulus,Elemental,ENTJ,73 Pdb Votes
101,Qui LeBlanc,Harry Potter Magic Awakened,ENTJ,19 Pdb Votes
102,Leila,Leila's Brothers,ENTJ,114 Pdb Votes
103,Nora,Past Lives (2023),ENTJ,103 Pdb Votes
104,William Afton,Five Nights at Freddy's (Movie),ENTJ,505 Pdb Votes
105,Blue Dragon,Kung Fu Panda (Franchise),XXXX,3 Pdb Votes
106,Drill Instructor Fitch,Jarhead,ENTJ,13 Pdb Votes
107,Bradley Uppercrust III,A Goofy Movie (1995),ENTJ,32 Pdb Votes
108,Honor,Honor Society (2022),ENTJ,79 Pdb Votes
109,Tiffany Blanchette,Senior Year,ENTJ,49 Pdb Votes
110,Gangubai Kathiawadi,Gangubai Kathiawadi (2022),ENTJ,148 Pdb Votes
111,Riley's Dad's Anger,Inside Out (Franchise),ENTJ,68 Pdb Votes
112,Bob Lee Swagger,Shooter,ENTJ,29 Pdb Votes
113,Baron Von Ravendale,Barbie in Princess Power,ENTJ,9 Pdb Votes
114,Shimon Hayut (Simon Leviev),The Tinder Swindler,ENTJ,37 Pdb Votes
