char,movie,mbti,votes
Miguel O’Hara “Spider-Man 2099”,Spider-Man: Into the Spider-Verse (2018),ISTJ,5.1k Pdb Votes
Miles Morales “Spider-Man”,Spider-Man: Into the Spider-Verse (2018),ISFP,3.4k Pdb Votes
Peter Parker “Spider-Man”,The Amazing Spider-Man Duology,ISTP,2.7k Pdb Votes
Peter Parker “Spider-Man”,The Spider-Man Trilogy (2002),INFP,2.2k Pdb Votes
"Gwendolyn ""Gwen"" Stacy ""Spider-Woman""",Spider-Man: Into the Spider-Verse (2018),ISTP,2.2k Pdb Votes
"Harry Osborn ""Green Goblin""",The Amazing Spider-Man Duology,INFP,417 Pdb Votes
Peter B. Parker “Spider-Man”,Spider-Man: Into the Spider-Verse (2018),INTP,1.7k Pdb Votes
"Gwendolyn ""Gwen"" Stacy",The Amazing Spider-Man Duology,ENFJ,762 Pdb Votes
Venom,Venom (2018),ESTP,1.3k Pdb Votes
J. Jonah Jameson,The Spider-Man Trilogy (2002),ESTJ,672 Pdb Votes
Peter Parker “Spider-Man Noir”,Spider-Man: Into the Spider-Verse (2018),ISTP,560 Pdb Votes
Max Dillon “Electro”,The Amazing Spider-Man Duology,ISFP,411 Pdb Votes
Norman Osborn,The Spider-Man Trilogy (2002),ENTJ,733 Pdb Votes
"Peni Parker ""SP//dr""",Spider-Man: Into the Spider-Verse (2018),ENFP,642 Pdb Votes
Harry Osborn,The Spider-Man Trilogy (2002),ESFP,538 Pdb Votes
Mary Jane Watson,The Spider-Man Trilogy (2002),ISFP,747 Pdb Votes
May Parker,The Amazing Spider-Man Duology,ISFJ,54 Pdb Votes
Carnage,Venom (2018),ISTP,200 Pdb Votes
Flash Thompson,The Spider-Man Trilogy (2002),ESTP,52 Pdb Votes
Olivia&nbsp;Octavius,Spider-Man: Into the Spider-Verse (2018),ENTP,470 Pdb Votes
Curt Connors “The Lizard”,The Amazing Spider-Man Duology,INTJ,227 Pdb Votes
Eddie Brock “Venom”,The Spider-Man Trilogy (2002),ESFP,261 Pdb Votes
Flint Marko “Sandman”,The Spider-Man Trilogy (2002),ISFP,233 Pdb Votes
Jorge,The Amazing Spider-Man Duology,INTP,4 Pdb Votes
Richard Parker,The Amazing Spider-Man Duology,INTJ,27 Pdb Votes
Jefferson Morales,Spider-Man: Into the Spider-Verse (2018),ESTJ,269 Pdb Votes
Aaron Davis “The Prowler”,Spider-Man: Into the Spider-Verse (2018),ISTP,215 Pdb Votes
Ben Parker,The Spider-Man Trilogy (2002),ENFJ,166 Pdb Votes
"Eddie Brock ""Venom""",Venom (2018),ISFP,608 Pdb Votes
Dr. Otto Octavius “Doctor Octopus”,The Spider-Man Trilogy (2002),INTJ,885 Pdb Votes
Nightmare Spider Miles,The Spider Within: A Spider-Verse Story,XXXX,1 Pdb Vote
