,char,movie,mbti,votes
0,Regina George,Mean Girls (2004),ESTJ,6.6k Pdb Votes
1,Hermione Granger,Harry Potter / Wizarding World Films,ESTJ,7.3k Pdb Votes
2,Draco Malfoy,Harry Potter / Wizarding World Films,ESTJ,4.6k Pdb Votes
3,Isabela Madrigal,Encanto (2021),ESTJ,3.6k Pdb Votes
4,Tiana,The Princess and the Frog (2009),ESTJ,2.5k Pdb Votes
5,Anger,Inside Out (Franchise),ESTJ,2.2k Pdb Votes
6,Ember Lumen,Elemental,ESTJ,1.1k Pdb Votes
7,Veruca Salt,Charlie and the Chocolate Factory (2005),ESTJ,1k Pdb Votes
8,Dolores Umbridge,Harry Potter / Wizarding World Films,ESTJ,1.6k Pdb Votes
9,Heather Chandler,Heathers (1989),ESTJ,1.1k Pdb Votes
10,Li Shang,Mulan (Franchise),ESTJ,1.3k Pdb Votes
11,Lambert,Abigail (2024),XXXX,10 Pdb Votes
12,Ramses,The Prince of Egypt (1998),ESTJ,277 Pdb Votes
13,Chief Bogo,Zootopia (2016),ESTJ,364 Pdb Votes
14,Sergeant Tamora Jean Calhoun,Wreck-It Ralph (Franchise),ESTJ,469 Pdb Votes
15,Margaret Stoker,The Tearsmith (2024),ESTJ,21 Pdb Votes
16,Guinevere,Shrek (Franchise),ESTJ,37 Pdb Votes
17,Helen Parr “Elastigirl”,The Incredibles (Franchise),ESTJ,1.3k Pdb Votes
18,Queen Of Hearts,Alice in Wonderland (1951),ESTJ,464 Pdb Votes
19,Henry J. Waternoose III,"Monsters, Inc. (2001)",ESTJ,242 Pdb Votes
20,Jackson Storm,Cars (Franchise),ESTJ,205 Pdb Votes
21,Captain Georg von Trapp,The Sound of Music (1965),ESTJ,284 Pdb Votes
22,General Grievous,Star Wars,ESTJ,497 Pdb Votes
23,"Meredith ""Cruella"" Blake",The Parent Trap (1998),ESTJ,61 Pdb Votes
24,Queen Isabelle,Damsel (2024),ESTJ,35 Pdb Votes
25,Evelyn Wang,Everything Everywhere All At Once,ESTJ,1k Pdb Votes
26,Prince John,Robin Hood (1973),ESTJ,110 Pdb Votes
27,Colette Tatou,Ratatouille (2007),ESTJ,840 Pdb Votes
28,Lady Tremaine,Cinderella (1950),ESTJ,394 Pdb Votes
29,Alma Coin,The Hunger Games (Franchise),ESTJ,624 Pdb Votes
30,Amber,How to Date Billy Walsh (2024),ESTJ,8 Pdb Votes
31,The President,Civil War (2024),ESTJ,7 Pdb Votes
32,Aadhi,Premalu (2024),ESTJ,18 Pdb Votes
33,Eden Starling,Barbie In A Christmas Carol,ESTJ,271 Pdb Votes
34,Smiler,The Emoji Movie (2017),ESTJ,91 Pdb Votes
35,Patty Farrell,Diary of a Wimpy Kid (Series),ESTJ,208 Pdb Votes
36,Debbie Jellinsky,The Addams Family,ESTJ,200 Pdb Votes
37,P.T. Flea,A Bug's Life (1998),ESTJ,48 Pdb Votes
38,Tom Buchanan,The Great Gatsby (2013),ESTJ,177 Pdb Votes
39,Colin Sullivan,The Departed (2006),ESTJ,153 Pdb Votes
40,Walter Sobchack,The Big Lebowski (1998),ESTJ,426 Pdb Votes
41,Governor John Ratcliffe,Pocahontas (1995),ESTJ,210 Pdb Votes
42,Drizella Tremaine,Cinderella (1950),ESTJ,134 Pdb Votes
43,Fire,Elemental,ESTJ,11 Pdb Votes
44,Fiona (Another Reality),Shrek (Franchise),ESTJ,38 Pdb Votes
45,Tess Marshall,Barbarian (2022),ESTJ,94 Pdb Votes
46,Baroness von Hellman,Cruella (2021),ESTJ,983 Pdb Votes
47,Alpha,Up (2009),ESTJ,81 Pdb Votes
48,Jordan Mains,Southpaw (2015),ESTJ,14 Pdb Votes
49,Melvin “Mel” Horowitz,Clueless (1995),ESTJ,111 Pdb Votes
50,Marion McPherson,Lady Bird (2017),ESTJ,343 Pdb Votes
51,Agatha Trunchbull,Matilda (1996),ESTJ,385 Pdb Votes
52,Mayor Augustus Maywho,How The Grinch Stole Christmas (2000),ESTJ,66 Pdb Votes
53,Sally Walden,The Cat in the Hat (2003),ESTJ,80 Pdb Votes
54,Brick Top,Snatch (2000),ESTJ,77 Pdb Votes
55,George Darling,Peter Pan (1953),ESTJ,66 Pdb Votes
56,Richard Hoover,Little Miss Sunshine (2006),ESTJ,211 Pdb Votes
57,Aubrey Posen,Pitch Perfect (Series),ESTJ,291 Pdb Votes
58,Prince Adam “Beast”,Beauty and the Beast (2017),ESTJ,170 Pdb Votes
59,Eleanor Young,Crazy Rich Asians (2018),ESTJ,109 Pdb Votes
60,Philoctetes,Hercules (franchise),ESTJ,156 Pdb Votes
61,AUTO,WALL-E (2008),ESTJ,271 Pdb Votes
62,Captain Dickson,21 Jump Street (2012),ESTJ,95 Pdb Votes
63,Lord Business,The Lego Movie (Franchise),ESTJ,228 Pdb Votes
64,Alastor “Mad-Eye” Moody,Harry Potter / Wizarding World Films,ESTJ,456 Pdb Votes
65,Lucius Malfoy,Harry Potter / Wizarding World Films,ESTJ,462 Pdb Votes
66,"Richard ""Dick"" Vernon",The Breakfast Club (1985),ESTJ,312 Pdb Votes
67,Gally,The Maze Runner (Film Trilogy),ESTJ,240 Pdb Votes
68,Hector Barbossa,Pirates of the Caribbean,ESTJ,599 Pdb Votes
69,Théoden,The Lord of the Rings (Film Trilogy),ESTJ,283 Pdb Votes
70,Michael Light,Arthur the King (2024),XXXX,8 Pdb Votes
71,Elizabeth,Problemista (2023),ESTJ,5 Pdb Votes
72,The Chef,Migration (2023),XXXX,8 Pdb Votes
73,Taeko Oguro,Liverleaf (2018),ESTJ,27 Pdb Votes
74,Hedwig Höss,The Zone of Interest (2023),ESTJ,44 Pdb Votes
75,Sumiko Ota,Godzilla Minus One,ESTJ,8 Pdb Votes
76,Queen Karina,Barbie in Princess Power,ESTJ,6 Pdb Votes
77,Mrs. Scrubitt,Wonka (2023 Movie),ESTJ,40 Pdb Votes
78,Tamika,The Little Mermaid (2023 film),XXXX,8 Pdb Votes
79,Mrs. Maud Railton-Bell,Separate Tables (1958),ESTJ,3 Pdb Votes
80,Leslie Groves Jr.,Oppenheimer (2023),ESTJ,308 Pdb Votes
81,Olga's Mother,Turks fruit / Turkish Delight (1973),ESTJ,9 Pdb Votes
82,Kurt Kotler,The Boy in the Striped Pajamas (2008),ESTJ,17 Pdb Votes
83,Liz,The Whale (2022),ESTJ,97 Pdb Votes
84,Goldilocks,Shrek (Franchise),ESTJ,711 Pdb Votes
85,Ringmaster,Dumbo (1941),XXXX,15 Pdb Votes
86,Bela,Hotel Transylvania (2012),ESTJ,16 Pdb Votes
87,Jack,Last Night in Soho (2021),ESTJ,109 Pdb Votes
88,Kate Schmidt,Fear Street (Franchise),ESTJ,463 Pdb Votes
89,Ilene Andrews,Godzilla vs. Kong,ESTJ,31 Pdb Votes
90,Willy Bank,Ocean's Eleven Trilogy,ESTJ,16 Pdb Votes
91,Princess Genevieve,Barbie in Rock 'N Royals (2015),XXXX,17 Pdb Votes
92,Paul Peterson,Mr. Peabody & Sherman (2014),ESTJ,24 Pdb Votes
93,Scylla,MonsterVerse,ESTJ,18 Pdb Votes
94,Napoleon,The Aristocats (1970),ESTJ,21 Pdb Votes
95,"Scrapper ""Scrappy"" Doo",Scooby-Doo (2002),ESTJ,28 Pdb Votes
96,Clark,Good Will Hunting (1997),ESTJ,54 Pdb Votes
97,Kenichi Takabe,Kyua (Cure) (1997),ESTJ,28 Pdb Votes
98,Alex,Safe Haven,XXXX,16 Pdb Votes
99,John Mullany,"sex, lies, and videotape",ESTJ,12 Pdb Votes
100,Ching Shih,Pirates of the Caribbean,ESTJ,17 Pdb Votes
101,Mycroft Holmes,Enola Holmes (2020),ESTJ,272 Pdb Votes
