,char,movie,mbti,votes
0,Simon Seville,Alvin And The Chipmunks (2007),ISTJ,1.6k Pdb Votes
1,Darth Vader,Star Wars,ISTJ,3.3k Pdb Votes
2,Tigress,Kung Fu Panda (Franchise),ISTJ,1.7k Pdb Votes
3,Maximus Decimus Meridius,Gladiator (2000),XXXX,972 Pdb Votes
4,Marlin,Finding Nemo (Franchise),ISTJ,1.1k Pdb Votes
5,Branch,Trolls (2016),ISTJ,508 Pdb Votes
6,Bolt,Bolt (2008),ISTJ,488 Pdb Votes
7,Alma “Abuela” Madrigal,Encanto (2021),ISTJ,1.9k Pdb Votes
8,Carl Fredricksen,Up (2009),ISTJ,1.7k Pdb Votes
9,Astrid Hofferson,How to Train Your Dragon (Franchise),ISTJ,1.3k Pdb Votes
10,Stilgar,Dune (2021),ISTJ,227 Pdb Votes
11,Vidia,Tinker Bell (2008),ISTJ,1.2k Pdb Votes
12,"Officer K / ""Joe""",Blade Runner,ISTJ,971 Pdb Votes
13,Mel Jones,Coraline (2009),ISTJ,694 Pdb Votes
14,EVE,WALL-E (2008),ISTJ,929 Pdb Votes
15,Jason Voorhees,Friday the 13th (1980),ISTJ,458 Pdb Votes
16,Anton Ego,Ratatouille (2007),ISTJ,912 Pdb Votes
17,Lucille Sharpe,Crimson Peak (2015),ISTJ,241 Pdb Votes
18,Master Shifu,Kung Fu Panda (Franchise),ISTJ,1.2k Pdb Votes
19,Asia,The Tearsmith (2024),ISTJ,14 Pdb Votes
20,Knuckles the Echidna,Sonic the Hedgehog (Film Series),ISTJ,380 Pdb Votes
21,Grumpy,Snow White and the Seven Dwarfs (1937),ISTJ,262 Pdb Votes
22,Rabbit,Winnie the Pooh (Franchise),ISTJ,390 Pdb Votes
23,White Rabbit,Alice in Wonderland (1951),ISTJ,380 Pdb Votes
24,Mace Windu,Star Wars,ISTJ,640 Pdb Votes
25,Noodle,Wonka (2023 Movie),ISTJ,233 Pdb Votes
26,Kim Sang Deok,Exhuma (2023),XXXX,20 Pdb Votes
27,Shaddam Corrino IV,Dune (2021),ISTJ,65 Pdb Votes
28,Gurney Halleck,Dune (2021),ISTJ,185 Pdb Votes
29,King Harold,Shrek (Franchise),ISTJ,260 Pdb Votes
30,Léon,Léon: The Professional (1994),ISTJ,677 Pdb Votes
31,Stinky Pete the Prospector,Toy Story (Franchise),ISTJ,206 Pdb Votes
32,Susan Pevensie,The Chronicles of Narnia (Film Trilogy),ISTJ,620 Pdb Votes
33,Wilhuff Tarkin,Star Wars,ISTJ,407 Pdb Votes
34,Prince Henry,Damsel (2024),ISTJ,66 Pdb Votes
35,Tick Wills,Southpaw (2015),ISTJ,14 Pdb Votes
36,Nanny McPhee,Nanny McPhee (2005),ISTJ,142 Pdb Votes
37,Frank Martin,Transporter,ISTJ,56 Pdb Votes
38,Doc Hudson,Cars (Franchise),ISTJ,319 Pdb Votes
39,Tom Hagen,The Godfather (1972),ISTJ,368 Pdb Votes
40,Dr. John Watson,Sherlock Holmes,ISTJ,225 Pdb Votes
41,Sebastian,The Little Mermaid (1989),ISTJ,380 Pdb Votes
42,Minerva McGonagall,Harry Potter / Wizarding World Films,ISTJ,1.1k Pdb Votes
43,Joon-Young,unlocked,ISTJ,163 Pdb Votes
44,Leonard,The Outfit,ISTJ,38 Pdb Votes
45,Chris Flynn,Wrong Turn (2003),ISTJ,31 Pdb Votes
46,Mr. Hubert Snake,The Bad Guys (2022),ISTJ,400 Pdb Votes
47,Mya,Think Like a Man (2012),ENFP,21 Pdb Votes
48,Sam Cahill,Brothers (2009),ISTJ,74 Pdb Votes
49,Delancy Devin,Barbie: Princess Charm School,ISTJ,365 Pdb Votes
