char,movie,mbti,votes
Tyler Durden,Fight Club (1999),ENTP,14000
Bruno Madrigal,Encanto (2021),INFJ,8600
Elsa,Frozen (Franchise),INFJ,8500
Patrick Bateman,American Psycho (2000),ENTJ,8100
Hermione Granger,Harry Potter / Wizarding World Films,ESTJ,7300
Loki Laufeyson,MCU,INFJ,7300
Luna Lovegood,Harry Potter / Wizarding World Films,INFP,7100
Regina George,Mean Girls (2004),ESTJ,6600
Tony Stark “Iron Man”,MCU,ENTP,6500
Anakin Skywalker,Star Wars,ESFP,6000
"Wanda Maximoff ""Scarlet Witch""",MCU,INFP,5800
Harry Potter,Harry Potter / Wizarding World Films,ISFP,5700
Mirabel Madrigal,Encanto (2021),ENFP,5600
"Stephen Strange ""Doctor Strange""",MCU,INTJ,5200
Thor Odinson,MCU,ESTP,5200
Coraline Jones,Coraline (2009),ISFP,5100
Karen Smith,Mean Girls (2004),ENFP,5100
Miguel O’Hara “Spider-Man 2099”,Spider-Man: Into the Spider-Verse (2018),ISTJ,5100
Peter Parker / Spider-Man,MCU,ENFP,5000
Severus Snape,Harry Potter / Wizarding World Films,INTJ,4900
Rapunzel,Tangled (2010),ENFP,4900
Merida,Brave (2012),ESFP,4800
Anna,Frozen (Franchise),ENFP,4800
Meilin “Mei” Lee,Turning Red (2022),ESFP,4800
Arthur Fleck/Joker,Joker (2019),INFP,4700
Draco Malfoy,Harry Potter / Wizarding World Films,ESTJ,4600
Katniss Everdeen,The Hunger Games (Franchise),ISTP,4500
The Narrator,Fight Club (1999),ISFJ,4400
Kat Stratford,10 Things I Hate About You (1999),INTJ,4200
The Joker,The Dark Knight Trilogy (2005),ENTP,4200
Cruella de Vil,Cruella (2021),ENTJ,3900
Pearl,Pearl (2022),ENFP,3900
Shrek,Shrek (Franchise),ISTP,3900
Amy Elliott Dunne,Gone Girl (2014),INFJ,3800
Bruce Wayne “Batman”,The Batman (2022),INTJ,3700
Alice,Alice in Wonderland (1951),INTP,3600
Isabela Madrigal,Encanto (2021),ESTJ,3600
"Steve Rogers ""Captain America""",MCU,ISFJ,3600
Thanos,MCU,INTJ,3500
Fa Mulan,Mulan (Franchise),ISTP,3500
Nina Sayers/ The Swan Queen,Black Swan (2010),INFJ,3400
Miles Morales “Spider-Man”,Spider-Man: Into the Spider-Verse (2018),ISFP,3400
Nick Wilde,Zootopia (2016),ENTP,3400
Barbie,Barbie (2023),ESFJ,3300
Joy,Inside Out (Franchise),ENFJ,3300
Moana Waialiki,Moana (2016),ENFJ,3300
Darth Vader,Star Wars,ISTJ,3300
Captain Jack Sparrow,Pirates of the Caribbean,ENTP,3200
"Eugene Fitzherbert ""Flynn Rider""",Tangled (2010),ESTP,3200
Lord Voldemort,Harry Potter / Wizarding World Films,ENTJ,3100
Janis Ian,Mean Girls (2004),ISFP,3100
Puss in Boots,Shrek (Franchise),ESTP,3100
Harleen Quinzel “Harley Quinn”,DC Extended Universe,ENFP,3000
Wade Wilson “Deadpool”,Deadpool (2016),ENTP,3000
Ronald “Ron” Weasley,Harry Potter / Wizarding World Films,ESFP,3000
Albus Dumbledore,Harry Potter / Wizarding World Films,INFJ,2900
Sirius Black,Harry Potter / Wizarding World Films,ESTP,2900
Josephine “Jo” March,Little Women (2019),ENFP,2900
The Protagonist (vote your type),Markiplier Cinematic Multiverse,INTP,2900
Obi-Wan Kenobi,Star Wars,INFJ,2900
Scar,The Lion King (Franchise),INTJ,2900
Judy Hopps,Zootopia (2016),ENFJ,2900
Luisa Madrigal,Encanto (2021),ISFJ,2800
Luke Skywalker,Star Wars,INFP,2800
Alex DeLarge,A Clockwork Orange (1971),ENTP,2700
Hiccup Horrendous Haddock III,How to Train Your Dragon (Franchise),INTP,2700
Jennifer Check,Jennifer's Body (2009),ESTP,2700
Amy March,Little Women (2019),ESFP,2700
Cady Heron,Mean Girls (2004),ISFJ,2700
Megamind,Megamind (2010),ENTP,2700
Leia Organa,Star Wars,ENTJ,2700
Peter Parker “Spider-Man”,The Amazing Spider-Man Duology,ISTP,2700
Edward Nashton “The Riddler”,The Batman (2022),INTP,2700
Peeta Mellark,The Hunger Games (Franchise),ENFP,2700
Sadness,Inside Out (Franchise),INFP,2600
"Perter Quill ""Star-Lord""",MCU,ESFP,2600
"Emperor Palpatine ""Darth Sidious""",Star Wars,INTJ,2600
Princess Ariel,The Little Mermaid (1989),ENFP,2600
Ken,Barbie (2023),ESFP,2500
Cher Horowitz,Clueless (1995),ESFJ,2500
"Natasha Romanoff ""Black Widow""",MCU,ISTP,2500
Rocket Raccoon,MCU,ESTP,2500
"Hobart ""Hobie"" Brown ""Spider-Punk""",Spider-Man: Across the Spider-Verse (2023),ESTP,2500
Ben Solo “Kylo Ren”,Star Wars,INFP,2500
Tiana,The Princess and the Frog (2009),ESTJ,2500
Belle,Beauty and the Beast (Franchise),INFP,2400
Willy Wonka,Charlie and the Chocolate Factory (2005),ENFP,2400
Camilo Madrigal,Encanto (2021),ENTP,2400
Elle Woods,Legally Blonde (2001),ENFJ,2400
Han Solo,Star Wars,ESTP,2400
Michael Corleone,The Godfather (1972),INTJ,2400
Gandalf the Grey,The Lord of the Rings (Film Trilogy),INTJ,2400
Paul Atreides,Dune (2021),INTJ,2300
Remus Lupin,Harry Potter / Wizarding World Films,INFJ,2300
Po Ping,Kung Fu Panda (Franchise),ENFP,2300
"Michelle ""MJ"" Jones-Watson",MCU,INTP,2300
Wednesday Addams,The Addams Family,INTJ,2300
The Once-ler,The Lorax (2012),ENFP,2300
Isabella “Bella” Swan,Twilight (Franchise),ISFP,2300
V,V for Vendetta (2005),INTJ,2300
Hiro Hamada,Big Hero 6 (2014),INTP,2200
"Jason Dean ""J.D.""",Heathers (1989),ENTP,2200
