adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lLh39Th5plbrQgbQ4zyIULsd0Pp.jpg,"[878, 28, 12]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",3384.641,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,6.96,1377
False,/lzWHmYdfeFiMIY4JaMmtR7GEli3.jpg,"[878, 12]",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",571.112,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,7.779,11599
False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,"[35, 12]",346698,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",472.981,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,Barbie,False,7.066,8233
False,/xJHokMbljvjADYdit5fK5VQsXEG.jpg,"[12, 18, 878]",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,422.571,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.434,34326
False,/6aoyUbvu0419XLKLIMoH0TkEicH.jpg,"[80, 18]",103,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,383.786,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,Taxi Driver,False,8.152,11771
False,/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg,"[28, 80, 18, 53]",395990,en,Death Wish,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,346.31,/g0eEEZAqMf98ULQnoiORuazjOpn.jpg,2018-03-02,Death Wish,False,6.158,2472
False,/bsoAg22remHKL5O0xJH0m9DX6Pu.jpg,"[80, 18, 9648, 53]",829,en,Chinatown,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",319.274,/mQJz8J4naOA7RmCtypTPjgXZIMY.jpg,1974-06-20,Chinatown,False,7.9,3642
False,/hZnnUq0mrUQ3e54SJVca4mf2oAQ.jpg,"[27, 28]",36647,en,Blade,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.",310.316,/oWT70TvbsmQaqyphCZpsnQR7R32.jpg,1998-08-21,Blade,False,6.782,5739
False,/uUJp5I4IbzuhdUiEx4R9OAoFpbz.jpg,"[27, 53]",951491,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",261.995,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg,2023-09-27,Saw X,False,7.291,1692
False,/ufUdEHvs31M8yw3HMFjhTaVJIVp.jpg,[18],1374,en,Rocky IV,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Ivan Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",262.966,/2MHUit4H6OK5adcOjnCN6suCKOl.jpg,1985-11-21,Rocky IV,False,7.083,4227
