franchise,movie
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street (1984)
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street 2: Freddy's Revenge (1985)
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street 3: Dream Warriors (1987)
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street 4: The Dream Master (1988)
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street 5: The Dream Child (1989)
A Nightmare on Elm Street (Franchise),Freddy's Dead: The Final Nightmare (1991)
A Nightmare on Elm Street (Franchise),Wes Craven's New Nightmare (1994)
A Nightmare on Elm Street (Franchise),Freddy vs. Jason (2003)
A Nightmare on Elm Street (Franchise),A Nightmare on Elm Street (2010)
Alice in Wonderland / Through the Looking Glass (2010 - 2016),Alice in Wonderland (2010)
Alice in Wonderland / Through the Looking Glass (2010 - 2016),Alice Through the Looking Glass (2016)
Asterix and Obelix (Franchise),Asterix and Obelix vs. Caesar (1999)
Asterix and Obelix (Franchise),Asterix & Obelix: Mission Cleopatra (2002)
Asterix and Obelix (Franchise),Asterix at the Olympic Games (2008)
Asterix and Obelix (Franchise),Asterix and Obelix: God Save Britannia (2012)
Asterix and Obelix (Franchise),Asterix & Obelix: The Middle Kingdom (2023)
Avatar (Franchise),Avatar (2009)
Avatar (Franchise),Avatar: The Way of Water (2022)
Back to the Future (Series),Back to the Future (1985)
Back to the Future (Series),Back to the Future Part II (1989)
Back to the Future (Series),Back to the Future Part III (1990)
Boss Baby (Franchise),The Boss Baby (2017)
Boss Baby (Franchise),The Boss Baby: Family Business (2021)
Borat (Series),Borat (2006)
Borat (Series),Borat Subsequent Moviefilm (2020)
Bridget Jones's Diary (franchise),Bridget Jones's Diary (2001)
Bridget Jones's Diary (franchise),Bridget Jones: The Edge of Reason (2004)
Bridget Jones's Diary (franchise),Bridget Jones's Baby (2016)
Bring It On (franchise),Bring It On (2000)
Bring It On (franchise),Bring It On Again (2004)
Bring It On (franchise),Bring It On: All or Nothing (2006)
Bring It On (franchise),Bring It On: In It to Win It (2007)
Bring It On (franchise),Bring It On: Fight to the Finish (2009)
Bring It On (franchise),Bring It On: Worldwide Cheersmack (2017)
Bring It On (franchise),Bring It On: Cheer or Die (2022)
Cars (Franchise),Cars (2006)
Cars (Franchise),Cars 2 (2011)
Cars (Franchise),Cars 3 (2017)
Cheaper by the Dozen (Franchise),Cheaper by the Dozen (1950)
Cheaper by the Dozen (Franchise),Belles on Their Toes (1952)
Cheaper by the Dozen (Franchise),Cheaper by the Dozen (2003)
Cheaper by the Dozen (Franchise),Cheaper by the Dozen 2 (2005)
Cheaper by the Dozen (Franchise),Cheaper by the Dozen (2022)
DC Extended Universe,Man of Steel (2013)
DC Extended Universe,Batman v Superman: Dawn of Justice (2016)
DC Extended Universe,Suicide Squad (2016)
DC Extended Universe,Wonder Woman (2017)
DC Extended Universe,Justice League (2017)
DC Extended Universe,Aquaman (2018)
DC Extended Universe,Shazam! (2019)
DC Extended Universe,Birds of Prey (2020)
DC Extended Universe,Wonder Woman 1984 (2020)
DC Extended Universe,The Suicide Squad (2021)
DC Extended Universe,Black Adam (2022)
DC Extended Universe,Shazam! Fury of the Gods (2023)
DC Extended Universe,The Flash (2023)
DC Extended Universe,Blue Beetle (2023)
DC Extended Universe,Aquaman and the Lost Kingdom (2023)
Descendants (Franchise),Descendants (2015)
Descendants (Franchise),Descendants 2 (2017)
Descendants (Franchise),Descendants 3 (2019)
Descendants (Franchise),Descendants: The Rise of Red (2024)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid (2010)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid: Rodrick Rules (2011)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid: Dog Days (2012)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid: The Long Haul (2017)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid (2021)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid: Rodrick Rules (2022)
Diary of a Wimpy Kid (Series),Diary of a Wimpy Kid Christmas: Cabin Fever (2023)
Evil Dead Series,The Evil Dead (1981)
Evil Dead Series,Evil Dead II (1987)
Evil Dead Series,Army of Darkness (1992)
Evil Dead Series,Evil Dead (2013)
Evil Dead Series,Evil Dead Rise (2023)
Fantastic Beasts,Fantastic Beasts and Where to Find Them (2016)
Fantastic Beasts,Fantastic Beasts: The Crimes of Grindelwald (2018)
Fantastic Beasts,Fantastic Beasts: The Secrets of Dumbledore (2022)
Finding Nemo (Franchise),Finding Nemo (2003)
Finding Nemo (Franchise),Finding Dory (2016)
Frozen (Franchise),Frozen (2013)
Frozen (Franchise),Frozen II (2019)
Harry Potter / Wizarding World Films,Harry Potter and the Philosopher's Stone (2001)
Harry Potter / Wizarding World Films,Harry Potter and the Chamber of Secrets (2002)
Harry Potter / Wizarding World Films,Harry Potter and the Prisoner of Azkaban (2004)
Harry Potter / Wizarding World Films,Harry Potter and the Goblet of Fire (2005)
Harry Potter / Wizarding World Films,Harry Potter and the Order of the Phoenix (2007)
Harry Potter / Wizarding World Films,Harry Potter and the Half-Blood Prince (2009)
Harry Potter / Wizarding World Films,Harry Potter and the Deathly Hallows – Part 1 (2010)
Harry Potter / Wizarding World Films,Harry Potter and the Deathly Hallows – Part 2 (2011)
Hercules (franchise),Hercules (1997)
Hercules (franchise),Hercules: Zero to Hero (1999)
How to Train Your Dragon (Franchise),How to Train Your Dragon (2010)
How to Train Your Dragon (Franchise),How to Train Your Dragon 2 (2014)
How to Train Your Dragon (Franchise),How to Train Your Dragon: The Hidden World (2019)
Ice Age (Franchise),Ice Age (2002)
Ice Age (Franchise),Ice Age: The Meltdown (2006)
Ice Age (Franchise),Ice Age: Dawn of the Dinosaurs (2009)
Ice Age (Franchise),Ice Age: Continental Drift (2012)
Ice Age (Franchise),Ice Age: Collision Course (2016)
Ice Age (Franchise),The Ice Age Adventures of Buck Wild (2022)
James Bond Film Series,Dr. No (1962)
James Bond Film Series,From Russia with Love (1963)
James Bond Film Series,Goldfinger (1964)
James Bond Film Series,Thunderball (1965)
James Bond Film Series,You Only Live Twice (1967)
James Bond Film Series,On Her Majesty's Secret Service (1969)
James Bond Film Series,Diamonds Are Forever (1971)
James Bond Film Series,Live and Let Die (1973)
James Bond Film Series,The Man with the Golden Gun (1974)
James Bond Film Series,The Spy Who Loved Me (1977)
James Bond Film Series,Moonraker (1979)
James Bond Film Series,For Your Eyes Only (1981)
James Bond Film Series,Octopussy (1983)
James Bond Film Series,A View to a Kill (1985)
James Bond Film Series,The Living Daylights (1987)
James Bond Film Series,GoldenEye (1995)
James Bond Film Series,Tomorrow Never Dies (1997)
James Bond Film Series,The World Is Not Enough (1999)
James Bond Film Series,Die Another Day (2002)
James Bond Film Series,Casino Royale (2006)
James Bond Film Series,Quantum of Solace (2008)
James Bond Film Series,Skyfall (2012)
James Bond Film Series,Spectre (2015)
James Bond Film Series,No Time to Die (2021)
John Wick,John Wick (2014)
John Wick,John Wick: Chapter 2 (2017)
John Wick,John Wick: Chapter 3 – Parabellum (2019)
John Wick,John Wick: Chapter 4 (2023)
Jurassic Park / Jurassic World (Film Franchise),Jurassic Park (1993)
Jurassic Park / Jurassic World (Film Franchise),The Lost World: Jurassic Park (1997)
Jurassic Park / Jurassic World (Film Franchise),Jurassic Park III (2001)
Jurassic Park / Jurassic World (Film Franchise),Jurassic World (2015)
Jurassic Park / Jurassic World (Film Franchise),Jurassic World: Fallen Kingdom (2018)
Jurassic Park / Jurassic World (Film Franchise),Jurassic World Dominion (2022)
Kung Fu Panda (Franchise),Kung Fu Panda (2008)
Kung Fu Panda (Franchise),Kung Fu Panda 2 (2011)
Kung Fu Panda (Franchise),Kung Fu Panda 3 (2016)
Kung Fu Panda (Franchise),Kung Fu Panda 4 (2024)
Lilo & Stitch (Franchise),Lilo & Stitch (2002)
Lilo & Stitch (Franchise),Stitch! The Movie (2003)
Lilo & Stitch (Franchise),Lilo & Stitch 2: Stitch Has a Glitch (2005)
Lilo & Stitch (Franchise),Leroy & Stitch (2006)
Madagascar (Franchise),Madagascar (2005)
Madagascar (Franchise),Madagascar: Escape 2 Africa (2008)
Madagascar (Franchise),Madagascar 3: Europe's Most Wanted (2012)
Madagascar (Franchise),Penguins of Madagascar (2014)
MCU,Iron Man (2008)
MCU,The Incredible Hulk (2008)
MCU,Iron Man 2 (2010)
MCU,Thor (2011)
MCU,Captain America: The First Avenger (2011)
MCU,The Avengers (2012)
MCU,Iron Man 3 (2013)
MCU,Thor: The Dark World (2013)
MCU,Captain America: The Winter Soldier (2014)
MCU,Guardians of the Galaxy (2014)
MCU,Avengers: Age of Ultron (2015)
MCU,Ant-Man (2015)
MCU,Captain America: Civil War (2016)
MCU,Doctor Strange (2016)
MCU,Guardians of the Galaxy Vol. 2 (2017)
MCU,Spider-Man: Homecoming (2017)
MCU,Thor: Ragnarok (2017)
MCU,Black Panther (2018)
MCU,Avengers: Infinity War (2018)
MCU,Ant-Man and the Wasp (2018)
MCU,Captain Marvel (2019)
MCU,Avengers: Endgame (2019)
MCU,Spider-Man: Far From Home (2019)
MCU,Black Widow (2021)
MCU,Shang-Chi and the Legend of the Ten Rings (2021)
MCU,Eternals (2021)
MCU,Spider-Man: No Way Home (2021)
MCU,Doctor Strange in the Multiverse of Madness (2022)
MCU,Thor: Love and Thunder (2022)
MCU,Black Panther: Wakanda Forever (2022)
MCU,Ant-Man and the Wasp: Quantumania (2023)
MCU,Guardians of the Galaxy Vol. 3 (2023)
MCU,The Marvels (2023)
Mission: Impossible (Franchise),Mission: Impossible (1996)
Mission: Impossible (Franchise),Mission: Impossible 2 (2000)
Mission: Impossible (Franchise),Mission: Impossible III (2006)
Mission: Impossible (Franchise),Mission: Impossible – Ghost Protocol (2011)
Mission: Impossible (Franchise),Mission: Impossible – Rogue Nation (2015)
Mission: Impossible (Franchise),Mission: Impossible – Fallout (2018)
Mission: Impossible (Franchise),Mission: Impossible – Dead Reckoning Part One (2023)
MonsterVerse,Godzilla (2014)
MonsterVerse,Kong: Skull Island (2017)
MonsterVerse,Godzilla: King of the Monsters (2019)
MonsterVerse,Godzilla vs. Kong (2021)
MonsterVerse,Godzilla x Kong: The New Empire (2024)
Mulan (Franchise),Mulan (1998)
Mulan (Franchise),Mulan II (2004)
Night At The Museum (Franchise),Night at the Museum (2006)
Night At The Museum (Franchise),Night at the Museum: Battle of the Smithsonian (2009)
Night At The Museum (Franchise),Night at the Museum: Secret of the Tomb (2014)
Night At The Museum (Franchise),Night at the Museum: Kahmunrah Rises Again (2022)
Now You See Me (Franchise),Now You See Me (2013)
Now You See Me (Franchise),Now You See Me 2 (2016)
Ocean's Eleven Trilogy,Ocean's Eleven (2001)
Ocean's Eleven Trilogy,Ocean's Twelve (2004)
Ocean's Eleven Trilogy,Ocean's Thirteen (2007)
Ocean's Eleven Trilogy,Ocean's 8 (2018)
Pirates of the Caribbean,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Pirates of the Caribbean,Pirates of the Caribbean: Dead Man's Chest (2006)
Pirates of the Caribbean,Pirates of the Caribbean: At World's End (2007)
Pirates of the Caribbean,Pirates of the Caribbean: On Stranger Tides (2011)
Pirates of the Caribbean,Pirates of the Caribbean: Dead Men Tell No Tales (2017)
Pitch Perfect (Series),Pitch Perfect (2012)
Pitch Perfect (Series),Pitch Perfect 2 (2015)
Pitch Perfect (Series),Pitch Perfect 3 (2017)
Rebel Moon (Franchise),Rebel Moon – Part One: A Child of Fire (2024)
Scream (Franchise),Scream (1996)
Scream (Franchise),Scream 2 (1997)
Scream (Franchise),Scream 3 (2000)
Scream (Franchise),Scream 4 (2011)
Scream (Franchise),Scream (2022)
Scream (Franchise),Scream VI (2023)
Shrek (Franchise),Shrek (2001)
Shrek (Franchise),Shrek 2 (2004)
Shrek (Franchise),Shrek the Third (2007)
Shrek (Franchise),Shrek Forever After (2010)
Shrek (Franchise),Puss in Boots (2011)
Shrek (Franchise),Puss in Boots: The Last Wish (2022)
Sin City (franchise),Sin City (2005)
Sin City (franchise),Sin City: A Dame to Kill For (2014)
Sing (Franchise),Sing (2016)
Sing (Franchise),Sing 2 (2021)
Star Trek,Star Trek: The Motion Picture (1979)
Star Trek,Star Trek II: The Wrath of Khan (1982)
Star Trek,Star Trek III: The Search for Spock (1984)
Star Trek,Star Trek IV: The Voyage Home (1986)
Star Trek,Star Trek V: The Final Frontier (1989)
Star Trek,Star Trek VI: The Undiscovered Country (1991)
Star Trek,Star Trek Generations (1994)
