,genre_ids,id,popularity,release_date,title,vote_average,vote_count
0,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
1,"[878, 12, 28]",447365,169.896,2023-05-03,Guardians of the Galaxy Vol. 3,7.972,6262
2,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
3,"[28, 12, 878]",429617,124.72,2019-06-28,Spider-Man: Far From Home,7.4,15144
4,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
5,"[28, 12, 878]",1930,138.079,2012-06-23,The Amazing Spider-Man,6.7,16878
6,"[18, 10749]",76,46.182,1995-01-27,Before Sunrise,7.97,3946
7,"[18, 10749]",76,46.182,1995-01-27,Before Sunrise,7.97,3946
8,"[878, 10749, 35]",792307,264.1,2023-12-07,Poor Things,7.792,3355
9,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
10,"[12, 28, 35]",9486,30.584,2003-03-14,Johnny English,6.276,3308
11,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28876
12,"[28, 18]",361743,144.42,2022-05-21,Top Gun: Maverick,8.221,8587
13,"[28, 878]",603,575.344,1999-03-31,The Matrix,8.215,24874
14,"[12, 28, 878]",333339,78.571,2018-03-28,Ready Player One,7.6,15069
15,"[35, 80, 9648]",661374,89.459,2022-11-12,Glass Onion: A Knives Out Mystery,7.047,5137
16,"[28, 12, 14]",284052,436.23,2016-10-25,Doctor Strange,7.423,21583
17,"[18, 36]",872585,746.474,2023-07-19,Oppenheimer,8.1,8026
18,"[16, 12, 14, 35, 28, 10751]",315162,188.621,2022-12-07,Puss in Boots: The Last Wish,8.2,7256
19,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28876
20,[],891850,0.543,2021-11-11,Amélie,0.0,0
21,"[28, 53, 878]",752,70.199,2006-02-23,V for Vendetta,7.9,14074
22,"[27, 878]",348,540.643,1979-05-25,Alien,8.153,13940
23,[],407934,1.912,2012-07-31,Mathilda,7.4,8
24,"[10751, 14, 35]",252,74.961,1971-06-29,Willy Wonka & the Chocolate Factory,7.503,3419
