timestamp,username,consent,age_confirmation,mbti,mbti_test,char_movie1,char_movie2,char_movie3,char_movie4,char_movie5,char_movie6,char_movie7,char_movie8,char_movie9,char_movie10,comments
4/29/2024 15:45:45,deadpool123,I agree.,"Yes, I am at least 18 years old.",ENFP,michaelcaloz.com,Tony Stark//Avengers: Endgame,Captain America//Avengers: Endgame,Miles Morales//Spider-Man: Across the Spider-Verse,Hobie Brown//Spider-Man: Across the Spider-Verse,Peter Parker//Spider-Man: Far From Home,Bella Baxter//Poor Things,Jesse Wallace//Before Sunrise,Celine//Before Sunrise,Peter Parker//The Amazing Spider-Man,Rocket Raccoon//Guardians of the Galaxy Vol. 3,
4/29/2024 19:59:03,GBDymrBKBcsRMqef9Nyx#Kn#3LiihcF7#&ghPx!M,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Puss in Boots // Puss in Boots: The Last Wish,J. Robert Oppenheimer // Oppenheimer,Johnny English // Johnny English,Parzival (Wade Watts) // Ready Player One,Benoit Blanc // A Knives Out,Dr. Stephen Strange // Doctor Strange,Neo // The Matrix,"Captain Pete ""Maverick"" Mitchell // Top Gun: Maverick",Tony Stark // Avengers: Infinity War,Loki // Avengers: Infinity War,
4/30/2024 4:57:43,Lady-Orpheus,I agree.,"Yes, I am at least 18 years old.",INFP,Truity,Waymond Wang//Everything Everywhere All at Once,Ellen Ripley//Alien,Wall-E//Wall-E,Mathilda//Mathilda,V//V for Vendetta,Morticia//The Addams Family,Amelie Poulain//Amelie,Willy Wonka//Charlie and the Chocolate Factory (60s version),Remus Lupin//Harry Potter,,"I'd love to know more about how this data is going to be used, about other people's answers, and how their favourite characters and their MBTI type are linked together.

It would have been amazing to have one more question about the characters we pick, with several answers possible, to better understand the reasons behind our picks. For example : answer 1 -> you strongly identify with this character ; answer 2 -> you see them as a role model ; answer 3 -> you are attracted/have a crush on this fictional character ; answer 4 : you are intrigued by this character and captivated by the mystery surrounding their motivations. 

Just an idea of course. I think most people are going to pick different characters for different reasons and it would have been interesting to identify if their MBTI type has an impact on those reasons."
4/30/2024 5:41:28,gyattman123,I agree.,"Yes, I am at least 18 years old.",ENTP,all of the above,Blitzo from Helluva Boss,Jay Bilzerian from Big mouth,Howard from TBBT,Saul Goodman from Better Call Saul,,,,,,,
4/30/2024 8:07:45,Hiii,I agree.,"Yes, I am at least 18 years old.",ENFJ,Sakinorva,Grace Le domas(Ready or Not),Jack(Titanic),Wanda (Marvel),Joy (Inside out),,,,"CaptaLe Pete ""Maverick"" Mitceadyll // Tja Hun: Maverick",,,None
4/30/2024 8:24:01,azry705E2,I agree.,"Yes, I am at least 18 years old.",INTP,Cognitive functions self-typing,Heidi//Parasite: The Grey,Yorichii // Demon Slayer,Re-L // Ergo Proxy,Amy// Gone Girl,Naomi Misora// Death Note ,Queen Re-L //Bridgerton,,,,,
4/30/2024 8:43:30,dev_ious,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Peter Parker (Tom Holland),Luis Robinson (not sure of the spelling),Bruce Banner,Silvermist from Tinker Bell,,,,,,,
4/30/2024 9:50:00,Intj13loveuwonwoo,I agree.,"Yes, I am at least 18 years old.",INTJ,Sakinorva,Tecna//Winx Club,Mitsuha//Your name,Lincoln//The loud house,Zoro//One piece,Buttercup//Powerpuff Girls,,,,,,.
4/30/2024 10:04:47,Ilovemydog123,I agree.,"Yes, I am at least 18 years old.",INTJ,16Personalities,Batman//Batman v Superman: Dawn Of Justice,"Tony Stark//Ironman 1,2,& 3 : Avengers Infinity War & Endgame",Charlie//The Perks of Being a Wallflower,Otto//A Man Called Otto,,,,,,,"Let us break the misjudgements and the dogma, people with an INTJ personality is loyal, caring, and passionate. Yet, as an INTJ myself, i can confidentially say that i am highly judgemental and perfectionist. My plans are like a firm jenga. If a single block / plan falls apart, so is the whole structure."
4/30/2024 10:05:02,Ken kairo,I agree.,"Yes, I am at least 18 years old.",INFJ,Sakirnova,Violet evergarden//Violet evergarden,Akane Tsunemori//Psycho Pass,Maomao//Apothecary Diaries,Louisa may alcott//Bungou stray dogs,Johan Liebert//Monster,Vladilena Milize//86,Rachel Gardner//Angels of death,N// pokemon gen 5,Zoroark//pokemon,Shedinja//pokemon,
4/30/2024 10:30:41,rarara548,I agree.,"Yes, I am at least 18 years old.",ENFJ,sakinorva,Joy - Inside Out,Gwen Stacy - The Amazing Spider-man 1 & 2,Elle Woods - Legally Blonde,Katniss Everdeen - Hunger Games,,,,,,,
4/30/2024 10:32:49,The16thCommander,I agree.,"Yes, I am at least 18 years old.",ESTP,Keys 2 Cognition ,Erin Harson//You’re Next ,Jang Okju//Ballerina,Jordan Turner//The Call (2013),Sienna Shaw//Terrifier 2,,,,,,,"It was good, although it would have been better that you incorporated the cognitive functions for the first set of questions, since letter-typing pertains to Classic Jungian while MBTI uses cognitive functions."
4/30/2024 11:09:12,aaaaa1,I agree.,"Yes, I am at least 18 years old.",ESTJ,I don't remember but none of these,Miles Morales//Spiderman Into the Spiderverse,Tiana//The Princess and the Frog,Ken//Barbie (2023),Gretchen Wieners//Mean Girls,,,,,,,"Maybe remove the part that tests for our mbti, since it already tells us which response will yield each letter so people will be inclined to choose one response in order to, for example, convince themselves that they are extroverted even if they are not. Also, since we are already asked to give our mbti at the beginning, I don't think there's much need for it. Hope my responses helped you! Have a great day!"
4/30/2024 11:21:46,muchalala,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Merida// Brave,Belle// Beauty and the Beast,Emily//Corpse Bride,Charlotte// Queen Charlotte,,,,,,,"The ones I listed down are mostly not the most accurate😭
im not certain, these are just a few I think i like since there are a lot"
4/30/2024 11:27:02,A10,I agree.,"Yes, I am at least 18 years old.",ENFP,Cognitive functions self-typing,Sakura Yamauchi,Makoto Konno,Jiro Horikoshi,Gretta (Begin Again),,,,"CaptaYPete ""Maverick"" Mitcurll // Tma Aun: Maverick",,,
4/30/2024 12:31:39,DragonLord69,I agree.,"Yes, I am at least 18 years old.",INTJ,Sakinorva,Sandie // Last Night in Soho,Phil // The Hangover,Sherlock Holmes // Sherlock Holmes (2009),Anthony Edward Stark // Iron Man,Hannibal Lecter // The Silence of the Lambs,Willy Wonka // Charlie and the Chocolate Factory (2005),Wade Wilson // Deadpool,Kirk Lazarus // Tropic Thunder,Merlin // Kingsman: The Secret Service,"Alexander Claremont-Diaz// Red, White and Royal Blue",N/A
4/30/2024 12:50:05,1.3688E+11,I agree.,"Yes, I am at least 18 years old.",ENTP,Cognitive functions self-typing,Capt. Manuel//Seven Sundays,Ranchoddas Shamaldas Chanchad//3 Idiots,Bowler Hat Guy// Meet the Robinsons,Ralph//Wreck-it-Ralph,,,,,,,Include all media not just movies
4/30/2024 13:18:15,adastraabyssosque,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Gojo Satori//Jujutsu Kaisen 0,Enola Holmes//Enola Holmes,Amy Dunne//Gone Girl,Uta//One Piece Film: Red,,,,,,,
4/30/2024 13:23:26,Kas,I agree.,"Yes, I am at least 18 years old.",ISTJ,I used bott 16p and cognitive func (⁠◍⁠•⁠ᴗ⁠•⁠◍⁠),Bryan//7 Sundays,Anne Wheeler//The Greatest Showman,Weird Barbie//Barbie The Movie,Sang Hwa//Train to Busan,,,,,,,"Hello there! First of all I'm really glad to participate in this research since I'm also quite interested in MBTI. I hope that my responses are somewhat helpful to you (⁠´⁠∩⁠｡⁠•⁠ ⁠ᵕ⁠ ⁠•⁠｡⁠∩⁠`⁠). I just had a bit of struggle since I'm not really that interested in movies, like I'm more of an anime and animated movies person so it would be really nice if you could also adopt those options for this study. Well that's just my opinion, good luck!!^^"
4/30/2024 13:25:49,hermesionie,I agree.,"Yes, I am at least 18 years old.",INFJ,16Personalities,Natasha Romanoff//MCU ,Hermione Granger//Harry Potter,Charlotte//Lost in Translation,Anne//Anne with an E,Jo March//Little Women,Queen Charlotte//Bridgerton,,,,,
4/30/2024 13:27:34,atehazelhahahahahahahnagnamedrop,I agree.,"Yes, I am at least 18 years old.",INFP,16Personalities,Maya//Birdshot,Dani//Midsommar,Luna Lovegood//Harry Potter and the Order of the Phoenix,Stella Mate//Crying Ladies,Julie Baker//Flipped,Willy Wonka // Cjurlie aya Baker Chocolate Factory (2005),,,,,im curious sa magiging results hehehehe
4/30/2024 14:54:03,9555~~190,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Haru//Spirited away,Regina George//Mean Girls,Poppy Moore//Wild Child,Princess Mia//The Princess Diaries,Maaya Kisaragi//And yet you are so sweet,Jiro Horikoshi//The wind rises,Maria Posada//The Book of Life,Belle//Beauty and the Beast,Cinderella//Cinderella,Alice//Alice in Wonderland,
