,id_x,person_mbti,mbti_test,character,movie,new_title,genre_ids,id_y,popularity,release_date,title,vote_average,vote_count
0,0,ENFP,michaelcaloz.com,Tony Stark,Avengers: Endgame,Avengers: Endgame,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
1,0,ENFP,michaelcaloz.com,Rocket Raccoon,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,"[878, 12, 28]",447365,169.896,2023-05-03,Guardians of the Galaxy Vol. 3,7.972,6262
2,0,ENFP,michaelcaloz.com,Captain America,Avengers: Endgame,Avengers: Endgame,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
3,0,ENFP,michaelcaloz.com,Peter Parker,Spider-Man: Far From Home,Spider-Man: Far From Home,"[28, 12, 878]",429617,124.72,2019-06-28,Spider-Man: Far From Home,7.4,15144
4,0,ENFP,michaelcaloz.com,Hobie Brown,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
5,0,ENFP,michaelcaloz.com,Peter Parker,The Amazing Spider-Man,The Amazing Spider-Man,"[28, 12, 878]",1930,138.079,2012-06-23,The Amazing Spider-Man,6.7,16878
6,0,ENFP,michaelcaloz.com,Celine,Before Sunrise,Before Sunrise,"[18, 10749]",76,46.182,1995-01-27,Before Sunrise,7.97,3946
7,0,ENFP,michaelcaloz.com,Jesse Wallace,Before Sunrise,Before Sunrise,"[18, 10749]",76,46.182,1995-01-27,Before Sunrise,7.97,3946
8,0,ENFP,michaelcaloz.com,Bella Baxter,Poor Things,Poor Things,"[878, 10749, 35]",792307,264.1,2023-12-07,Poor Things,7.792,3355
9,0,ENFP,michaelcaloz.com,Miles Morales,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
10,1,INTP,16Personalities,Johnny English,Johnny English,Johnny English,"[12, 28, 35]",9486,30.584,2003-03-14,Johnny English,6.276,3308
11,1,INTP,16Personalities,Tony Stark,Avengers: Infinity War,Avengers: Infinity War,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28876
12,1,INTP,16Personalities,"Captain Pete ""Maverick"" Mitchell",Top Gun: Maverick,Top Gun: Maverick,"[28, 18]",361743,144.42,2022-05-21,Top Gun: Maverick,8.221,8587
13,1,INTP,16Personalities,Neo,The Matrix,The Matrix,"[28, 878]",603,575.344,1999-03-31,The Matrix,8.215,24874
14,1,INTP,16Personalities,Parzival (Wade Watts),Ready Player One,Ready Player One,"[12, 28, 878]",333339,78.571,2018-03-28,Ready Player One,7.6,15069
15,1,INTP,16Personalities,Benoit Blanc,A Knives Out,Glass Onion: A Knives Out Mystery,"[35, 80, 9648]",661374,89.459,2022-11-12,Glass Onion: A Knives Out Mystery,7.047,5137
16,1,INTP,16Personalities,Dr. Stephen Strange,Doctor Strange,Doctor Strange,"[28, 12, 14]",284052,436.23,2016-10-25,Doctor Strange,7.423,21583
17,1,INTP,16Personalities,J. Robert Oppenheimer,Oppenheimer,Oppenheimer,"[18, 36]",872585,746.474,2023-07-19,Oppenheimer,8.1,8026
18,1,INTP,16Personalities,Puss in Boots,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,"[16, 12, 14, 35, 28, 10751]",315162,188.621,2022-12-07,Puss in Boots: The Last Wish,8.2,7256
19,1,INTP,16Personalities,Loki,Avengers: Infinity War,Avengers: Infinity War,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28876
20,2,INFP,Truity,Amelie Poulain,Amelie,Amélie,[],891850,0.543,2021-11-11,Amélie,0.0,0
21,2,INFP,Truity,V,V for Vendetta,V for Vendetta,"[28, 53, 878]",752,70.199,2006-02-23,V for Vendetta,7.9,14074
22,2,INFP,Truity,Ellen Ripley,Alien,Alien,"[27, 878]",348,540.643,1979-05-25,Alien,8.153,13940
23,2,INFP,Truity,Mathilda,Mathilda,Mathilda,[],407934,1.912,2012-07-31,Mathilda,7.4,8
24,2,INFP,Truity,Willy Wonka,Willy Wonka & the Chocolate Factory (1971),Willy Wonka & the Chocolate Factory,"[10751, 14, 35]",252,74.961,1971-06-29,Willy Wonka & the Chocolate Factory,7.503,3419
25,2,INFP,Truity,Remus Lupin,Harry Potter,Harry Potter and the Philosopher's Stone,"[12, 14]",671,200.839,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26544
26,2,INFP,Truity,Wall-E,WALL.E (2008),WALL·E,"[16, 10751, 878]",10681,93.763,2008-06-22,WALL·E,8.088,18208
27,2,INFP,Truity,Waymond Wang,Everything Everywhere All at Once,Everything Everywhere All at Once,"[28, 12, 878]",545611,99.357,2022-03-24,Everything Everywhere All at Once,7.791,6054
28,2,INFP,Truity,Morticia,The Addams Family,The Addams Family,"[10751, 16, 35, 14]",481084,60.457,2019-10-10,The Addams Family,6.621,2223
29,3,ENFJ,Sakinorva,Wanda,Avengers: Endgame,Avengers: Endgame,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
30,3,ENFJ,Sakinorva,Joy,Inside Out,Inside Out,"[16, 10751, 12, 18, 35]",150540,226.112,2015-06-09,Inside Out,7.9,20314
31,3,ENFJ,Sakinorva,Jack,Titanic,Titanic,"[18, 10749]",597,160.021,1997-11-18,Titanic,7.905,24638
32,3,ENFJ,Sakinorva,Grace Le domas,Ready or Not,Ready or Not,"[35, 27, 53]",567609,214.365,2019-08-21,Ready or Not,7.1,4170
33,4,INTP,Cognitive functions self-typing,Naomi Misora, Death Note ,Death Note Relight 1: Visions of a God,"[10770, 80, 18, 14, 53, 16]",51482,28.604,2007-08-31,Death Note Relight 1: Visions of a God,8.1,291
34,4,INTP,Cognitive functions self-typing,Yorichii , Demon Slayer,Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,"[16, 28, 14]",1216221,540.767,2024-02-02,Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,6.312,213
35,4,INTP,Cognitive functions self-typing,Amy, Gone Girl,Gone Girl,"[9648, 53, 18]",210577,114.341,2014-10-01,Gone Girl,7.892,18095
36,5,INTJ,16Personalities,Charlie,The Perks of Being a Wallflower,The Perks of Being a Wallflower,[18],84892,39.28,2012-09-20,The Perks of Being a Wallflower,7.791,10176
37,5,INTJ,16Personalities,Batman,Batman v Superman: Dawn Of Justice,Batman v Superman: Dawn of Justice,"[28, 12, 14]",209112,92.868,2016-03-23,Batman v Superman: Dawn of Justice,5.966,17577
