,id,person_mbti,mbti_test,character,movie
0,0,ENFP,michaelcaloz.com,Tony Stark,Avengers: Endgame
1000,0,ENFP,michaelcaloz.com,Peter Parker,The Amazing Spider-Man
500,0,ENFP,michaelcaloz.com,Peter Parker,Spider-Man: Far From Home
750,0,ENFP,michaelcaloz.com,Jesse Wallace,Before Sunrise
875,0,ENFP,michaelcaloz.com,Celine,Before Sunrise
375,0,ENFP,michaelcaloz.com,Hobie Brown,Spider-Man: Across the Spider-Verse
125,0,ENFP,michaelcaloz.com,Captain America,Avengers: Endgame
250,0,ENFP,michaelcaloz.com,Miles Morales,Spider-Man: Across the Spider-Verse
1125,0,ENFP,michaelcaloz.com,Rocket Raccoon,Guardians of the Galaxy Vol. 3
625,0,ENFP,michaelcaloz.com,Bella Baxter,Poor Things
126,1,INTP,16Personalities,J. Robert Oppenheimer,Oppenheimer
1126,1,INTP,16Personalities,Loki,Avengers: Infinity War
751,1,INTP,16Personalities,Neo,The Matrix
501,1,INTP,16Personalities,Benoit Blanc,A Knives Out
626,1,INTP,16Personalities,Dr. Stephen Strange,Doctor Strange
1001,1,INTP,16Personalities,Tony Stark,Avengers: Infinity War
251,1,INTP,16Personalities,Johnny English,Johnny English
376,1,INTP,16Personalities,Parzival (Wade Watts),Ready Player One
876,1,INTP,16Personalities,"Captain Pete ""Maverick"" Mitchell",Top Gun: Maverick
1,1,INTP,16Personalities,Puss in Boots,Puss in Boots: The Last Wish
377,2,INFP,Truity,Mathilda,Mathilda
127,2,INFP,Truity,Ellen Ripley,Alien
252,2,INFP,Truity,Wall-E,Wall-E(2008)
627,2,INFP,Truity,Morticia,The Addams Family
2,2,INFP,Truity,Waymond Wang,Everything Everywhere All at Once
877,2,INFP,Truity,Willy Wonka,Charlie and the Chocolate Factory (60s version)
752,2,INFP,Truity,Amelie Poulain,Amelie
502,2,INFP,Truity,V,V for Vendetta
1002,2,INFP,Truity,Remus Lupin,Harry Potter
128,3,ENFJ,Sakinorva,Jack,Titanic
378,3,ENFJ,Sakinorva,Joy,Inside Out
253,3,ENFJ,Sakinorva,Wanda,Avengers: Endgame
3,3,ENFJ,Sakinorva,Grace Le domas,Ready or Not
254,4,INTP,Cognitive functions self-typing,Naomi Misora, Death Note 
4,4,INTP,Cognitive functions self-typing,Yorichii , Demon Slayer
129,4,INTP,Cognitive functions self-typing,Amy, Gone Girl
380,5,INTJ,16Personalities,Otto,A Man Called Otto
5,5,INTJ,16Personalities,Batman,Batman v Superman: Dawn Of Justice
130,5,INTJ,16Personalities,Tony Stark,Iron Man
255,5,INTJ,16Personalities,Charlie,The Perks of Being a Wallflower
6,6,INFJ,Sakirnova,Violet evergarden,Violet evergarden
381,6,INFJ,Sakirnova,Johan Liebert,Monster
506,6,INFJ,Sakirnova,Vladilena Milize,86
631,6,INFJ,Sakirnova,Rachel Gardner,Angels of death
256,6,INFJ,Sakirnova,Louisa may alcott,Bungou stray dogs
131,6,INFJ,Sakirnova,Akane Tsunemori,Psycho Pass
382,7,ENFJ,sakinorva,Katniss Everdeen,Hunger Games
132,7,ENFJ,sakinorva,Gwen Stacy,The Amazing Spider-man
7,7,ENFJ,sakinorva,Joy,Inside Out
257,7,ENFJ,sakinorva,Elle Woods,Legally Blonde
133,8,ESTP,Keys 2 Cognition ,Jang Okju,Ballerina
258,8,ESTP,Keys 2 Cognition ,Jordan Turner,The Call (2013)
8,8,ESTP,Keys 2 Cognition ,Erin Harson,You’re Next 
383,8,ESTP,Keys 2 Cognition ,Sienna Shaw,Terrifier 2
9,9,ESTJ,I don't remember but none of these,Miles Morales,Spiderman Into the Spiderverse
259,9,ESTJ,I don't remember but none of these,Ken,Barbie (2023)
134,9,ESTJ,I don't remember but none of these,Tiana,The Princess and the Frog
384,9,ESTJ,I don't remember but none of these,Gretchen Wieners,Mean Girls
385,10,INFP,Cognitive functions self-typing,Charlotte, Queen Charlotte
135,10,INFP,Cognitive functions self-typing,Belle, Beauty and the Beast
260,10,INFP,Cognitive functions self-typing,Emily,Corpse Bride
10,10,INFP,Cognitive functions self-typing,Merida, Brave
