timestamp,username,consent,age_confirmation,mbti,mbti_test,char_movie1,char_movie2,char_movie3,char_movie4,char_movie5,char_movie6,char_movie7,char_movie8,char_movie9,char_movie10,comments
4/29/2024 15:45:45,deadpool123,I agree.,"Yes, I am at least 18 years old.",ENFP,michaelcaloz.com,Tony Stark//Avengers: Endgame,Captain America//Avengers: Endgame,Miles Morales//Spider-Man: Across the Spider-Verse,Hobie Brown//Spider-Man: Across the Spider-Verse,Peter Parker//Spider-Man: Far From Home,Bella Baxter//Poor Things,Jesse Wallace//Before Sunrise,Celine//Before Sunrise,Peter Parker//The Amazing Spider-Man,Rocket Raccoon//Guardians of the Galaxy Vol. 3,
4/29/2024 19:59:03,GBDymrBKBcsRMqef9Nyx#Kn#3LiihcF7#&ghPx!M,I agree.,"Yes, I am at least 18 years old.",INTP,16Personalities,Puss in Boots//Puss in Boots: The Last Wish,J. Robert Oppenheimer//Oppenheimer,Johnny English//Johnny English,Wade Watts//Ready Player One,Benoit Blanc//Glass Onion: A Knives Out Mystery,Stephen Strange//Doctor Strange,Neo//The Matrix,"Captain Pete ""Maverick"" Mitchell//Top Gun: Maverick",Tony Stark//Avengers: Infinity War,Loki//Avengers: Infinity War,
4/30/2024 4:57:43,Lady-Orpheus,I agree.,"Yes, I am at least 18 years old.",INFP,Truity,Waymond Wang//Everything Everywhere All at Once,Ellen Ripley//Alien,Wall-E//WALL.E (2008),Mathilda//Mathilda,V//V for Vendetta,Morticia//The Addams Family,Amelie Poulain//Amelie,Willy Wonka//Willy Wonka & the Chocolate Factory (1971),Remus Lupin//Harry Potter,,"I'd love to know more about how this data is going to be used, about other people's answers, and how their favourite characters and their MBTI type are linked together.

It would have been amazing to have one more question about the characters we pick, with several answers possible, to better understand the reasons behind our picks. For example : answer 1 -> you strongly identify with this character ; answer 2 -> you see them as a role model ; answer 3 -> you are attracted/have a crush on this fictional character ; answer 4 : you are intrigued by this character and captivated by the mystery surrounding their motivations. 

Just an idea of course. I think most people are going to pick different characters for different reasons and it would have been interesting to identify if their MBTI type has an impact on those reasons."
4/30/2024 8:07:45,Hiii,I agree.,"Yes, I am at least 18 years old.",ENFJ,Sakinorva,Grace Le domas//Ready or Not,Jack//Titanic,Wanda//Avengers: Endgame,Joy//Inside Out,,,,,,,None
4/30/2024 8:24:01,azry705E2,I agree.,"Yes, I am at least 18 years old.",INTP,Cognitive functions self-typing,Yorichii // Demon Slayer,Amy// Gone Girl,Naomi Misora// Death Note ,,,,,,,,
4/30/2024 10:04:47,Ilovemydog123,I agree.,"Yes, I am at least 18 years old.",INTJ,16Personalities,Batman//Batman v Superman: Dawn Of Justice,Tony Stark//Iron Man,Charlie//The Perks of Being a Wallflower,Otto//A Man Called Otto,,,,,,,"Let us break the misjudgements and the dogma, people with an INTJ personality is loyal, caring, and passionate. Yet, as an INTJ myself, i can confidentially say that i am highly judgemental and perfectionist. My plans are like a firm jenga. If a single block / plan falls apart, so is the whole structure."
4/30/2024 10:30:41,rarara548,I agree.,"Yes, I am at least 18 years old.",ENFJ,sakinorva,Joy//Inside Out,Gwen Stacy//The Amazing Spider-man,Elle Woods//Legally Blonde,Katniss Everdeen//The Hunger Games (2012),,,,,,,
4/30/2024 10:32:49,The16thCommander,I agree.,"Yes, I am at least 18 years old.",ESTP,Keys 2 Cognition ,Erin Harson//You’re Next ,Jang Okju//Ballerina,Jordan Turner//The Call (2013),Sienna Shaw//Terrifier 2,,,,,,,"It was good, although it would have been better that you incorporated the cognitive functions for the first set of questions, since letter-typing pertains to Classic Jungian while MBTI uses cognitive functions."
4/30/2024 11:09:12,aaaaa1,I agree.,"Yes, I am at least 18 years old.",ESTJ,I don't remember but none of these,Miles Morales//Spiderman Into the Spiderverse,Tiana//The Princess and the Frog,Ken//Barbie,Gretchen Wieners//Mean Girls,,,,,,,"Maybe remove the part that tests for our mbti, since it already tells us which response will yield each letter so people will be inclined to choose one response in order to, for example, convince themselves that they are extroverted even if they are not. Also, since we are already asked to give our mbti at the beginning, I don't think there's much need for it. Hope my responses helped you! Have a great day!"
4/30/2024 11:21:46,muchalala,I agree.,"Yes, I am at least 18 years old.",INFP,Cognitive functions self-typing,Merida// Brave (2012),Belle// Beauty and the Beast,Emily//Corpse Bride,,,,,,,,"The ones I listed down are mostly not the most accurate😭
im not certain, these are just a few I think i like since there are a lot"
