char,movie,mbti,votes
Patrick Zweig,Challengers (2024),ESTP,131 Pdb Votes
"Eugene Fitzherbert ""Flynn Rider""",Tangled (2010),ESTP,3.2k Pdb Votes
Vanellope Von Schweetz,Wreck-It Ralph (Franchise),ESTP,2.2k Pdb Votes
Jennifer Check,Jennifer's Body (2009),ESTP,2.7k Pdb Votes
Feyd–Rautha Harkonnen,Dune (2021),ESTP,391 Pdb Votes
Jason,Terkel in Trouble (Terkel i knibe; 2004),ESTP,100 Pdb Votes
"Antonio ""Tony"" Montana",Scarface (1983),ESTP,1.5k Pdb Votes
Puss in Boots,Shrek (Franchise),ESTP,3.1k Pdb Votes
"Hobart ""Hobie"" Brown ""Spider-Punk""",Spider-Man: Across the Spider-Verse (2023),ESTP,2.5k Pdb Votes
Disgust,Inside Out (Franchise),ESTP,2.2k Pdb Votes
Sirius Black,Harry Potter / Wizarding World Films,ESTP,2.9k Pdb Votes
Jordan Belfort,The Wolf of Wall Street (2013),ESTP,1.6k Pdb Votes
Han Solo,Star Wars,ESTP,2.4k Pdb Votes
Joel,Civil War (2024),ESTP,42 Pdb Votes
Lightning McQueen,Cars (Franchise),ESTP,1.2k Pdb Votes
Lisa Rowe,"Girl, Interrupted (1999)",ESTP,1.9k Pdb Votes
Maui,Moana (2016),ESTP,797 Pdb Votes
Alvin Seville,Alvin And The Chipmunks (2007),ESTP,1k Pdb Votes
Rodrick Heffley,Diary of a Wimpy Kid (Series),ESTP,1.3k Pdb Votes
Gaston,Beauty and the Beast (Franchise),ESTP,1.3k Pdb Votes
Destoroyah,MonsterVerse,XXXX,49 Pdb Votes
Evie Zamora,Thirteen (2003),ESTP,1k Pdb Votes
Sonny Corleone,The Godfather (1972),ESTP,672 Pdb Votes
Ben,Anyone but You,ESTP,131 Pdb Votes
Aldo Raine,Inglourious Basterds (2009),ESTP,647 Pdb Votes
"Dashiell ""Dash"" Robert Parr",The Incredibles (Franchise),ESTP,818 Pdb Votes
Scar King (The Hollow Earth Alpha),Godzilla x Kong: The New Empire (2024),ESTP,59 Pdb Votes
Duncan Wedderburn,Poor Things,ESTP,294 Pdb Votes
Alberto Scorfano,Luca (2021),ESTP,2.1k Pdb Votes
Duncan Idaho,Dune (2021),ESTP,353 Pdb Votes
Oskar Schindler,Schindler's List (1993),ESTP,351 Pdb Votes
Scarlett O'Hara,Gone with the Wind (1939),ESTP,701 Pdb Votes
Rico,Madagascar (Franchise),ESTP,893 Pdb Votes
Tangerine,Bullet Train,ESTP,647 Pdb Votes
22,Soul (2020),ESTP,1.3k Pdb Votes
Rain Ocampo,Resident Evil,ESTP,50 Pdb Votes
Alonzo Harris,Training Day (2001),ESTP,382 Pdb Votes
"Lt. Pete ""Maverick"" Mitchell",Top Gun Series,ESTP,565 Pdb Votes
Dimitri,Anastasia (1997),ESTP,579 Pdb Votes
John Bender,The Breakfast Club (1985),ESTP,1.1k Pdb Votes
Buzz Lightyear,Toy Story (Franchise),ESTP,1k Pdb Votes
Christian,Resident Evil,ESTP,6 Pdb Votes
Soldier,Civil War (2024),ESTP,10 Pdb Votes
Sten,Terkel in Trouble (Terkel i knibe; 2004),XXXX,36 Pdb Votes
Seth,Superbad (2007),ESTP,336 Pdb Votes
Henry Bowers,It (2017),ESTP,310 Pdb Votes
Calvin J. Candie,Django Unchained (2012),ESTP,491 Pdb Votes
Experiment 626/ Stitch,Lilo & Stitch (Franchise),ESTP,641 Pdb Votes
Kai,Rebel Moon (Franchise),ESTP,48 Pdb Votes
Farleigh Start,Saltburn,ESTP,305 Pdb Votes
Gogo Yubari,Kill Bill (2003),ESTP,538 Pdb Votes
Betelgeuse,Beetlejuice (1988),ESTP,419 Pdb Votes
Jabba the Hutt,Star Wars,ESTP,329 Pdb Votes
Gimli,The Lord of the Rings (Film Trilogy),ESTP,513 Pdb Votes
Tom Ryder,The Fall Guy (2024),ESTP,9 Pdb Votes
PJ,Bottoms,ESTP,307 Pdb Votes
Steve,Fresh (2022),ESTP,211 Pdb Votes
Costa,Project X,ESTP,91 Pdb Votes
Eddie King,Deadfall,ESTP,10 Pdb Votes
James Bond (Brosnan),James Bond Film Series,ESTP,206 Pdb Votes
Howard Ratner,Uncut Gems (2019),ESTP,336 Pdb Votes
Spence Parks,Resident Evil,ESTP,11 Pdb Votes
Joey Donner,10 Things I Hate About You (1999),ESTP,312 Pdb Votes
Spirit,Spirit: Stallion of the Cimarron (2002),ESTP,375 Pdb Votes
Jack Frost,Rise of the Guardians (2012),ESTP,1.3k Pdb Votes
Lily / The Black Swan,Black Swan (2010),ESTP,1k Pdb Votes
John Smith,Pocahontas (1995),ESTP,238 Pdb Votes
Vinz,La Haine (1995),ESTP,280 Pdb Votes
Lestat de Lioncourt,Interview with the Vampire (1994),ESTP,589 Pdb Votes
Randle McMurphy,One Flew Over the Cuckoo's Nest (1975),ESTP,359 Pdb Votes
Francis Begbie,Trainspotting (1996),ESTP,362 Pdb Votes
Heather Duke,Heathers (1989),ESTP,663 Pdb Votes
Owen Grady,Jurassic Park / Jurassic World (Film Franchise),ESTP,294 Pdb Votes
Oscar Madison,The Odd Couple (1968),ESTP,4 Pdb Votes
Rana Singh,Monkey Man (2024),ESTP,12 Pdb Votes
Scott Hoager,Bridge to Terabithia (2007),XXXX,10 Pdb Votes
Knox,Road House (2024),ESTP,74 Pdb Votes
Yoji Akitsu,Godzilla Minus One,ESTP,27 Pdb Votes
Reggie Dunlop,Slap Shot (1977),ESTP,20 Pdb Votes
Maddie Barker,No Hard Feelings (2023),ESTP,247 Pdb Votes
"James ""Sulley"" Sullivan (Monsters University)",Monsters University (2013),ESTP,56 Pdb Votes
Zeus,Walt Disney's Fantasia (1940),XXXX,9 Pdb Votes
Jung Tae-suk,"The Gangster, the Cop, the Devil",ESTP,21 Pdb Votes
Ghidorah's Second Head (Ni),MonsterVerse,ESTP,30 Pdb Votes
"""Beast"" Rabban Harkonnen",Dune (2021),ESTP,136 Pdb Votes
Fred Jones,Scooby-Doo (2002),ESTP,228 Pdb Votes
Benjamin Barry,How to Lose a Guy in 10 days,ESTP,120 Pdb Votes
Marv,Sin City (franchise),ESTP,68 Pdb Votes
Brad Bodnick,The Wolf of Wall Street (2013),ESTP,66 Pdb Votes
