char,movie,mbti,votes
Rigel Wilde,The Tearsmith (2024),ISTP,173 Pdb Votes
Katniss Everdeen,The Hunger Games (Franchise),ISTP,4.5k Pdb Votes
Lee,Civil War (2024),ISTP,78 Pdb Votes
Shrek,Shrek (Franchise),ISTP,3.9k Pdb Votes
Fa Mulan,Mulan (Franchise),ISTP,3.5k Pdb Votes
Chani Kynes,Dune (2021),ISTP,513 Pdb Votes
Colt Seavers,The Fall Guy (2024),ISTP,62 Pdb Votes
Tai Lung,Kung Fu Panda (Franchise),ISTP,1.6k Pdb Votes
Travis Bickle,Taxi Driver (1976),ISTP,2.2k Pdb Votes
Billy Loomis,Scream (Franchise),ISTP,1.3k Pdb Votes
John Wick,John Wick,ISTP,2k Pdb Votes
Thomas,The Maze Runner (Film Trilogy),ISTP,1k Pdb Votes
Patrick Verona,10 Things I Hate About You (1999),ISTP,1.6k Pdb Votes
Abigail,Resident Evil,ISTP,13 Pdb Votes
Angel Ortiz,Resident Evil,ISTP,13 Pdb Votes
Alice,Resident Evil,ISTP,213 Pdb Votes
Tarzan,Tarzan (1999),ISTP,830 Pdb Votes
Kristoff Bjorgman,Frozen (Franchise),ISTP,1.4k Pdb Votes
The Man with No Name‎‎,The Dollars Trilogy,ISTP,881 Pdb Votes
Godzilla (MonsterVerse),MonsterVerse,ISTP,310 Pdb Votes
Sister Gwen,Immaculate (2024),ISTP,22 Pdb Votes
Chen Kui-lin,"The Pig, the Snake and the Pigeon 周處除三害",ISTP,68 Pdb Votes
Kate Dibiasky,Don’t Look Up (2021),ISTP,993 Pdb Votes
Billy Hope,Southpaw (2015),ISTP,88 Pdb Votes
Ada Wong,Resident Evil,ISTP,128 Pdb Votes
The Driver,Drive (2011),ISTP,1.1k Pdb Votes
Kitty Softpaws,Shrek (Franchise),ISTP,1.6k Pdb Votes
"Jake Sully ""Tsyeyk te Suli""",Avatar (Franchise),ISTP,1.3k Pdb Votes
The Cat,Coraline (2009),ISTP,1.1k Pdb Votes
Megara,Hercules (franchise),ISTP,1.4k Pdb Votes
Joseph Cooper,Interstellar (2014),ISTP,632 Pdb Votes
Mike Schmidt,Five Nights at Freddy's (Movie),ISTP,912 Pdb Votes
Django Freeman,Django Unchained (2012),ISTP,540 Pdb Votes
Elwood Dalton,Road House (2024),ISTP,102 Pdb Votes
Calobi,Our Drawings (Calobi Productions),XXXX,11 Pdb Votes
Lee,Bones and All,ISTP,183 Pdb Votes
Kim Ki-jeong,Parasite (2019),ISTP,1.2k Pdb Votes
Michael Myers,Halloween (1978),ISTP,783 Pdb Votes
Red,The Angry Birds Movie (2016),ISTP,482 Pdb Votes
Darth Maul (Episode I),Star Wars,ISTP,765 Pdb Votes
Indiana Jones,Indiana Jones (Series),ISTP,1k Pdb Votes
Billy Walsh,How to Date Billy Walsh (2024),ISTP,10 Pdb Votes
Lou,Love Lies Bleeding (2024),ISTP,30 Pdb Votes
Erin “Margot” Mills,The Menu,ISTP,587 Pdb Votes
Christine “Ziggy” Berman,Fear Street (Franchise),ISTP,891 Pdb Votes
First Officer (Bratishka),The Green Elephant (1999),ISTP,85 Pdb Votes
Danila Bagrov,Brat / Brother (1997),ISTP,156 Pdb Votes
Vitaly,Madagascar (Franchise),ISTP,304 Pdb Votes
Kyle Scheible,Lady Bird (2017),ISTP,555 Pdb Votes
Neil McCormick,Mysterious Skin (2004),ISTP,365 Pdb Votes
Anna Poliatova,Anna (2019),ISTP,286 Pdb Votes
Llewelyn Moss,No Country for Old Men (2007),ISTP,345 Pdb Votes
Ennis Del Mar,Brokeback Mountain (2005),ISTP,431 Pdb Votes
Capt. Benjamin L. Willard,Apocalypse Now (1979),ISTP,220 Pdb Votes
Ramona Flowers,Scott Pilgrim vs. the World (2010),ISTP,1k Pdb Votes
Diego,Ice Age (Franchise),ISTP,800 Pdb Votes
Ok Joo,Ballerina (2023),ISTP,138 Pdb Votes
Holga Kilgore,Dungeons & Dragons: Honor Among Thieves (2023),ISTP,254 Pdb Votes
Priya Mangal,Turning Red (2022),ISTP,784 Pdb Votes
