char,movie,mbti,votes
Nica Dover,The Tearsmith (2024),INFJ,327 Pdb Votes
Elsa,Frozen (Franchise),INFJ,8.5k Pdb Votes
Sophie,The Idea of You,INFJ,62 Pdb Votes
Bruno Madrigal,Encanto (2021),INFJ,8.6k Pdb Votes
Vito Corleone,The Godfather (1972),INFJ,2.2k Pdb Votes
King Baldwin,Kingdom of Heaven (2005),INFJ,262 Pdb Votes
Amy Elliott Dunne,Gone Girl (2014),INFJ,3.8k Pdb Votes
Joey (Ana Lucia Cruz),Abigail (2024),INFJ,57 Pdb Votes
Noa,Kingdom of the Planet of the Apes,INFJ,56 Pdb Votes
Obi-Wan Kenobi,Star Wars,INFJ,2.9k Pdb Votes
Jessica Atreides,Dune (2021),INFJ,690 Pdb Votes
Nina Sayers/ The Swan Queen,Black Swan (2010),INFJ,3.4k Pdb Votes
Edward Cullen,Twilight (Franchise),INFJ,1.9k Pdb Votes
Albus Dumbledore,Harry Potter / Wizarding World Films,INFJ,2.9k Pdb Votes
Oliver Quick,Saltburn,INFJ,1k Pdb Votes
"Kidagakash ""Kida"" Nedakh",Atlantis: The Lost Empire (2001),INFJ,758 Pdb Votes
Veronica Sawyer,Heathers (1989),INFJ,1.9k Pdb Votes
Hirayama,Perfect Days (2023),INFJ,150 Pdb Votes
Princess Elodie,Damsel (2024),INFJ,381 Pdb Votes
Caesar,Rise of the Planet of Apes,INFJ,355 Pdb Votes
Master Oogway,Kung Fu Panda (Franchise),INFJ,1.6k Pdb Votes
John Kramer “Jigsaw”,Saw Series (2004),INFJ,1.6k Pdb Votes
Esther Coleman,Orphan (2009-2022),INFJ,1.5k Pdb Votes
Neteyam,Avatar (Franchise),INFJ,1k Pdb Votes
Qui-Gon Jinn,Star Wars,INFJ,1k Pdb Votes
Andrew Paxton,The Proposal (2009),INFJ,163 Pdb Votes
Aragorn,The Lord of the Rings (Film Trilogy),INFJ,2k Pdb Votes
Maureen Hope,Southpaw (2015),INFJ,21 Pdb Votes
Periwinkle,Tinker Bell (2008),INFJ,469 Pdb Votes
Layla,Buffalo ‘66 (1998),INFJ,409 Pdb Votes
Gellert Grindelwald,Harry Potter / Wizarding World Films,INFJ,1.2k Pdb Votes
Grigori Rasputin,Anastasia (1997),INFJ,406 Pdb Votes
Dawn Bellwether,Zootopia (2016),INFJ,835 Pdb Votes
Remus Lupin,Harry Potter / Wizarding World Films,INFJ,2.3k Pdb Votes
Archie,How to Date Billy Walsh (2024),INFJ,9 Pdb Votes
Father Sal Tedeschi,Immaculate (2024),INFJ,16 Pdb Votes
Minato Mugino,Monster (2023),INFJ,106 Pdb Votes
Agatha of Gavaldon,The School for Good and Evil,INFJ,602 Pdb Votes
Morticia Addams,The Addams Family,INFJ,1k Pdb Votes
Kristofferson,Fantastic Mr. Fox (2009),INFJ,573 Pdb Votes
Valka,How to Train Your Dragon (Franchise),INFJ,255 Pdb Votes
