char,movie,mbti,votes
Luna Lovegood,Harry Potter / Wizarding World Films,INFP,7.1k Pdb Votes
Belle,Beauty and the Beast (Franchise),INFP,2.4k Pdb Votes
Princess Aurora,Sleeping Beauty (1959),INFP,1.9k Pdb Votes
Sadness,Inside Out (Franchise),INFP,2.6k Pdb Votes
Luke Skywalker,Star Wars,INFP,2.8k Pdb Votes
Amélie Poulain,Amélie (2001),INFP,2.1k Pdb Votes
Adeline,The Tearsmith (2024),INFP,22 Pdb Votes
Violet Parr,The Incredibles (Franchise),INFP,2.1k Pdb Votes
Céline,The Before Trilogy,INFP,1.3k Pdb Votes
Charlie Kelmeckis,The Perks of Being a Wallflower (2012),INFP,2k Pdb Votes
Victor Van Dort,Corpse Bride (2005),INFP,1.4k Pdb Votes
Ben Solo “Kylo Ren”,Star Wars,INFP,2.5k Pdb Votes
Crystal,Resident Evil,INFP,12 Pdb Votes
Sister Cecilia,Immaculate (2024),INFP,51 Pdb Votes
Aza Holmes,Turtles All The Way Down,INFP,22 Pdb Votes
Alice Kingsleigh,Alice in Wonderland / Through the Looking Glass (2010 - 2016),INFP,1.5k Pdb Votes
Tom Hansen,500 Days of Summer (2009),INFP,1.5k Pdb Votes
Lisa Swallows,Lisa Frankenstein (2024),INFP,183 Pdb Votes
Crying Girl,Mean Girls (2004),INFP,296 Pdb Votes
Todd Anderson,Dead Poets Society (1989),INFP,1.5k Pdb Votes
Susanna Kaysen,"Girl, Interrupted (1999)",INFP,1.2k Pdb Votes
Jack,Jack and the Beanstalk (2009),INFP,9 Pdb Votes
Sibylla,Kingdom of Heaven (2005),INFP,138 Pdb Votes
Sean Maguire,Good Will Hunting (1997),INFP,655 Pdb Votes
Eeyore,Winnie the Pooh (Franchise),INFP,1k Pdb Votes
WALL-E,WALL-E (2008),INFP,1.4k Pdb Votes
Frodo Baggins,The Lord of the Rings (Film Trilogy),INFP,1.8k Pdb Votes
Crimp,Trolls (2016),XXXX,94 Pdb Votes
Shimo “The Great Founding Titan”,Godzilla x Kong: The New Empire (2024),INFP,79 Pdb Votes
Gwen,Migration (2023),INFP,58 Pdb Votes
Ruby Gillman,"Ruby Gillman, Teenage Kraken (2023)",INFP,206 Pdb Votes
Carrie White,Carrie (2013),INFP,429 Pdb Votes
Alfredo Linguini,Ratatouille (2007),INFP,1.1k Pdb Votes
Private / Mr. Tux,Madagascar (Franchise),INFP,1.1k Pdb Votes
"Newton ""Newt"" Scamander",Fantastic Beasts,INFP,1.7k Pdb Votes
Dobby,Harry Potter / Wizarding World Films,INFP,968 Pdb Votes
Billy Brown,Buffalo ‘66 (1998),INFP,359 Pdb Votes
Ella,Cinderella (2015),INFP,524 Pdb Votes
Cameron James,10 Things I Hate About You (1999),INFP,553 Pdb Votes
Aurora,Maleficent (2014),INFP,545 Pdb Votes
Lara Jean Song-Covey,To All the Boys (trilogy),INFP,986 Pdb Votes
Edward Scissorhands,Edward Scissorhands (1990),INFP,1.7k Pdb Votes
Davy Jones,Pirates of the Caribbean,INFP,964 Pdb Votes
Roslyn Tabor,The Misfits (1961),INFP,32 Pdb Votes
Juliet Capulet,Romeo and Juliet (1968),INFP,84 Pdb Votes
Sergei Razumovsky / The Plague Doctor,Major Grom: The Plague Doctor,INFP,524 Pdb Votes
Kang An Ho,Silenced (2011),XXXX,45 Pdb Votes
Luca Paguro,Luca (2021),INFP,2k Pdb Votes
Richie Tenenbaum,The Royal Tenenbaums (2001),INFP,180 Pdb Votes
Christopher McCandless,Into the Wild (2007),INFP,309 Pdb Votes
Cry Baby (K-12),K-12 (2019),INFP,862 Pdb Votes
Silvermist,Tinker Bell (2008),INFP,867 Pdb Votes
Belle,Beauty and the Beast (2017),INFP,452 Pdb Votes
Meena,Sing (Franchise),INFP,386 Pdb Votes
Nadine Franklin,The Edge of Seventeen (2016),INFP,1.2k Pdb Votes
Bob,Despicable Me (Franchise),INFP,430 Pdb Votes
Charlie Simms,Scent of a Woman (1992),INFP,143 Pdb Votes
Quasimodo,The Hunchback of Notre Dame (1996),INFP,822 Pdb Votes
Suko,Godzilla x Kong: The New Empire (2024),INFP,28 Pdb Votes
Puzzle,Our Drawings (Calobi Productions),INFP,7 Pdb Votes
Nozomi Kuroda,Our Secret Diary (2023),INFP,63 Pdb Votes
Floria,Damsel (2024),INFP,51 Pdb Votes
Mrs. de Winter,Rebecca ( 1940 ),XXXX,15 Pdb Votes
Momose Narumi,Wotakoi: Love Is Hard for Otaku,INFP,44 Pdb Votes
Kiri,Avatar (Franchise),INFP,1.8k Pdb Votes
Maria,Look Away (2018),INFP,164 Pdb Votes
Babsi,Christiane F. (1981),INFP,38 Pdb Votes
Henry Letham,Stay (2005),INFP,162 Pdb Votes
Valerie,Valerie and Her Week of Wonders,INFP,178 Pdb Votes
Angie Steadman,Diary of a Wimpy Kid (Series),INFP,190 Pdb Votes
Emma,La Vie d'Adèle (Blue Is The Warmest Color; 2013),INFP,160 Pdb Votes
Eleanor,Alvin And The Chipmunks (2007),INFP,268 Pdb Votes
Carlos de Vil,Descendants (Franchise),INFP,526 Pdb Votes
Michael “Goob” Yagoobian / Bowler Hat Guy,Meet the Robinsons (2007),INFP,525 Pdb Votes
Bonnie Anderson,Toy Story (Franchise),INFP,227 Pdb Votes
Cecilia Lisbon,The Virgin Suicides (2000),INFP,441 Pdb Votes
Melody,The Little Mermaid (1989),INFP,421 Pdb Votes
Briony Tallis,Atonement (2007),INFP,189 Pdb Votes
"August ""Auggie"" Pullman",Wonder (2017),INFP,281 Pdb Votes
"Murphy ""Murph"" Cooper",Interstellar (2014),INFP,709 Pdb Votes
Sleeping Beauty,Jack and the Beanstalk (2009),INFP,3 Pdb Votes
Sachin Santhosh,Premalu (2024),INFP,6 Pdb Votes
Belle,La Belle et la Bête (2014),INFP,12 Pdb Votes
Samuel Maleski,Anatomy of a Fall (2023),INFP,95 Pdb Votes
Douglas,Dogman,INFP,47 Pdb Votes
Adam,All of Us Strangers,INFP,46 Pdb Votes
Ethan Landry,Scream (Franchise),INFP,241 Pdb Votes
Sully,Bones and All,INFP,57 Pdb Votes
Charlie,The Whale (2022),INFP,427 Pdb Votes
Simon Aumar,Dungeons & Dragons: Honor Among Thieves (2023),INFP,354 Pdb Votes
Tsukishima Shizuku,Mimi wo Sumaseba (Whisper of the Heart),INFP,20 Pdb Votes
Sejanus Plinth,The Ballad of Songbirds and Snakes (2023),INFP,299 Pdb Votes
Waymond Wang,Everything Everywhere All At Once,INFP,1.1k Pdb Votes
Kinu Hachiya,I Fell in Love Like a Flower Bouquet (2021),INFP,50 Pdb Votes
Maurice,Rise of the Planet of Apes,INFP,89 Pdb Votes
Davina,I Believe in Unicorns,INFP,216 Pdb Votes
Travis Henderson,"Paris, Texas (1984)",INFP,52 Pdb Votes
Lars Lindstrom,Lars and the Real Girl,INFP,125 Pdb Votes
Angela Weber,Twilight (Franchise),INFP,92 Pdb Votes
Mallick,Saw Series (2004),INFP,40 Pdb Votes
Winifred “Winnie” Foster,Tuck Everlasting (2002),INFP,70 Pdb Votes
Young Neil Nordegraf,Scott Pilgrim vs. the World (2010),INFP,101 Pdb Votes
Doris,Terkel in Trouble (Terkel i knibe; 2004),INFP,21 Pdb Votes
Brigitte Fitzgerald,Ginger Snaps (2000-2004),INFP,223 Pdb Votes
Walter Mitty,The Secret Life of Walter Mitty (2013),INFP,243 Pdb Votes
Susie Salmon,The Lovely Bones (2009),INFP,239 Pdb Votes
Gatsby Welles,A Rainy Day in New York (2019),INFP,239 Pdb Votes
Hermann Kermit Warm,The Sisters Brothers (2018),INFP,40 Pdb Votes
Amelia “Mia” Thermopolis,The Princess Diaries (2001),INFP,641 Pdb Votes
Astrid Magnussen,White Oleander (2002),INFP,215 Pdb Votes
Tyrone,Snatch (2000),INFP,31 Pdb Votes
Johnny,Sing (Franchise),INFP,235 Pdb Votes
Nutmeg,Isle of Dogs (2018),INFP,95 Pdb Votes
Kelsi,High School Musical (Film Trilogy),INFP,223 Pdb Votes
Alan Garner,The Hangover Trilogy,INFP,401 Pdb Votes
Susan Parrish,Meet Joe Black (1998),INFP,153 Pdb Votes
Evan,Superbad (2007),INFP,404 Pdb Votes
Bashful,Snow White and the Seven Dwarfs (1937),INFP,143 Pdb Votes
Theodore Twombly,Her (2013),INFP,649 Pdb Votes
Ricky Fitts,American Beauty (1999),INFP,491 Pdb Votes
Charlotte,Lost in Translation (2003),INFP,304 Pdb Votes
Diane Selwyn,Mulholland Drive (2001),INFP,222 Pdb Votes
"Wilhelmina ""Mina"" Murray/Harker",Bram Stoker's Dracula (1992),INFP,92 Pdb Votes
Lydia Deetz,Beetlejuice (1988),INFP,773 Pdb Votes
Lucy Pevensie,The Chronicles of Narnia (Film Trilogy),INFP,853 Pdb Votes
"Arthur ""Artie"" Pendragon",Shrek (Franchise),INFP,365 Pdb Votes
Ofelia,Pan's Labyrinth (2006) (El laberinto del fauno),INFP,398 Pdb Votes
Babydoll,Sucker Punch (2011),INFP,166 Pdb Votes
Buttercup,The Princess Bride (1987),INFP,325 Pdb Votes
Maria Kirgiz,Ayat-Ayat Cinta (2008),INFP,4 Pdb Votes
Ishimori Uka,Honey Lemon Soda (2021),INFP,9 Pdb Votes
Mahmut,Uzak / Distant (2002),INFP,20 Pdb Votes
Elita-1,Transformers One,INFP,2 Pdb Votes
Alejandro,Problemista (2023),INFP,5 Pdb Votes
Sam,Into The Blue (2005),INFJ,4 Pdb Votes
Klara,Klara and the Sun,INFP,3 Pdb Votes
Elijah,The Book of Clarence (2024),INFP,4 Pdb Votes
Кирилл,Слово пацана. Кровь на асфальте / Slovo patsana,INFP,40 Pdb Votes
Cathleen ,Novitiate,XXXX,3 Pdb Votes
Paul Matthews,Dream Scenario (2023),INFP,40 Pdb Votes
Crazy eyes,Spies in Disguise (2020),XXXX,4 Pdb Votes
Wan,Man Suang (2023),XXXX,3 Pdb Votes
Cinderella,Once Upon a Crime,INFP,38 Pdb Votes
Takeshi Hongo/Kamen Rider,Shin Kamen Rider,INFP,34 Pdb Votes
Arthur,Past Lives (2023),INFP,86 Pdb Votes
Marie Louise,"Napoleon ""Kitbag"" (2023)",INFP,4 Pdb Votes
Wheeljack,Transformers: Rise of the Beasts,INFP,56 Pdb Votes
Emily Brontë,Emily,INFP,86 Pdb Votes
Abby Schmidt,Five Nights at Freddy's (Movie),INFP,509 Pdb Votes
Mary Henry ,Carnival of souls (1962),INFP,5 Pdb Votes
Kim Yeon-Doo,20th Century Girl (2022),INFP,118 Pdb Votes
Marcel,Marcel the Shell with Shoes On,INFP,80 Pdb Votes
Катя Кузнецова,Курьер(1986),INFP,14 Pdb Votes
Natascha Kampusch,3096 Days,INFP,33 Pdb Votes
Carter Murphy Mayhew,Turning Red (2022),INFP,52 Pdb Votes
Abby,Let Me In,INFP,19 Pdb Votes
C.S. Lewis,Shadowlands (1993),INFP,20 Pdb Votes
