char,movie,mbti,votes
Tyler Durden,Fight Club (1999),ENTP,14k Pdb Votes
Nick Wilde,Zootopia (2016),ENTP,3.4k Pdb Votes
Alex DeLarge,A Clockwork Orange (1971),ENTP,2.7k Pdb Votes
Bella Baxter,Poor Things,ENTP,781 Pdb Votes
Zhen (Kung Fu Panda 4),Kung Fu Panda (Franchise),ENTP,385 Pdb Votes
Amber Freeman,Scream (Franchise),ENTP,2k Pdb Votes
Emperor Kuzco,The Emperor's New Groove (2000),ENTP,2k Pdb Votes
Hans Landa,Inglourious Basterds (2009),ENTP,1.6k Pdb Votes
Captain Jack Sparrow,Pirates of the Caribbean,ENTP,3.2k Pdb Votes
Na Bo-Ra,20th Century Girl (2022),ENTP,806 Pdb Votes
Dr. Emmett “Doc” Brown,Back to the Future (Series),ENTP,1.3k Pdb Votes
Mindy Meeks-Martin,Scream (Franchise),XXXX,768 Pdb Votes
Jesse Wallace,The Before Trilogy,ENTP,1.1k Pdb Votes
Megamind,Megamind (2010),ENTP,2.7k Pdb Votes
Humpty Alexander Dumpty,Shrek (Franchise),ENTP,900 Pdb Votes
Summer Finn,500 Days of Summer (2009),ENTP,1.3k Pdb Votes
Barry Burton,Resident Evil,ENTP,13 Pdb Votes
Jane Porter,Tarzan (1999),ENTP,768 Pdb Votes
Derek Danforth,The Beekeeper (2024),ENTP,37 Pdb Votes
Dr. Facilier,The Princess and the Frog (2009),ENTP,710 Pdb Votes
Ghostface,Scream (Franchise),ENTP,821 Pdb Votes
Sherlock Holmes,Sherlock Holmes,ENTP,1.2k Pdb Votes
Cheshire Cat,Alice in Wonderland (1951),ENTP,1k Pdb Votes
Mad Hatter,Alice in Wonderland (1951),ENTP,440 Pdb Votes
Chase,Resident Evil,ENTP,10 Pdb Votes
Ian Hawke,Alvin And The Chipmunks (2007),ENTP,237 Pdb Votes
Olive Penderghast,Easy A (2010),ENTP,771 Pdb Votes
"Jason Dean ""J.D.""",Heathers (1989),ENTP,2.2k Pdb Votes
Carmichael the Conjurer,Late Night with the Devil (2024),ENTP,23 Pdb Votes
Frank Abagnale Jr.,Catch Me If You Can (2002),ENTP,1.7k Pdb Votes
"Wyborne ""Wybie"" Lovat",Coraline (2009),ENTP,1.2k Pdb Votes
Mr. Fox,Fantastic Mr. Fox (2009),ENTP,1.3k Pdb Votes
Pennywise,It (2017),ENTP,1.1k Pdb Votes
Dr. King Schultz,Django Unchained (2012),ENTP,918 Pdb Votes
"Victor Perkins ""Vector""",Despicable Me (Franchise),ENTP,823 Pdb Votes
Kristof Lazar,Abigail (2024),ENTP,16 Pdb Votes
Trapper,Godzilla x Kong: The New Empire (2024),ENTP,43 Pdb Votes
"Mr. Mason ""Moe"" Wolf",The Bad Guys (2022),ENTP,710 Pdb Votes
The Grinch,How The Grinch Stole Christmas (2000),ENTP,943 Pdb Votes
Snowball,The Secret Life of Pets (2016),ENTP,228 Pdb Votes
Charlie “Nuwanda” Dalton,Dead Poets Society (1989),ENTP,1k Pdb Votes
Richard ''Richie'' Tozier,It (2017),ENTP,1.5k Pdb Votes
Hades,Hercules (franchise),ENTP,1.3k Pdb Votes
Greg Heffley,Diary of a Wimpy Kid (Series),ENTP,881 Pdb Votes
The Cat in the Hat,The Cat in the Hat (2003),ENTP,190 Pdb Votes
Kevin McCallister,Home Alone,ENTP,1.5k Pdb Votes
Grayson,Jack and the Beanstalk (2009),ENTP,6 Pdb Votes
Trevathan,Kingdom of the Planet of the Apes,ENTP,12 Pdb Votes
Gus March-Phillipps,The Ministry of Ungentlemanly Warfare (2024),ENTP,12 Pdb Votes
Hunter Sylvester,Metal Lords (2021),XXXX,923 Pdb Votes
“Honest” John Worthington Foulfellow,Pinocchio (1940),ENTP,160 Pdb Votes
Eris,Sinbad: Legend of the Seven Seas (2003),ENTP,482 Pdb Votes
Mushu,Mulan (Franchise),ENTP,1k Pdb Votes
Jack Skellington,The Nightmare Before Christmas (1993),ENTP,1.8k Pdb Votes
R2-D2,Star Wars,ENTP,719 Pdb Votes
Rascal,Robot Dreams,XXXX,14 Pdb Votes
Tsar Alexander,"Napoleon ""Kitbag"" (2023)",ENTP,27 Pdb Votes
Dastan,Prince of Persia: The Sands of Time (2010),ENTP,119 Pdb Votes
Balthazar Bratt,Despicable Me (Franchise),ENTP,326 Pdb Votes
"Harris, Hubert, and Hammish",Brave (2012),ENTP,167 Pdb Votes
Randy Meeks,Scream (Franchise),ENTP,338 Pdb Votes
Meeko,Pocahontas (1995),ENTP,110 Pdb Votes
Raoul Duke,Fear and Loathing in Las Vegas (1998),ENTP,220 Pdb Votes
Willy Wonka,Willy Wonka and the Chocolate Factory (1971),ENTP,803 Pdb Votes
Mark Watney,The Martian (2015),ENTP,265 Pdb Votes
Timon,The Lion King (Franchise),ENTP,794 Pdb Votes
Clarence,The Book of Clarence (2024),ENTP,12 Pdb Votes
Angus Tully,The Holdovers,ENTP,200 Pdb Votes
Edgin Darvis,Dungeons & Dragons: Honor Among Thieves (2023),ENTP,349 Pdb Votes
Alia Atreides,Dune (2021),ENTP,23 Pdb Votes
Bruno,The Boy in the Striped Pajamas (2008),ENTP,114 Pdb Votes
Jeremy,Barbie and the Diamond Castle (2008),ENTP,53 Pdb Votes
Ian,Barbie and the Diamond Castle (2008),ENTP,37 Pdb Votes
Humphrey,Alpha And Omega,ENTP,96 Pdb Votes
Peter Loew,Vampire's Kiss (1989),ENTP,44 Pdb Votes
Fletcher Reede,Liar Liar (1997),ENTP,150 Pdb Votes
Valentine McKee,Tremors,ENTP,16 Pdb Votes
RJ,Over The Hedge (2006),ENTP,290 Pdb Votes
