char,movie,mbti,votes
Paul Atreides,Dune (2021),INTJ,2.3k Pdb Votes
Severus Snape,Harry Potter / Wizarding World Films,INTJ,4.9k Pdb Votes
Wednesday Addams,The Addams Family,INTJ,2.3k Pdb Votes
Death,Shrek (Franchise),INTJ,2.2k Pdb Votes
Cairo Sweet,Miller’s Girl (2024),INTJ,155 Pdb Votes
Kat Stratford,10 Things I Hate About You (1999),INTJ,4.2k Pdb Votes
Hannibal Lecter,The Silence of the Lambs (1991),INTJ,1.5k Pdb Votes
Scar,The Lion King (Franchise),INTJ,2.9k Pdb Votes
V,V for Vendetta (2005),INTJ,2.3k Pdb Votes
"Emperor Palpatine ""Darth Sidious""",Star Wars,INTJ,2.6k Pdb Votes
J. Robert Oppenheimer,Oppenheimer (2023),INTJ,2.2k Pdb Votes
John Nash,A Beautiful Mind (2001),INTJ,752 Pdb Votes
Michael Corleone,The Godfather (1972),INTJ,2.4k Pdb Votes
The Evil Queen,Snow White and the Seven Dwarfs (1937),INTJ,855 Pdb Votes
Gandalf the Grey,The Lord of the Rings (Film Trilogy),INTJ,2.4k Pdb Votes
Felonius Gru,Despicable Me (Franchise),INTJ,1.9k Pdb Votes
Miki,The Tearsmith (2024),INTJ,30 Pdb Votes
Maleficent,Maleficent (2014),INTJ,1.5k Pdb Votes
Judge Claude Frollo,The Hunchback of Notre Dame (1996),INTJ,1.3k Pdb Votes
David,"Love, Divided",INTJ,23 Pdb Votes
Anna,Possession (1981),INTJ,698 Pdb Votes
Maleficent,Sleeping Beauty (1959),INTJ,969 Pdb Votes
Matilda Wormwood,Matilda (1996),INTJ,905 Pdb Votes
Ellen Ripley,Alien,INTJ,621 Pdb Votes
Tom Riddle,Harry Potter / Wizarding World Films,INTJ,1.2k Pdb Votes
Andy Dufresne,The Shawshank Redemption (1994),INTJ,1.1k Pdb Votes
Mark Hoffman,Saw Series (2004),INTJ,390 Pdb Votes
Saladin,Kingdom of Heaven (2005),INTJ,121 Pdb Votes
Randall Boggs,"Monsters, Inc. (2001)",INTJ,561 Pdb Votes
Hercule Poirot,Murder on the Orient Express (2017),INTJ,494 Pdb Votes
Dr. Godwin Baxter,Poor Things,INTJ,210 Pdb Votes
Killer's Agent,Fallen Angels (Do Lok Tin Si) (1995),INTJ,436 Pdb Votes
Calvin Weir-Fields,Ruby Sparks,INTJ,210 Pdb Votes
Shosanna Dreyfus,Inglourious Basterds (2009),INTJ,721 Pdb Votes
Casey Cooke,Split (2016),INTJ,728 Pdb Votes
Count Dooku,Star Wars,INTJ,879 Pdb Votes
Saruman the White,The Lord of the Rings (Film Trilogy),INTJ,790 Pdb Votes
Hwarim,Exhuma (2023),INTJ,24 Pdb Votes
The Killer,The Killer (2023),INTJ,382 Pdb Votes
Tabitha Templeton,Boss Baby (Franchise),INTJ,145 Pdb Votes
Gandalf the White,The Lord of the Rings (Film Trilogy),INTJ,272 Pdb Votes
Alma Peregrine,Miss Peregrine's Home for Peculiar Children (2016),INTJ,378 Pdb Votes
Christof,The Truman Show (1998),INTJ,426 Pdb Votes
Gill,Finding Nemo (Franchise),INTJ,505 Pdb Votes
Agent Smith,The Matrix Trilogy,INTJ,584 Pdb Votes
Chef Julian Slowik,The Menu,INTJ,723 Pdb Votes
Emma Grossman,The Bad Seed (2018),INTJ,248 Pdb Votes
Magic Mirror,Snow White and the Seven Dwarfs (1937),INTJ,84 Pdb Votes
Jack,The House That Jack Built (2018),INTJ,338 Pdb Votes
Deborah “Debbie” Ocean,Ocean's 8 (2018),INTJ,275 Pdb Votes
Cutler Beckett,Pirates of the Caribbean,INTJ,320 Pdb Votes
Fitzwilliam Darcy,Pride and Prejudice (2005),INTJ,1.6k Pdb Votes
Mary,Jack and the Beanstalk (2009),INTJ,4 Pdb Votes
Nazri,Sheriff: Narko Integriti,INTJ,4 Pdb Votes
Nemesis Prime,Transformers (Bayverse),INTJ,20 Pdb Votes
Haruka Nozaki,Liverleaf (2018),INTJ,55 Pdb Votes
Вадим «Желтый»,Слово пацана. Кровь на асфальте / Slovo patsana,INTJ,45 Pdb Votes
