,genre_ids,id,popularity,release_date,title,vote_average,vote_count
0,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
1,"[878, 12, 28]",447365,163.016,2023-05-03,Guardians of the Galaxy Vol. 3,7.973,6289
2,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
3,"[28, 12, 878]",429617,92.32,2019-06-28,Spider-Man: Far From Home,7.428,15172
4,"[16, 28, 12, 878]",569094,167.93,2023-05-31,Spider-Man: Across the Spider-Verse,8.362,6301
5,"[28, 12, 878]",1930,104.421,2012-06-23,The Amazing Spider-Man,6.7,16895
6,"[18, 10749]",76,41.796,1995-01-27,Before Sunrise,8.0,3954
7,"[18, 10749]",76,41.796,1995-01-27,Before Sunrise,8.0,3954
8,"[878, 10749, 35]",792307,234.064,2023-12-07,Poor Things,7.785,3430
9,"[16, 28, 12, 878]",569094,167.93,2023-05-31,Spider-Man: Across the Spider-Verse,8.362,6301
10,"[12, 28, 35]",9486,42.544,2003-03-14,Johnny English,6.275,3316
11,"[12, 28, 878]",299536,280.129,2018-04-25,Avengers: Infinity War,8.247,28920
12,"[28, 18]",361743,163.671,2022-05-21,Top Gun: Maverick,8.219,8633
13,"[28, 878]",603,569.07,1999-03-31,The Matrix,8.216,24931
14,"[12, 28, 878]",333339,68.168,2018-03-28,Ready Player One,7.599,15092
15,"[35, 80, 9648]",661374,109.183,2022-11-12,Glass Onion: A Knives Out Mystery,7.049,5160
16,"[28, 12, 14]",284052,468.035,2016-10-25,Doctor Strange,7.422,21614
17,"[18, 36]",872585,774.93,2023-07-19,Oppenheimer,8.099,8128
18,"[16, 12, 14, 35, 10751]",315162,156.398,2022-12-07,Puss in Boots: The Last Wish,8.237,7283
19,"[12, 28, 878]",299536,280.129,2018-04-25,Avengers: Infinity War,8.247,28920
20,"[28, 53, 878]",752,44.166,2006-02-23,V for Vendetta,7.9,14094
21,"[27, 878]",348,556.806,1979-05-25,Alien,8.153,13982
22,[],407934,1.408,2012-07-31,Mathilda,7.4,8
23,"[10751, 14, 35]",252,56.887,1971-06-29,Willy Wonka & the Chocolate Factory,7.503,3430
24,"[12, 14]",671,152.846,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26583
25,"[28, 12, 878]",545611,62.138,2022-03-24,Everything Everywhere All at Once,7.791,6082
26,"[10751, 16, 35, 14]",481084,44.169,2019-10-10,The Addams Family,6.623,2226
27,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
28,"[16, 10751, 12, 18, 35]",150540,262.609,2015-06-09,Inside Out,7.914,20361
29,"[18, 10749]",597,151.315,1997-11-18,Titanic,7.905,24670
30,"[35, 27, 53]",567609,203.992,2019-08-21,Ready or Not,7.059,4185
31,"[14, 9648, 53]",16007,20.979,2006-06-17,Death Note,7.034,668
32,"[16, 28, 14]",1216221,463.197,2024-02-02,Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,6.287,242
33,"[9648, 53, 18]",210577,125.647,2014-10-01,Gone Girl,7.892,18123
34,[18],84892,34.82,2012-09-20,The Perks of Being a Wallflower,7.794,10202
35,"[28, 12, 14]",209112,71.198,2016-03-23,Batman v Superman: Dawn of Justice,5.967,17592
36,"[28, 878, 12]",1726,172.619,2008-04-30,Iron Man,7.644,25766
37,"[35, 18]",937278,92.845,2022-12-28,A Man Called Otto,7.759,2366
38,"[878, 12, 14]",70160,30.457,2012-03-12,The Hunger Games,7.207,21469
39,"[16, 10751, 12, 18, 35]",150540,262.609,2015-06-09,Inside Out,7.914,20361
40,"[35, 10749]",8835,72.016,2001-07-13,Legally Blonde,6.758,3823
41,"[28, 12, 878]",1930,104.421,2012-06-23,The Amazing Spider-Man,6.7,16895
42,"[16, 12, 35, 10751]",342473,50.288,2016-12-14,Ballerina,7.191,1821
43,"[27, 53]",663712,70.432,2022-10-06,Terrifier 2,6.763,1648
44,"[80, 53]",158011,32.14,2013-03-14,The Call,6.797,2810
45,"[27, 53, 9648]",83899,18.552,2013-08-22,You're Next,6.596,2390
46,[35],673593,132.424,2024-01-10,Mean Girls,6.104,381
47,"[35, 12]",346698,630.671,2023-07-19,Barbie,7.057,8324
48,"[16, 28, 12, 878]",324857,93.601,2018-12-06,Spider-Man: Into the Spider-Verse,8.404,15030
49,"[16, 10749, 14, 10751]",10198,77.828,2009-12-08,The Princess and the Frog,7.205,5351
50,"[10749, 14, 16]",3933,82.072,2005-09-12,Corpse Bride,7.553,8771
51,"[16, 12, 35, 10751, 28, 14]",62177,95.335,2012-06-21,Brave,7.0,13044
52,"[10751, 14, 10749]",321612,78.629,2017-03-16,Beauty and the Beast,6.969,15191
53,"[18, 16, 10749, 10752]",149870,33.929,2013-07-20,The Wind Rises,7.783,2869
54,"[35, 10402, 10749, 18]",198277,34.726,2013-09-07,Begin Again,7.238,3675
55,"[18, 10749, 16]",449132,10.483,2017-07-28,Let Me Eat Your Pancreas,6.8,88
56,"[14, 16, 18, 878]",14069,19.597,2006-07-15,The Girl Who Leapt Through Time,7.8,1953
57,"[12, 28, 878]",10138,519.664,2010-04-28,Iron Man 2,6.84,20472
58,[35],18785,130.348,2009-06-02,The Hangover,7.321,16400
59,"[28, 12, 35]",293660,546.317,2016-02-09,Deadpool,7.612,29927
60,"[9648, 53, 27]",576845,30.861,2021-10-21,Last Night in Soho,7.339,3157
61,"[12, 35, 10751, 14]",118,100.762,2005-07-13,Charlie and the Chocolate Factory,7.05,14734
62,"[28, 12, 80, 9648]",10528,61.159,2009-12-23,Sherlock Holmes,7.211,13598
63,"[28, 35, 12, 10752]",7446,98.605,2008-08-09,Tropic Thunder,6.665,5923
64,"[35, 10749]",930094,63.553,2023-07-27,"Red, White & Royal Blue",8.014,1142
65,"[80, 18, 53]",274,13.531,1991-02-14,The Silence of the Lambs,8.347,15785
66,"[80, 35, 28, 12]",207703,89.031,2014-12-13,Kingsman: The Secret Service,7.634,16225
67,"[18, 35]",20453,55.454,2009-12-23,3 Idiots,7.991,2275
68,"[16, 35, 10751]",1267,46.431,2007-03-23,Meet the Robinsons,6.9,2736
69,"[10751, 16, 35, 12]",82690,62.738,2012-11-01,Wreck-It Ralph,7.3,11983
70,"[18, 10751]",480651,11.981,2017-10-11,Seven Sundays,8.1,11
71,"[16, 28, 14]",810693,75.236,2021-12-24,Jujutsu Kaisen 0,8.193,1287
72,"[9648, 53, 18]",210577,125.647,2014-10-01,Gone Girl,7.892,18123
73,"[16, 12, 28, 14, 10402]",900667,70.782,2022-08-06,One Piece Film Red,7.266,903
74,"[12, 9648, 80]",497582,41.031,2020-09-23,Enola Holmes,7.286,5840
75,"[18, 10751]",480651,11.981,2017-10-11,Seven Sundays,8.1,11
76,"[35, 12]",346698,630.671,2023-07-19,Barbie,7.057,8324
77,"[27, 53, 28, 12]",396535,69.902,2016-07-20,Train to Busan,7.752,7114
78,[18],316029,109.736,2017-12-20,The Greatest Showman,7.898,9149
79,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
80,"[12, 14]",671,152.846,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26583
81,"[18, 10749]",331482,68.681,2019-12-25,Little Women,7.882,6055
82,"[18, 10749]",153,87.796,2003-09-18,Lost in Translation,7.395,7077
83,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
84,"[27, 18, 9648]",530385,63.508,2019-07-03,Midsommar,7.161,6748
85,"[10749, 18]",43949,56.515,2010-08-06,Flipped,8.0,2845
86,[35],133688,7.556,2003-12-25,Crying Ladies,4.7,7
87,"[53, 18, 9648]",434376,5.717,2017-08-16,Birdshot,6.3,30
88,"[16, 12, 35, 10751, 14]",228326,34.08,2014-10-01,The Book of Life,7.544,2576
89,"[35, 18, 10749]",13971,38.481,2008-08-15,Wild Child,6.715,1800
90,"[18, 16, 10749, 10752]",149870,33.929,2013-07-20,The Wind Rises,7.783,2869
91,"[14, 10749, 35]",593910,215.952,2021-09-03,Cinderella,6.378,1337
92,"[10751, 14, 10749]",321612,78.629,2017-03-16,Beauty and the Beast,6.969,15191
93,"[16, 10751, 14]",129,103.963,2001-07-20,Spirited Away,8.536,15945
94,"[35, 10751, 10749]",9880,45.495,2001-08-03,The Princess Diaries,6.951,4778
95,"[10749, 18]",1029484,4.261,2023-03-03,"And Yet, You Are So Sweet",6.0,1
96,[35],673593,132.424,2024-01-10,Mean Girls,6.104,381
97,"[10751, 14, 12]",12155,89.259,2010-03-03,Alice in Wonderland,6.635,13584
98,"[16, 10751, 12, 14]",109445,108.0,2013-11-20,Frozen,7.247,16096
99,"[16, 35, 10751, 14]",568124,150.275,2021-10-13,Encanto,7.606,9173
100,"[16, 12, 10751, 35]",269149,137.24,2016-02-11,Zootopia,7.747,15844
101,"[16, 10751, 35, 14]",508947,541.93,2022-03-10,Turning Red,7.388,4967
102,"[35, 12]",346698,630.671,2023-07-19,Barbie,7.057,8324
103,"[12, 10751, 16, 28, 35]",177572,110.489,2014-10-24,Big Hero 6,7.735,15213
104,"[878, 12, 14]",70160,30.457,2012-03-12,The Hunger Games,7.207,21469
105,"[80, 35, 28]",402900,254.669,2018-06-07,Ocean's Eight,6.984,8096
106,"[80, 35, 28, 12]",207703,89.031,2014-12-13,Kingsman: The Secret Service,7.634,16225
107,"[35, 10749]",455207,180.514,2018-08-15,Crazy Rich Asians,7.066,3519
108,"[35, 10749]",8835,72.016,2001-07-13,Legally Blonde,6.758,3823
109,[18],1402,40.084,2006-12-14,The Pursuit of Happyness,7.902,9579
110,"[18, 878, 28]",695721,135.041,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.158,2202
111,"[27, 35, 10749]",82654,36.212,2013-01-31,Warm Bodies,6.447,5914
112,[],555879,3.286,1998-12-31,Matrix,6.9,26
113,"[35, 80, 9648]",546554,124.348,2019-11-27,Knives Out,7.848,11879
114,"[10749, 18]",43949,56.515,2010-08-06,Flipped,8.0,2845
115,"[16, 12, 35, 10751, 28, 14]",62177,95.335,2012-06-21,Brave,7.0,13044
116,"[16, 10751]",38757,122.243,2010-11-24,Tangled,7.607,11077
117,"[16, 12, 35, 10751, 18, 37, 10749]",9023,59.282,2002-05-24,Spirit: Stallion of the Cimarron,7.693,4414
118,"[18, 10749]",4348,64.805,2005-09-16,Pride & Prejudice,8.08,7784
119,[18],492188,40.222,2019-09-28,Marriage Story,7.745,6742
120,"[16, 14, 10751]",12429,57.032,2008-07-19,Ponyo,7.744,4104
121,"[16, 18]",378064,40.946,2016-09-17,A Silent Voice: The Movie,8.381,3796
