,person_id,person_mbti,character,movie,genre_ids,movie_id,movie_popularity,movie_vote_avg,movie_year,char_mbti
0,0,ENFP,Tony Stark,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,ENTP
1,0,ENFP,Rocket Raccoon,Guardians of the Galaxy Vol. 3,"[878, 12, 28]",447365,169.751,7.972,2023,ESTP
2,0,ENFP,Captain America,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,ISFJ
3,0,ENFP,Peter Parker,Spider-Man: Far From Home,"[28, 12, 878]",429617,94.358,7.428,2019,ENFP
4,0,ENFP,Hobie Brown,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,192.243,8.362,2023,ESTP
5,0,ENFP,Peter Parker,The Amazing Spider-Man,"[28, 12, 878]",1930,121.666,6.7,2012,ISTP
6,0,ENFP,Celine,Before Sunrise,"[18, 10749]",76,45.519,7.971,1995,INFP
7,0,ENFP,Jesse Wallace,Before Sunrise,"[18, 10749]",76,45.519,7.971,1995,ENTP
8,0,ENFP,Bella Baxter,Poor Things,"[878, 10749, 35]",792307,274.222,7.784,2023,ENTP
9,0,ENFP,Miles Morales,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,192.243,8.362,2023,ISFP
10,1,INTP,Johnny English,Johnny English,"[12, 28, 35]",9486,37.133,6.275,2003,ENTP
11,1,INTP,Tony Stark,Avengers: Infinity War,"[12, 28, 878]",299536,295.276,8.2,2018,ENTP
12,1,INTP,Pete Maverick Mitchell,Top Gun: Maverick,"[28, 18]",361743,153.576,8.219,2022,ESTP
13,1,INTP,Neo,The Matrix,"[28, 878]",603,470.112,8.216,1999,INTP
14,1,INTP,Wade Watts,Ready Player One,"[12, 28, 878]",333339,69.732,7.6,2018,INFP
15,1,INTP,Benoit Blanc,Glass Onion: A Knives Out Mystery,"[35, 80, 9648]",661374,135.911,7.049,2022,INTJ
16,1,INTP,Stephen Strange,Doctor Strange,"[28, 12, 14]",284052,397.711,7.422,2016,INTJ
17,1,INTP,J Robert Oppenheimer,Oppenheimer,"[18, 36]",872585,629.301,8.097,2023,INTJ
18,1,INTP,Puss in Boots,Puss in Boots: The Last Wish,"[16, 12, 14, 35, 10751]",315162,165.995,8.235,2022,ESTP
19,1,INTP,Loki,Avengers: Infinity War,"[12, 28, 878]",299536,295.276,8.2,2018,INFJ
20,2,INFP,Amélie Poulain,Amélie,"[35, 10749]",194,44.483,7.909,2001,INFP
21,2,INFP,V,V for Vendetta,"[28, 53, 878]",752,54.126,7.9,2006,INTJ
22,2,INFP,Ellen Ripley,Alien,"[27, 878]",348,462.271,8.153,1979,INTJ
