char,movie,mbti,votes
Simon Seville,Alvin And The Chipmunks (2007),XXXX,1.7k Pdb Votes
Darth Vader,Star Wars,ISTJ,3.3k Pdb Votes
Tigress,Kung Fu Panda (Franchise),ISTJ,1.7k Pdb Votes
Marlin,Finding Nemo (Franchise),ISTJ,1.1k Pdb Votes
Bolt,Bolt (2008),ISTJ,492 Pdb Votes
Alma “Abuela” Madrigal,Encanto (2021),ISTJ,1.9k Pdb Votes
Maximus Decimus Meridius,Gladiator (2000),XXXX,973 Pdb Votes
Slater,Resident Evil,ISTJ,11 Pdb Votes
Branch,Trolls (2016),ISTJ,508 Pdb Votes
Carl Fredricksen,Up (2009),ISTJ,1.7k Pdb Votes
Astrid Hofferson,How to Train Your Dragon (Franchise),ISTJ,1.3k Pdb Votes
Stilgar,Dune (2021),ISTJ,227 Pdb Votes
Vidia,Tinker Bell (2008),ISTJ,1.2k Pdb Votes
"Officer K / ""Joe""",Blade Runner,ISTJ,971 Pdb Votes
Mel Jones,Coraline (2009),ISTJ,699 Pdb Votes
Jason Voorhees,Friday the 13th (1980),ISTJ,459 Pdb Votes
Anton Ego,Ratatouille (2007),ISTJ,911 Pdb Votes
Lucille Sharpe,Crimson Peak (2015),ISTJ,241 Pdb Votes
White Rabbit,Alice in Wonderland (1951),ISTJ,380 Pdb Votes
EVE,WALL-E (2008),ISTJ,928 Pdb Votes
Knuckles the Echidna,Sonic the Hedgehog (Film Series),ISTJ,380 Pdb Votes
Nanny McPhee,Nanny McPhee (2005),ISTJ,145 Pdb Votes
Grumpy,Snow White and the Seven Dwarfs (1937),ISTJ,262 Pdb Votes
Rabbit,Winnie the Pooh (Franchise),ISTJ,392 Pdb Votes
Minerva McGonagall,Harry Potter / Wizarding World Films,ISTJ,1.1k Pdb Votes
Asia,The Tearsmith (2024),ISTJ,14 Pdb Votes
King Harold,Shrek (Franchise),ISTJ,260 Pdb Votes
Léon,Léon: The Professional (1994),ISTJ,675 Pdb Votes
Edmund Exley,L.A. Confidential (1997),ISTJ,89 Pdb Votes
Master Shifu,Kung Fu Panda (Franchise),ISTJ,1.2k Pdb Votes
Sebastian,The Little Mermaid (1989),ISTJ,381 Pdb Votes
Wilhuff Tarkin,Star Wars,ISTJ,407 Pdb Votes
Mace Windu,Star Wars,ISTJ,639 Pdb Votes
Prince Henry,Damsel (2024),ISTJ,67 Pdb Votes
Noodle,Wonka (2023 Movie),ISTJ,233 Pdb Votes
Kim Sang Deok,Exhuma (2023),XXXX,20 Pdb Votes
Shaddam Corrino IV,Dune (2021),ISTJ,65 Pdb Votes
Doric,Dungeons & Dragons: Honor Among Thieves (2023),ISTJ,241 Pdb Votes
Gurney Halleck,Dune (2021),ISTJ,185 Pdb Votes
Tick Wills,Southpaw (2015),ISTJ,14 Pdb Votes
Frank Martin,Transporter,ISTJ,56 Pdb Votes
Doc Hudson,Cars (Franchise),ISTJ,325 Pdb Votes
Stinky Pete the Prospector,Toy Story (Franchise),ISTJ,206 Pdb Votes
Dr. Lawrence Gordon,Saw Series (2004),ISTJ,168 Pdb Votes
Mark Darcy,Bridget Jones's Diary (franchise),ISTJ,346 Pdb Votes
Dr. John Watson,Sherlock Holmes,ISTJ,225 Pdb Votes
Susan Pevensie,The Chronicles of Narnia (Film Trilogy),ISTJ,619 Pdb Votes
Margo Gru,Despicable Me (Franchise),ISTJ,546 Pdb Votes
Maximus,Tangled (2010),ISTJ,606 Pdb Votes
Anaya,Kingdom of the Planet of the Apes,ISTJ,8 Pdb Votes
Mack,Migration (2023),ISTJ,73 Pdb Votes
Leonard,The Outfit,ISTJ,38 Pdb Votes
Chris Flynn,Wrong Turn (2003),ISTJ,31 Pdb Votes
Mya,Think Like a Man (2012),ENFP,21 Pdb Votes
