char,movie,mbti,votes
Regina George,Mean Girls (2004),ESTJ,6.6k Pdb Votes
Hermione Granger,Harry Potter / Wizarding World Films,ESTJ,7.3k Pdb Votes
Draco Malfoy,Harry Potter / Wizarding World Films,ESTJ,4.6k Pdb Votes
Isabela Madrigal,Encanto (2021),ESTJ,3.6k Pdb Votes
Tiana,The Princess and the Frog (2009),ESTJ,2.5k Pdb Votes
Anger,Inside Out (Franchise),ESTJ,2.2k Pdb Votes
Ember Lumen,Elemental,ESTJ,1.1k Pdb Votes
Veruca Salt,Charlie and the Chocolate Factory (2005),ESTJ,1k Pdb Votes
Dolores Umbridge,Harry Potter / Wizarding World Films,ESTJ,1.6k Pdb Votes
Heather Chandler,Heathers (1989),ESTJ,1.1k Pdb Votes
Li Shang,Mulan (Franchise),ESTJ,1.3k Pdb Votes
Lambert,Abigail (2024),XXXX,10 Pdb Votes
Ramses,The Prince of Egypt (1998),ESTJ,277 Pdb Votes
Chief Bogo,Zootopia (2016),ESTJ,364 Pdb Votes
Sergeant Tamora Jean Calhoun,Wreck-It Ralph (Franchise),ESTJ,469 Pdb Votes
Margaret Stoker,The Tearsmith (2024),ESTJ,21 Pdb Votes
Guinevere,Shrek (Franchise),ESTJ,37 Pdb Votes
Helen Parr “Elastigirl”,The Incredibles (Franchise),ESTJ,1.3k Pdb Votes
Queen Of Hearts,Alice in Wonderland (1951),ESTJ,464 Pdb Votes
Henry J. Waternoose III,"Monsters, Inc. (2001)",ESTJ,242 Pdb Votes
Jackson Storm,Cars (Franchise),ESTJ,205 Pdb Votes
Captain Georg von Trapp,The Sound of Music (1965),ESTJ,284 Pdb Votes
General Grievous,Star Wars,ESTJ,497 Pdb Votes
"Meredith ""Cruella"" Blake",The Parent Trap (1998),ESTJ,61 Pdb Votes
Queen Isabelle,Damsel (2024),ESTJ,35 Pdb Votes
Evelyn Wang,Everything Everywhere All At Once,ESTJ,1k Pdb Votes
Prince John,Robin Hood (1973),ESTJ,110 Pdb Votes
Colette Tatou,Ratatouille (2007),ESTJ,840 Pdb Votes
Lady Tremaine,Cinderella (1950),ESTJ,394 Pdb Votes
Alma Coin,The Hunger Games (Franchise),ESTJ,624 Pdb Votes
Amber,How to Date Billy Walsh (2024),ESTJ,8 Pdb Votes
The President,Civil War (2024),ESTJ,7 Pdb Votes
Aadhi,Premalu (2024),ESTJ,18 Pdb Votes
Eden Starling,Barbie In A Christmas Carol,ESTJ,271 Pdb Votes
Smiler,The Emoji Movie (2017),ESTJ,91 Pdb Votes
Patty Farrell,Diary of a Wimpy Kid (Series),ESTJ,208 Pdb Votes
Debbie Jellinsky,The Addams Family,ESTJ,200 Pdb Votes
P.T. Flea,A Bug's Life (1998),ESTJ,48 Pdb Votes
Tom Buchanan,The Great Gatsby (2013),ESTJ,177 Pdb Votes
Colin Sullivan,The Departed (2006),ESTJ,153 Pdb Votes
Walter Sobchack,The Big Lebowski (1998),ESTJ,426 Pdb Votes
Governor John Ratcliffe,Pocahontas (1995),ESTJ,210 Pdb Votes
Drizella Tremaine,Cinderella (1950),ESTJ,134 Pdb Votes
Fire,Elemental,ESTJ,11 Pdb Votes
Fiona (Another Reality),Shrek (Franchise),ESTJ,38 Pdb Votes
Tess Marshall,Barbarian (2022),ESTJ,94 Pdb Votes
Baroness von Hellman,Cruella (2021),ESTJ,983 Pdb Votes
Alpha,Up (2009),ESTJ,81 Pdb Votes
Jordan Mains,Southpaw (2015),ESTJ,14 Pdb Votes
Melvin “Mel” Horowitz,Clueless (1995),ESTJ,111 Pdb Votes
Marion McPherson,Lady Bird (2017),ESTJ,343 Pdb Votes
Agatha Trunchbull,Matilda (1996),ESTJ,385 Pdb Votes
