char,movie,mbti,votes
Art Donaldson,Challengers (2024),ISFJ,165 Pdb Votes
The Narrator,Fight Club (1999),ISFJ,4.4k Pdb Votes
Cady Heron,Mean Girls (2004),ISFJ,2.7k Pdb Votes
Cinderella,Cinderella (1950),ISFJ,2.1k Pdb Votes
Eddie Kaspbrak,It (2017),ISFJ,1.5k Pdb Votes
Joel Barish,Eternal Sunshine of the Spotless Mind (2004),ISFJ,1.1k Pdb Votes
Luisa Madrigal,Encanto (2021),ISFJ,2.8k Pdb Votes
Ginny Weasley,Harry Potter / Wizarding World Films,ISFJ,1.2k Pdb Votes
Anastasia Steele,Fifty Shades of Grey (2015),ISFJ,789 Pdb Votes
Fear,Inside Out (Franchise),ISFJ,1.7k Pdb Votes
"William ""Will"" Turner, Jr.",Pirates of the Caribbean,ISFJ,881 Pdb Votes
Aaron Stampler,Primal Fear (1996),ISFJ,87 Pdb Votes
Theodore Seville,Alvin And The Chipmunks (2007),ISFJ,660 Pdb Votes
Forrest Gump,Forrest Gump (1994),ISFJ,1.3k Pdb Votes
Priscilla Presley,Priscilla (2023),ISFJ,224 Pdb Votes
Max McCandless,Poor Things,ISFJ,139 Pdb Votes
Daisy Randone,"Girl, Interrupted (1999)",ISFJ,732 Pdb Votes
Norman Bates,Psycho (Franchise),ISFJ,507 Pdb Votes
Carrie White,Carrie (1976),ISFJ,742 Pdb Votes
Annie Wilkes,Misery (1990),ISFJ,327 Pdb Votes
Melman the Giraffe,Madagascar (Franchise),ISFJ,630 Pdb Votes
Dog,Robot Dreams,ISFJ,83 Pdb Votes
Thufir Hawat,Dune (2021),ISFJ,88 Pdb Votes
Aaron Samuels,Mean Girls (2004),ISFJ,393 Pdb Votes
Linda Gunderson,Rio (2011),ISFJ,282 Pdb Votes
Peter Pettigrew “Wormtail”,Harry Potter / Wizarding World Films,ISFJ,502 Pdb Votes
Brian Johnson,The Breakfast Club (1985),ISFJ,1.2k Pdb Votes
Gus,Late Night with the Devil (2024),ISFJ,10 Pdb Votes
Jimmy,Rebel Moon (Franchise),ISFJ,32 Pdb Votes
Luigi,The Super Mario Bros. Movie (2023),ISFJ,694 Pdb Votes
Miss Jennifer Honey,Matilda (1996),ISFJ,559 Pdb Votes
Cal Weaver,"Crazy, Stupid, Love (2011)",ISFJ,123 Pdb Votes
Lorraine Baines,Back to the Future (Series),ISFJ,274 Pdb Votes
Bubba Sawyer/Leatherface (Original),The Texas Chainsaw Massacre (Franchise),ISFJ,352 Pdb Votes
Charlie Bucket,Charlie and the Chocolate Factory (2005),ISFJ,773 Pdb Votes
"Olivia ""Via"" Pullman",Wonder (2017),ISFJ,211 Pdb Votes
Erica Sayers / The Queen,Black Swan (2010),ISFJ,287 Pdb Votes
Newt,The Maze Runner (Film Trilogy),ISFJ,452 Pdb Votes
Neville Longbottom,Harry Potter / Wizarding World Films,ISFJ,1.4k Pdb Votes
Isabel,Bottoms,ISFJ,85 Pdb Votes
Vanessa Shelly,Five Nights at Freddy's (Movie),ISFJ,327 Pdb Votes
Ian Lightfoot,Onward (2020),ISFJ,361 Pdb Votes
Terkel,Terkel in Trouble (Terkel i knibe; 2004),ISFJ,49 Pdb Votes
Elizabeth “Beth” March,Little Women (2019),ISFJ,753 Pdb Votes
Julian,Barbie as the Princess and the Pauper (2004),XXXX,244 Pdb Votes
Princess Anneliese,Barbie as the Princess and the Pauper (2004),ISFJ,428 Pdb Votes
Rosemary Woodhouse,Rosemary’s Baby (1968),ISFJ,125 Pdb Votes
Andy Stitzer,The 40-Year-Old Virgin (2005),ISFJ,158 Pdb Votes
Pacha,The Emperor's New Groove (2000),ISFJ,371 Pdb Votes
Fauna,Sleeping Beauty (1959),ISFJ,202 Pdb Votes
Victoria Everglot,Corpse Bride (2005),ISFJ,480 Pdb Votes
"Porpentina ""Tina"" Goldstein",Fantastic Beasts,ISFJ,352 Pdb Votes
Baymax,Big Hero 6 (2014),ISFJ,1.3k Pdb Votes
Tina Tehrani,Gonahe Fereshteh (Fereshteh's Sin),ISFJ,5 Pdb Votes
Jonathan,Anyone but You,ISFJ,11 Pdb Votes
Orion,Orion and the Dark (2024),ISFJ,258 Pdb Votes
Eleum Knight,Ofis Akademia,XXXX,24 Pdb Votes
Queen Amaya,Wish (2023),ISFJ,109 Pdb Votes
Gloria,Barbie (2023),ISFJ,324 Pdb Votes
Percy Becker,No Hard Feelings (2023),ISFJ,251 Pdb Votes
Tom,Harry Potter / Wizarding World Films,ISFJ,23 Pdb Votes
Queen Calissa,Barbie in A Mermaid Tale,ISFJ,91 Pdb Votes
