char,movie,mbti,votes
Bea,Anyone but You,ESFJ,329 Pdb Votes
Wade Ripple,Elemental,ESFJ,1.6k Pdb Votes
Snow White,Snow White and the Seven Dwarfs (1937),ESFJ,1.6k Pdb Votes
Barbie,Barbie (2023),ESFJ,3.3k Pdb Votes
Ming Lee,Turning Red (2022),ESFJ,1.5k Pdb Votes
Gretchen Wieners,Mean Girls (2004),ESFJ,2.2k Pdb Votes
Woody,Toy Story (Franchise),ESFJ,1.6k Pdb Votes
Perrito,Shrek (Franchise),ESFJ,1.4k Pdb Votes
Gustave H.,The Grand Budapest Hotel (2014),ESFJ,813 Pdb Votes
Honey Lemon,Big Hero 6 (2014),ESFJ,1.4k Pdb Votes
Cher Horowitz,Clueless (1995),ESFJ,2.5k Pdb Votes
Hercules,Hercules (franchise),ESFJ,839 Pdb Votes
Troy Bolton,High School Musical (Film Trilogy),ESFJ,709 Pdb Votes
Emmet Brickowski,The Lego Movie (Franchise),ESFJ,707 Pdb Votes
Cedric Diggory,Harry Potter / Wizarding World Films,ESFJ,1.3k Pdb Votes
Boromir,The Lord of the Rings (Film Trilogy),ESFJ,887 Pdb Votes
Peter (Terrence LaCroix),Abigail (2024),ESFJ,22 Pdb Votes
Princess Fiona,Shrek (Franchise),ESFJ,1.2k Pdb Votes
Soona,Kingdom of the Planet of the Apes,ESFJ,13 Pdb Votes
"Pavitr Prabhakar ""Spider-Man India""",Spider-Man: Across the Spider-Verse (2023),ESFJ,889 Pdb Votes
Allyson Nelson,Halloween (2018 Timeline),ESFJ,90 Pdb Votes
Giselle,Enchanted (2007),ESFJ,920 Pdb Votes
Prince Phillip,Maleficent (2014),ESFJ,110 Pdb Votes
Fredrick Zoller,Inglourious Basterds (2009),ESFJ,279 Pdb Votes
Claire Standish,The Breakfast Club (1985),ESFJ,911 Pdb Votes
Gloria the Hippo,Madagascar (Franchise),ESFJ,556 Pdb Votes
Fix-It Felix Jr.,Wreck-It Ralph (Franchise),ESFJ,591 Pdb Votes
Margaret “Meg” March,Little Women (2019),ESFJ,1.1k Pdb Votes
Brittany,Alvin And The Chipmunks (2007),ESFJ,393 Pdb Votes
Jill Andersen,Inside Out (Franchise),ESFJ,320 Pdb Votes
Ed Warren,The Conjuring,XXXX,288 Pdb Votes
June George,Mean Girls (2004),ESFJ,467 Pdb Votes
