char,movie,mbti,votes
Joy,Inside Out (Franchise),ENFJ,3.3k Pdb Votes
Judy Hopps,Zootopia (2016),ENFJ,2.9k Pdb Votes
Abigail Lazar,Abigail (2024),ENFJ,51 Pdb Votes
Oliver,Call Me by Your Name (2017),ENFJ,1.6k Pdb Votes
Moana Waialiki,Moana (2016),ENFJ,3.3k Pdb Votes
Elle Woods,Legally Blonde (2001),ENFJ,2.4k Pdb Votes
Hans Westergaard,Frozen (Franchise),ENFJ,1.9k Pdb Votes
Tsireya,Avatar (Franchise),ENFJ,893 Pdb Votes
Jack Delroy,Late Night with the Devil (2024),ENFJ,54 Pdb Votes
King Magnifico,Wish (2023),ENFJ,481 Pdb Votes
Neil Perry,Dead Poets Society (1989),ENFJ,2.1k Pdb Votes
Raka,Kingdom of the Planet of the Apes,ENFJ,35 Pdb Votes
The Beldam “Other Mother”,Coraline (2009),ENFJ,1.8k Pdb Votes
Felix Catton,Saltburn,ENFJ,578 Pdb Votes
Metro Man,Megamind (2010),ENFJ,1k Pdb Votes
Padmé Amidala,Star Wars,ENFJ,1.6k Pdb Votes
Mia Dolan,La La Land (2016),ENFJ,988 Pdb Votes
Sammy,Civil War (2024),ENFJ,25 Pdb Votes
Gail Meyer,The Fall Guy (2024),ENFJ,25 Pdb Votes
The Projectionist,Pearl (2022),XXXX,305 Pdb Votes
Silver,The Angry Birds Movie (2016),ENFJ,257 Pdb Votes
Asha,Wish (2023),ENFJ,280 Pdb Votes
Miriam Mendelsohn,Turning Red (2022),ENFJ,1.7k Pdb Votes
Elaine,The Love Witch (2016),ENFJ,581 Pdb Votes
Princess Peach,The Super Mario Bros. Movie (2023),ENFJ,1k Pdb Votes
Leto Atreides,Dune (2021),ENFJ,408 Pdb Votes
"Lots-o'-Huggin' Bear / ""Lotso""",Toy Story (Franchise),ENFJ,961 Pdb Votes
Margot Fenring,Dune (2021),ENFJ,82 Pdb Votes
Maria Posada,The Book of Life (2014),ENFJ,294 Pdb Votes
Mothra,MonsterVerse,ENFJ,114 Pdb Votes
Вова Суворов | Адидас старший,Слово пацана. Кровь на асфальте / Slovo patsana,ENFJ,293 Pdb Votes
Gunnar,Terkel in Trouble (Terkel i knibe; 2004),ENFJ,47 Pdb Votes
Optimus Prime,Transformers (Bayverse),ENFJ,438 Pdb Votes
Princess Jasmine,Aladdin (2019),ENFJ,618 Pdb Votes
Darla Dimple,Cats Don't Dance (1997),ENFJ,125 Pdb Votes
Neytiri te Tskaha Mo'at'ite,Avatar (Franchise),ENFJ,1.4k Pdb Votes
La Muerte,The Book of Life (2014),ENFJ,186 Pdb Votes
Prince Phillip,Sleeping Beauty (1959),ENFJ,325 Pdb Votes
Baba Shakti,Monkey Man (2024),ENFJ,18 Pdb Votes
Harga Community,Midsommar (2019),ENFJ,38 Pdb Votes
Pam,Migration (2023),ENFJ,58 Pdb Votes
Leonardo,Teenage Mutant Ninja Turtles: Mutant Mayhem,ENFJ,252 Pdb Votes
President Barbie,Barbie (2023),ENFJ,261 Pdb Votes
William Hale,Killers of the Flower Moon,ENFJ,214 Pdb Votes
Sunny Starscout,My Little Pony: A New Generation (2021),ENFJ,607 Pdb Votes
Dragon (Elizabeth),Shrek (Franchise),ENFJ,182 Pdb Votes
Pelle,Midsommar (2019),ENFJ,385 Pdb Votes
The Lorax,The Lorax (2012),ENFJ,560 Pdb Votes
Skylar,Good Will Hunting (1997),ENFJ,190 Pdb Votes
Joi,Blade Runner,ENFJ,389 Pdb Votes
Jules Winnfield,Pulp Fiction (1994),ENFJ,863 Pdb Votes
Caspian X,The Chronicles of Narnia (Film Trilogy),ENFJ,250 Pdb Votes
Finnick Odair,The Hunger Games (Franchise),ENFJ,974 Pdb Votes
Mufasa,The Lion King (Franchise),ENFJ,1.1k Pdb Votes
Orion Pax,Transformers One,XXXX,3 Pdb Votes
That one Tiger who would treat me right,Zootopia (2016),ENFJ,14 Pdb Votes
Dark,Orion and the Dark (2024),ENFJ,77 Pdb Votes
Morai,Star Wars,XXXX,5 Pdb Votes
Gracie Atherton-Yoo,May December,ENFJ,67 Pdb Votes
Chelsea van der Zee,"Ruby Gillman, Teenage Kraken (2023)",ENFJ,257 Pdb Votes
Esther (fake persona),Orphan (2009-2022),ENFJ,120 Pdb Votes
Violet Venable,Suddenly Last Summer (1959),ESFJ,5 Pdb Votes
Brooke,Ice Age (Franchise),ENFJ,89 Pdb Votes
Biology Teacher,K-12 (2019),ENFJ,48 Pdb Votes
Emma Woodhouse,Emma. (2020),ENFJ,765 Pdb Votes
Summer,Wonder (2017),ENFJ,95 Pdb Votes
Bo-Peep (Toy Story 4),Toy Story (Franchise),ENFJ,399 Pdb Votes
Blanche DuBois,A Streetcar Named Desire (1951),ENFJ,285 Pdb Votes
Roy,Primal Fear (1996),ENFJ,185 Pdb Votes
Carter J. Burke,Alien,ENFJ,74 Pdb Votes
Tiffany Maxwell,Silver Linings Playbook (2012),ENFJ,353 Pdb Votes
Graham Simpkins,The Holiday (2006),ENFJ,144 Pdb Votes
Angelica,Pirates of the Caribbean,ENFJ,125 Pdb Votes
Grammy Norma,The Lorax (2012),ENFJ,107 Pdb Votes
Bridget von Hammersmark,Inglourious Basterds (2009),ENFJ,229 Pdb Votes
Lily Evans Potter,Harry Potter / Wizarding World Films,ENFJ,682 Pdb Votes
Queenie Goldstein,Fantastic Beasts,ENFJ,446 Pdb Votes
Emily Barham,The Americanization of Emily (1964),ENFJ,2 Pdb Votes
Marjorie Stewart,The Ministry of Ungentlemanly Warfare (2024),ENFJ,3 Pdb Votes
Amal Davis,Premalu (2024),ENFJ,4 Pdb Votes
Boris,Miller’s Girl (2024),ENFJ,12 Pdb Votes
Denise Porter,White Chicks (2004),XXXX,9 Pdb Votes
Dr. June Ross-Mitchell,Late Night with the Devil (2024),ENFJ,10 Pdb Votes
Kaan,Ofis Akademia,ENFJ,27 Pdb Votes
Major David Angus Pollock,Separate Tables (1958),ENFJ,3 Pdb Votes
Anne Shankland ,Separate Tables (1958),ENFJ,3 Pdb Votes
Prince Hamlet,Hamlet (1990),ENFJ,6 Pdb Votes
Raf,Ferdinand (Olé el Viaje de Ferdinand),XXXX,4 Pdb Votes
Ernest Lawrence,Oppenheimer (2023),ENFJ,106 Pdb Votes
Anika Kayoko,Scream (Franchise),ENFJ,305 Pdb Votes
Max Broussard,Do Revenge (2022),ENFJ,294 Pdb Votes
Forge Fitzwilliam,Dungeons & Dragons: Honor Among Thieves (2023),ENFJ,167 Pdb Votes
Robin Arellano,The Black Phone,ENFJ,337 Pdb Votes
Gertrude,Ophelia,ENFJ,13 Pdb Votes
Professor Rupert Marmalade IV,The Bad Guys (2022),ENFJ,246 Pdb Votes
Pedro Madrigal,Encanto (2021),ENFJ,192 Pdb Votes
Akiko Glitter (Just Dance Girl),The Emoji Movie (2017),ENFJ,14 Pdb Votes
Kayla Morgan,Cloud 9,ENFJ,83 Pdb Votes
Kashibai,Bajirao Mastani,ENFJ,15 Pdb Votes
Zeke,Think Like a Man (2012),ENFJ,14 Pdb Votes
Sook-yin Park,The Interview (2014),XXXX,8 Pdb Votes
Shota Kazehaya,Kimi ni Todoke (film),XXXX,6 Pdb Votes
Julie Grigio,Warm Bodies (2013),ENFJ,34 Pdb Votes
Woman in Red,The Matrix Trilogy,ENFJ,41 Pdb Votes
Mirena,Dracula Untold,ENFJ,20 Pdb Votes
Prince Florian,Snow White and the Seven Dwarfs (1937),ENFJ,151 Pdb Votes
Shannon DeLong/Maurice Mills,A Fall from Grace (2020),ENFJ,9 Pdb Votes
"""Saburo"" Naotora Ichimonji",Ran (1985),ENFJ,18 Pdb Votes
Margaret “Marmee” March,Little Women (2019),ENFJ,259 Pdb Votes
Amanda Dunfrey,The Mist (2007),ENFJ,44 Pdb Votes
Jimmy Hoffa,The Irishman (2019),ENFJ,222 Pdb Votes
Angélica,City of God (2002),ENFJ,23 Pdb Votes
Ellie Appleton,Yesterday (2019),ENFJ,31 Pdb Votes
Bill Harford,Eyes Wide Shut (1999),ENFJ,182 Pdb Votes
Queen Watevra Wa’Nabi,The Lego Movie (Franchise),ENFJ,65 Pdb Votes
Chessy,The Parent Trap (1998),ENFJ,93 Pdb Votes
Cruz Ramirez,Cars (Franchise),ENFJ,112 Pdb Votes
Rachel Chu,Crazy Rich Asians (2018),ENFJ,202 Pdb Votes
