char,movie,mbti,votes
Will Hunting,Good Will Hunting (1997),INTP,1.9k Pdb Votes
Alice,Alice in Wonderland (1951),INTP,3.6k Pdb Votes
"Johnathon Ohnn ""The Spot""",Spider-Man: Across the Spider-Verse (2023),INTP,1.4k Pdb Votes
Anton Chigurh,No Country for Old Men (2007),INTP,1.9k Pdb Votes
Hiccup Horrendous Haddock III,How to Train Your Dragon (Franchise),INTP,2.7k Pdb Votes
Donnie Darko,Donnie Darko (2001),INTP,1.9k Pdb Votes
Bong Gil,Exhuma (2023),INTP,33 Pdb Votes
Irulan Corrino,Dune (2021),INTP,209 Pdb Votes
Haymitch Abernathy,The Hunger Games (Franchise),INTP,1.1k Pdb Votes
Sandra Voyter,Anatomy of a Fall (2023),INTP,197 Pdb Votes
Hiro Hamada,Big Hero 6 (2014),INTP,2.2k Pdb Votes
Dr. Randall Mindy,Don’t Look Up (2021),INTP,1.1k Pdb Votes
Blu,Rio (2011),INTP,780 Pdb Votes
Kowalski,Madagascar (Franchise),INTP,1.3k Pdb Votes
Neo,The Matrix Trilogy,INTP,1.6k Pdb Votes
Corey Cunningham,Halloween (2018 Timeline),INTP,180 Pdb Votes
Cameron Frye,Ferris Bueller's Day Off (1986),INTP,570 Pdb Votes
Mark Zuckerberg,The Social Network (2010),INTP,1k Pdb Votes
Garfield,Garfield: The Movie,INTP,106 Pdb Votes
William Somerset,Se7en (1995),INTP,634 Pdb Votes
Tin,Robot Dreams,INTP,12 Pdb Votes
Kenji Noda,Godzilla Minus One,INTP,38 Pdb Votes
Phoebe Spengler,Ghostbusters: Afterlife (2021),INTP,416 Pdb Votes
Oliver Tate,Submarine,INTP,291 Pdb Votes
Sam Baldwin,Sleepless in Seattle (1993),INTP,72 Pdb Votes
Brian Lackey,Mysterious Skin (2004),INTP,212 Pdb Votes
Barnabas Collins,Dark Shadows (2012),INTP,291 Pdb Votes
Alvy Singer,Annie Hall (1977),INTP,170 Pdb Votes
Columbus,Zombieland (Franchise),INTP,380 Pdb Votes
Bob Harris,Lost in Translation (2003),INTP,273 Pdb Votes
Owl,Winnie the Pooh (Franchise),INTP,235 Pdb Votes
"Mark ""Rent Boy"" Renton",Trainspotting (1996),INTP,691 Pdb Votes
Rickles,Abigail (2024),INTP,13 Pdb Votes
Joseph,Arcadian (2024),INTP,11 Pdb Votes
Uncle Dan,Migration (2023),INTP,60 Pdb Votes
Gemma,Megan (2023),INTP,284 Pdb Votes
The Protagonist (vote your type),Markiplier Cinematic Multiverse,INTP,2.9k Pdb Votes
Miles “Tails” Prower,Sonic the Hedgehog (Film Series),INTP,421 Pdb Votes
R,Warm Bodies (2013),INTP,102 Pdb Votes
Mary Adler,Gifted (2017),INTP,424 Pdb Votes
Caterpillar,Alice in Wonderland (1951),INTP,225 Pdb Votes
Peter Shepherd,Jumanji (1995),INTP,66 Pdb Votes
