char,movie,mbti,votes
Velvet,Trolls (2016),ENTJ,544 Pdb Votes
Patrick Bateman,American Psycho (2000),ENTJ,8.1k Pdb Votes
Tashi Duncan,Challengers (2024),ENTJ,238 Pdb Votes
Cruella de Vil,Cruella (2021),ENTJ,3.9k Pdb Votes
Frank (Adam Barrett),Abigail (2024),ENTJ,51 Pdb Votes
Lord Voldemort,Harry Potter / Wizarding World Films,ENTJ,3.1k Pdb Votes
Leia Organa,Star Wars,ENTJ,2.7k Pdb Votes
Terence Fletcher,Whiplash (2014),ENTJ,2.2k Pdb Votes
"Coriolanus ""Coryo"" Snow",The Ballad of Songbirds and Snakes (2023),ENTJ,1.7k Pdb Votes
Proximus Caesar,Kingdom of the Planet of the Apes,ENTJ,44 Pdb Votes
"Louis ""Lou"" Bloom",Nightcrawler (2014),ENTJ,1.8k Pdb Votes
Maximus Decimus Meridius,Gladiator (2000),XXXX,975 Pdb Votes
Shen,Kung Fu Panda (Franchise),ENTJ,1.3k Pdb Votes
Miranda Priestly,The Devil Wears Prada (2006),ENTJ,1.1k Pdb Votes
Mike Wazowski,"Monsters, Inc. (2001)",ENTJ,1.7k Pdb Votes
Koba,Rise of the Planet of Apes,ENTJ,166 Pdb Votes
Jill Roberts,Scream (Franchise),ENTJ,849 Pdb Votes
Yzma,The Emperor's New Groove (2000),ENTJ,578 Pdb Votes
Skipper,Madagascar (Franchise),ENTJ,1.9k Pdb Votes
The Chameleon,Dreamworks Villains,ENTJ,201 Pdb Votes
Amon Goeth,Schindler's List (1993),ENTJ,273 Pdb Votes
"Theodore Templeton ""Boss Baby""",Boss Baby (Franchise),ENTJ,534 Pdb Votes
Ursula,The Little Mermaid (1989),ENTJ,1.4k Pdb Votes
Fairy Godmother,Shrek (Franchise),ENTJ,855 Pdb Votes
Baron Vladimir Harkonnen,Dune (2021),ENTJ,335 Pdb Votes
Mrs. Jane Smith,Mr. & Mrs. Smith (2005),ENTJ,532 Pdb Votes
Catherine Tramell,Basic Instinct (1992),ENTJ,450 Pdb Votes
Bradley Uppercrust III,An Extremely Goofy Movie (2000),ENTJ,72 Pdb Votes
Violet Beauregarde,Charlie and the Chocolate Factory (2005),ENTJ,900 Pdb Votes
Sharpay Evans,High School Musical (Film Trilogy),ENTJ,1.2k Pdb Votes
"O-ren Ishii ""Cottonmouth""",Kill Bill (2003),ENTJ,894 Pdb Votes
Thranduil,The Hobbit (Film Trilogy),ENTJ,413 Pdb Votes
King Candy / Turbo,Wreck-It Ralph (Franchise),ENTJ,660 Pdb Votes
Pam,Totally Killer (2023),XXXX,106 Pdb Votes
“Big” Jack Horner,Shrek (Franchise),ENTJ,740 Pdb Votes
Reverend Mother Mohiam,Dune (2021),ENTJ,171 Pdb Votes
Frank Slade,Scent of a Woman (1992),ENTJ,244 Pdb Votes
Gale Weathers,Scream (Franchise),ENTJ,629 Pdb Votes
Terry Silver,The Karate Kid (Franchise),ENTJ,555 Pdb Votes
Abraxas,Ofis Akademia,ENTJ,50 Pdb Votes
M3GAN,Megan (2023),ENTJ,1.1k Pdb Votes
Kathryn Merteuil,Cruel Intentions (1999),ENTJ,378 Pdb Votes
Elizabeth I of England,Elizabeth (1998 - 2007),XXXX,102 Pdb Votes
Dr. Alexander Isaacs,Resident Evil,ENTJ,57 Pdb Votes
Dieter Hellstrom,Inglourious Basterds (2009),ENTJ,221 Pdb Votes
Norman Stansfield,Léon: The Professional (1994),ENTJ,362 Pdb Votes
Shan Yu,Mulan (Franchise),ENTJ,392 Pdb Votes
Reenu,Premalu (2024),ENTJ,7 Pdb Votes
Woland,The Master and Margarita (2024),ENTJ,95 Pdb Votes
"Bruce Wayne ""Batman""",The Lego Batman Movie,ENTJ,542 Pdb Votes
Rocky,K.G.F (Series),ENTJ,118 Pdb Votes
"Roshan aka ""Pinkie""",Ice Age (Franchise),ENTJ,74 Pdb Votes
Hatsumomo,Memoirs of a Geisha (2005),XXXX,117 Pdb Votes
Scarlet Overkill,Despicable Me (Franchise),ENTJ,555 Pdb Votes
“Classified”,Madagascar (Franchise),ENTJ,190 Pdb Votes
LaVona Harding,"I, Tonya (2017)",ENTJ,251 Pdb Votes
Preminger,Barbie as the Princess and the Pauper (2004),ENTJ,399 Pdb Votes
Derek Vinyard,American History X (1998),ENTJ,367 Pdb Votes
Penny Peterson,Mr. Peabody & Sherman (2014),ENTJ,202 Pdb Votes
Margaret Tate,The Proposal (2009),ENTJ,182 Pdb Votes
Kevin,Despicable Me (Franchise),ENTJ,300 Pdb Votes
Lola,Shark Tale (2004),ENTJ,106 Pdb Votes
Marie,The Aristocats (1970),ENTJ,178 Pdb Votes
Imperator Furiosa,Mad Max (1979),ENTJ,171 Pdb Votes
Thomas Leroy / The Gentleman,Black Swan (2010),ENTJ,396 Pdb Votes
Gale Hawthorne,The Hunger Games (Franchise),ENTJ,744 Pdb Votes
Atticus Noble,Rebel Moon (Franchise),ENTJ,68 Pdb Votes
Генри Лэмптон,Linch,ENTJ,18 Pdb Votes
Vanessa,The Little Mermaid (1989),ENTJ,174 Pdb Votes
The Prince,Bullet Train,ENTJ,316 Pdb Votes
Adam Jones,Burnt,ENTJ,56 Pdb Votes
Diane Foxington,The Bad Guys (2022),ENTJ,472 Pdb Votes
Ali La Pointe,The Battle of Algiers (1966),ENTJ,8 Pdb Votes
Airam,Look Away (2018),ENTJ,159 Pdb Votes
Ghidorah's First Head (Ichi),MonsterVerse,ENTJ,27 Pdb Votes
Massimo Torricelli,365 Days (2020),ENTJ,233 Pdb Votes
Ben Wade,3:10 to Yuma (2007),ENTJ,61 Pdb Votes
Simon,The Gift (2015),ENTJ,37 Pdb Votes
King Ghidorah,MonsterVerse,ENTJ,147 Pdb Votes
Frank Costello,The Departed (2006),ENTJ,174 Pdb Votes
Mike,Sing (Franchise),ENTJ,226 Pdb Votes
King Leonidas of Sparta,300,ENTJ,460 Pdb Votes
Count Fujiwara,The Handmaiden (2016),ENTJ,179 Pdb Votes
"Alan ""Dutch"" Schaefer",Predator,ENTJ,125 Pdb Votes
Christian Grey,Fifty Shades of Grey (2015),ENTJ,936 Pdb Votes
Clayton,Tarzan (1999),ENTJ,152 Pdb Votes
Hopper,A Bug's Life (1998),ENTJ,256 Pdb Votes
Sauron,The Hobbit (Film Trilogy),ENTJ,595 Pdb Votes
Danny Ocean,Ocean's Eleven Trilogy,ENTJ,172 Pdb Votes
D-16,Transformers One,ENTJ,2 Pdb Votes
Beatrice,Miller’s Girl (2024),XXXX,9 Pdb Votes
Nick Vanzant,Supernova (2000),ENTJ,2 Pdb Votes
Sweet Dreams,Orion and the Dark (2024),ENTJ,15 Pdb Votes
Maxime Le Mal,Despicable Me (Franchise),XXXX,12 Pdb Votes
Judy Spears,How to Lose a Guy in 10 days,XXXX,4 Pdb Votes
Furiosa,Furiosa (2024),ENTJ,8 Pdb Votes
Damien Thorn (Sam Neil portrayal),The Omen (1976),ENTJ,19 Pdb Votes
Dr Cecilia Pederson,Saw Series (2004),ENTJ,190 Pdb Votes
Enzo Ferrari ,Ferrari,ENTJ,36 Pdb Votes
Moira,La Leyenda de la Nahuala,ENTJ,6 Pdb Votes
Gale Cumulus,Elemental,ENTJ,73 Pdb Votes
Qui LeBlanc,Harry Potter Magic Awakened,ENTJ,19 Pdb Votes
Leila,Leila's Brothers,ENTJ,114 Pdb Votes
Nora,Past Lives (2023),ENTJ,103 Pdb Votes
William Afton,Five Nights at Freddy's (Movie),ENTJ,505 Pdb Votes
Blue Dragon,Kung Fu Panda (Franchise),XXXX,3 Pdb Votes
Drill Instructor Fitch,Jarhead,ENTJ,13 Pdb Votes
Bradley Uppercrust III,A Goofy Movie (1995),ENTJ,32 Pdb Votes
Honor,Honor Society (2022),ENTJ,79 Pdb Votes
Tiffany Blanchette,Senior Year,ENTJ,49 Pdb Votes
Gangubai Kathiawadi,Gangubai Kathiawadi (2022),ENTJ,148 Pdb Votes
Riley's Dad's Anger,Inside Out (Franchise),ENTJ,68 Pdb Votes
Bob Lee Swagger,Shooter,ENTJ,29 Pdb Votes
Baron Von Ravendale,Barbie in Princess Power,ENTJ,9 Pdb Votes
Shimon Hayut (Simon Leviev),The Tinder Swindler,ENTJ,37 Pdb Votes
Jimmy Crystal,Sing (Franchise),ENTJ,195 Pdb Votes
Napoleon Bonaparte,"Napoleon ""Kitbag"" (2023)",ENTJ,298 Pdb Votes
Lewis Strauss,Oppenheimer (2023),ENTJ,773 Pdb Votes
Jong Tak,Midnight,XXXX,24 Pdb Votes
Guardhouse Chief (Captain),The Green Elephant (1999),ENTJ,60 Pdb Votes
Walter Burns,His girl Friday,ENTJ,23 Pdb Votes
Odile Anjelou,The Smurfs (2011),XXXX,6 Pdb Votes
Spinosaurus,Jurassic Park / Jurassic World (Film Franchise),ENTJ,46 Pdb Votes
Catherine Wyler,Not Another Teen Movie,ENTJ,78 Pdb Votes
Mayfield,The Sisters Brothers (2018),ENTJ,8 Pdb Votes
Piroska,"Daddy, I'm a Zombie",ENTJ,8 Pdb Votes
Seymour Simmons,Transformers (Bayverse),ENTJ,25 Pdb Votes
Buffy Gilmore,Scary Movie,ENTJ,124 Pdb Votes
Daniel Nathan,Daniel Isn't Real,XXXX,18 Pdb Votes
Daphne Blake,Scooby-Doo (2002),ENTJ,370 Pdb Votes
Septimus,Stardust (2007),XXXX,32 Pdb Votes
Dame Devin,Barbie: Princess Charm School,ENTJ,120 Pdb Votes
Frank Lucas,American Gangster (2007),ENTJ,71 Pdb Votes
Godzilla (Heisei),MonsterVerse,ENTJ,27 Pdb Votes
